run_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	study_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sra_bytes	sra_md5	sra_ftp	sra_aspera	sra_galaxy	sample_alias	broker_name	sample_title	nominal_sdev	first_created
SRR13348116	SRP300200	SAMN17209485	SRS7961813	SRX9774358	PRJNA689547	SRA1179876	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	S.191117.00165_59		PAIRED	AMPLICON	METAGENOMIC	PCR	68875	34575250	SUB8758289	2021-01-04	2021-01-04	Illumina MiSeq sequencing: 16S Sequencing of Patient and Environmental Microbiome within the Intensive Care Unit	Patient and Environmental Microbiome within the Intensive Care Unit	PRJNA689547	S.191117.00165_59	S.191117.00165_59_L001_R1_001.fastq.gz	5264590;5243046	4f22d6b3c5178b7b499741aedff9a9f3;098b33278d38fde511ed90d069ddd8b3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/016/SRR13348116/SRR13348116_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/016/SRR13348116/SRR13348116_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR133/016/SRR13348116/SRR13348116_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR133/016/SRR13348116/SRR13348116_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/016/SRR13348116/SRR13348116_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/016/SRR13348116/SRR13348116_2.fastq.gz							14877559	d9f3f3f5f9c42b7ace526ed1394ff064	ftp.sra.ebi.ac.uk/vol1/srr/SRR133/016/SRR13348116	fasp.sra.ebi.ac.uk:/vol1/srr/SRR133/016/SRR13348116	ftp.sra.ebi.ac.uk/vol1/srr/SRR133/016/SRR13348116	S.191117.00165_59		MIMS Environmental/Metagenome sample from human gut metagenome		2021-01-04
SRR13348119	SRP300200	SAMN17209526	SRS7961809	SRX9774354	PRJNA689547	SRA1179876	1131769	human nasopharyngeal metagenome	ILLUMINA	Illumina MiSeq	S.191116.00060_76		PAIRED	AMPLICON	METAGENOMIC	PCR	76198	38251396	SUB8758289	2021-01-04	2021-01-04	Illumina MiSeq sequencing: 16S Sequencing of Patient and Environmental Microbiome within the Intensive Care Unit	Patient and Environmental Microbiome within the Intensive Care Unit	PRJNA689547	S.191116.00060_76	S.191116.00060_76_L001_R1_001.fastq.gz	8211624;7550104	4a9c59b4ba04991168f61c0d69fd95f7;6bf4dfeabe4fa46a0221de64dc14937a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/019/SRR13348119/SRR13348119_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/019/SRR13348119/SRR13348119_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR133/019/SRR13348119/SRR13348119_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR133/019/SRR13348119/SRR13348119_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/019/SRR13348119/SRR13348119_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/019/SRR13348119/SRR13348119_2.fastq.gz							20091988	a8fbabf0d80220940b37e4104d614678	ftp.sra.ebi.ac.uk/vol1/srr/SRR133/019/SRR13348119	fasp.sra.ebi.ac.uk:/vol1/srr/SRR133/019/SRR13348119	ftp.sra.ebi.ac.uk/vol1/srr/SRR133/019/SRR13348119	S.191116.00060_76		MIMS Environmental/Metagenome sample from human nasopharyngeal metagenome		2021-01-04
SRR13348121	SRP300200	SAMN17209528	SRS7961814	SRX9774356	PRJNA689547	SRA1179876	1131769	human nasopharyngeal metagenome	ILLUMINA	Illumina MiSeq	S.191109.00060_128		PAIRED	AMPLICON	METAGENOMIC	PCR	60387	30314274	SUB8758289	2021-01-04	2021-01-04	Illumina MiSeq sequencing: 16S Sequencing of Patient and Environmental Microbiome within the Intensive Care Unit	Patient and Environmental Microbiome within the Intensive Care Unit	PRJNA689547	S.191109.00060_128	S.191109.00060_128_L001_R1_001.fastq.gz	5639863;5143470	fdf6248ec9a3a85f3cf4622602e6b036;fe7d0ec47e1f4e3e1b3d2fcf888ecfb2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/021/SRR13348121/SRR13348121_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/021/SRR13348121/SRR13348121_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR133/021/SRR13348121/SRR13348121_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR133/021/SRR13348121/SRR13348121_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/021/SRR13348121/SRR13348121_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/021/SRR13348121/SRR13348121_2.fastq.gz							15593834	672ff6d8c98185c55c8a797a70737872	ftp.sra.ebi.ac.uk/vol1/srr/SRR133/021/SRR13348121	fasp.sra.ebi.ac.uk:/vol1/srr/SRR133/021/SRR13348121	ftp.sra.ebi.ac.uk/vol1/srr/SRR133/021/SRR13348121	S.191109.00060_128		MIMS Environmental/Metagenome sample from human nasopharyngeal metagenome		2021-01-04
SRR13348124	SRP300200	SAMN17209522	SRS7961805	SRX9774350	PRJNA689547	SRA1179876	1131769	human nasopharyngeal metagenome	ILLUMINA	Illumina MiSeq	S.191124.00010_63		PAIRED	AMPLICON	METAGENOMIC	PCR	80698	40510396	SUB8758289	2021-01-04	2021-01-04	Illumina MiSeq sequencing: 16S Sequencing of Patient and Environmental Microbiome within the Intensive Care Unit	Patient and Environmental Microbiome within the Intensive Care Unit	PRJNA689547	S.191124.00010_63	S.191124.00010_63_L001_R1_001.fastq.gz	7842876;7300386	49e3601355791cfaad0e39e91cba7cdb;665809017f93a725c70882d3760c86c6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/024/SRR13348124/SRR13348124_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/024/SRR13348124/SRR13348124_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR133/024/SRR13348124/SRR13348124_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR133/024/SRR13348124/SRR13348124_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/024/SRR13348124/SRR13348124_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/024/SRR13348124/SRR13348124_2.fastq.gz							20884840	5f1586798af29e0bb6968d1f8fe2e9be	ftp.sra.ebi.ac.uk/vol1/srr/SRR133/024/SRR13348124	fasp.sra.ebi.ac.uk:/vol1/srr/SRR133/024/SRR13348124	ftp.sra.ebi.ac.uk/vol1/srr/SRR133/024/SRR13348124	S.191124.00010_63		MIMS Environmental/Metagenome sample from human nasopharyngeal metagenome		2021-01-04
SRR13348128	SRP300200	SAMN17209518	SRS7961800	SRX9774345	PRJNA689547	SRA1179876	1131769	human nasopharyngeal metagenome	ILLUMINA	Illumina MiSeq	S.191123.00060_154		PAIRED	AMPLICON	METAGENOMIC	PCR	20478	10279956	SUB8758289	2021-01-04	2021-01-04	Illumina MiSeq sequencing: 16S Sequencing of Patient and Environmental Microbiome within the Intensive Care Unit	Patient and Environmental Microbiome within the Intensive Care Unit	PRJNA689547	S.191123.00060_154	S.191123.00060_154_L001_R1_001.fastq.gz	2612486;2678840	c3fb2aa4b5f306c4486ad911b59d9e11;7053fe0d3c13a88cd5d583b16402709b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/028/SRR13348128/SRR13348128_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/028/SRR13348128/SRR13348128_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR133/028/SRR13348128/SRR13348128_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR133/028/SRR13348128/SRR13348128_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/028/SRR13348128/SRR13348128_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/028/SRR13348128/SRR13348128_2.fastq.gz							6099737	cb812043807a4180094e3c6299aa54af	ftp.sra.ebi.ac.uk/vol1/srr/SRR133/028/SRR13348128	fasp.sra.ebi.ac.uk:/vol1/srr/SRR133/028/SRR13348128	ftp.sra.ebi.ac.uk/vol1/srr/SRR133/028/SRR13348128	S.191123.00060_154		MIMS Environmental/Metagenome sample from human nasopharyngeal metagenome		2021-01-04
SRR13348130	SRP300200	SAMN17209517	SRS7961799	SRX9774344	PRJNA689547	SRA1179876	1131769	human nasopharyngeal metagenome	ILLUMINA	Illumina MiSeq	S.191104.00330_67		PAIRED	AMPLICON	METAGENOMIC	PCR	82425	41377350	SUB8758289	2021-01-04	2021-01-04	Illumina MiSeq sequencing: 16S Sequencing of Patient and Environmental Microbiome within the Intensive Care Unit	Patient and Environmental Microbiome within the Intensive Care Unit	PRJNA689547	S.191104.00330_67	S.191104.00330_67_L001_R1_001.fastq.gz	6490268;6353755	ec579eece466f7249ea89cc224145f92;e72f594a9adc58d9ad460fcfe32a1bdd	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/030/SRR13348130/SRR13348130_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/030/SRR13348130/SRR13348130_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR133/030/SRR13348130/SRR13348130_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR133/030/SRR13348130/SRR13348130_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/030/SRR13348130/SRR13348130_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/030/SRR13348130/SRR13348130_2.fastq.gz							17954642	89f0d23a51a2f8b185e4ba12a31fc841	ftp.sra.ebi.ac.uk/vol1/srr/SRR133/030/SRR13348130	fasp.sra.ebi.ac.uk:/vol1/srr/SRR133/030/SRR13348130	ftp.sra.ebi.ac.uk/vol1/srr/SRR133/030/SRR13348130	S.191104.00330_67		MIMS Environmental/Metagenome sample from human nasopharyngeal metagenome		2021-01-04
SRR13348131	SRP300200	SAMN17209842	SRS7961797	SRX9774343	PRJNA689547	SRA1179876	1256227	indoor metagenome	ILLUMINA	Illumina MiSeq	S.191219.00203_75		PAIRED	AMPLICON	METAGENOMIC	PCR	65073	32666646	SUB8758289	2021-01-04	2021-01-04	Illumina MiSeq sequencing: 16S Sequencing of Patient and Environmental Microbiome within the Intensive Care Unit	Patient and Environmental Microbiome within the Intensive Care Unit	PRJNA689547	S.191219.00203_75	S.191219.00203_75_L001_R1_001.fastq.gz	5502198;5641334	c145db419412761251d651a93778ca6a;6c9b72942224ea1d42463a00978afa32	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/031/SRR13348131/SRR13348131_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/031/SRR13348131/SRR13348131_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR133/031/SRR13348131/SRR13348131_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR133/031/SRR13348131/SRR13348131_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/031/SRR13348131/SRR13348131_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/031/SRR13348131/SRR13348131_2.fastq.gz							15476195	3e827bc2f83c900308ca82349805933e	ftp.sra.ebi.ac.uk/vol1/srr/SRR133/031/SRR13348131	fasp.sra.ebi.ac.uk:/vol1/srr/SRR133/031/SRR13348131	ftp.sra.ebi.ac.uk/vol1/srr/SRR133/031/SRR13348131	S.191219.00203_75		MIMS Environmental/Metagenome sample from indoor metagenome		2021-01-04
SRR13348132	SRP300200	SAMN17209841	SRS7961798	SRX9774342	PRJNA689547	SRA1179876	1256227	indoor metagenome	ILLUMINA	Illumina MiSeq	S.191215.00049_36		PAIRED	AMPLICON	METAGENOMIC	PCR	64211	32233922	SUB8758289	2021-01-04	2021-01-04	Illumina MiSeq sequencing: 16S Sequencing of Patient and Environmental Microbiome within the Intensive Care Unit	Patient and Environmental Microbiome within the Intensive Care Unit	PRJNA689547	S.191215.00049_36	S.191215.00049_36_L001_R1_001.fastq.gz	6436374;6322287	b30825f1b4f15d361db40b5035d7d97c;c31002c595afb31daeed62bef0397fc4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/032/SRR13348132/SRR13348132_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/032/SRR13348132/SRR13348132_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR133/032/SRR13348132/SRR13348132_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR133/032/SRR13348132/SRR13348132_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/032/SRR13348132/SRR13348132_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/032/SRR13348132/SRR13348132_2.fastq.gz							16049333	9d932b1408b162cb30444cfb8e6f8e4e	ftp.sra.ebi.ac.uk/vol1/srr/SRR133/032/SRR13348132	fasp.sra.ebi.ac.uk:/vol1/srr/SRR133/032/SRR13348132	ftp.sra.ebi.ac.uk/vol1/srr/SRR133/032/SRR13348132	S.191215.00049_36		MIMS Environmental/Metagenome sample from indoor metagenome		2021-01-04
SRR13348144	SRP300200	SAMN17209515	SRS7961784	SRX9774329	PRJNA689547	SRA1179876	1131769	human nasopharyngeal metagenome	ILLUMINA	Illumina MiSeq	S.191112.00218_103		PAIRED	AMPLICON	METAGENOMIC	PCR	85212	42776424	SUB8758289	2021-01-04	2021-01-04	Illumina MiSeq sequencing: 16S Sequencing of Patient and Environmental Microbiome within the Intensive Care Unit	Patient and Environmental Microbiome within the Intensive Care Unit	PRJNA689547	S.191112.00218_103	S.191112.00218_103_L001_R1_001.fastq.gz	8577315;8123319	79dbdb3d3119b19a56399033339e9820;305e8ce6e8d9bfa2bc5c3f62135adf8a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/044/SRR13348144/SRR13348144_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/044/SRR13348144/SRR13348144_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR133/044/SRR13348144/SRR13348144_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR133/044/SRR13348144/SRR13348144_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/044/SRR13348144/SRR13348144_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/044/SRR13348144/SRR13348144_2.fastq.gz							22079199	bbbab06a57df9bc1b8100e6301083de1	ftp.sra.ebi.ac.uk/vol1/srr/SRR133/044/SRR13348144	fasp.sra.ebi.ac.uk:/vol1/srr/SRR133/044/SRR13348144	ftp.sra.ebi.ac.uk/vol1/srr/SRR133/044/SRR13348144	S.191112.00218_103		MIMS Environmental/Metagenome sample from human nasopharyngeal metagenome		2021-01-04
SRR13348147	SRP300200	SAMN17209828	SRS7961783	SRX9774327	PRJNA689547	SRA1179876	1256227	indoor metagenome	ILLUMINA	Illumina MiSeq	S.191213.00223_37		PAIRED	AMPLICON	METAGENOMIC	PCR	58377	29305254	SUB8758289	2021-01-04	2021-01-04	Illumina MiSeq sequencing: 16S Sequencing of Patient and Environmental Microbiome within the Intensive Care Unit	Patient and Environmental Microbiome within the Intensive Care Unit	PRJNA689547	S.191213.00223_37	S.191213.00223_37_L001_R1_001.fastq.gz	6139747;5791614	e72f6315a0003f4c97cff3d31117241d;428d28700f78809aa8e0934fae4f55d9	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/047/SRR13348147/SRR13348147_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/047/SRR13348147/SRR13348147_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR133/047/SRR13348147/SRR13348147_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR133/047/SRR13348147/SRR13348147_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/047/SRR13348147/SRR13348147_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/047/SRR13348147/SRR13348147_2.fastq.gz							15128499	33ffe05265b54ae569ac140f343513b6	ftp.sra.ebi.ac.uk/vol1/srr/SRR133/047/SRR13348147	fasp.sra.ebi.ac.uk:/vol1/srr/SRR133/047/SRR13348147	ftp.sra.ebi.ac.uk/vol1/srr/SRR133/047/SRR13348147	S.191213.00223_37		MIMS Environmental/Metagenome sample from indoor metagenome		2021-01-04
