	project_id	queried_accession_id	id	source	pmid	pmcid	fullTextIdList	doi	title	authorString	journal_issue	journal_volume	journalIssueId	journal_dateOfPublication	journal_monthOfPublication	journal_yearOfPublication	journal_printPublicationDate	journal_title	journal_ISOAbbreviation	journal_medlineAbbreviation	journal_NLMid	journal_ISSN	journal_ESSN	pubYear	pageInfo	abstractText	affiliation	publicationStatus	language	pubModel	pubTypeList	keywordList	isOpenAccess	inEPMC	inPMC	hasPDF	hasBook	hasSuppl	citedByCount	hasData	hasReferences	hasTextMinedTerms	hasDbCrossReferences	hasLabsLinks	license	hasTMAccessionNumbers	tmAccessionTypeList	dateOfCreation	firstIndexDate	fullTextReceivedDate	dateOfRevision	electronicPublicationDate	firstPublicationDate	DOI	HTML	PDF	fulltextXML	Suppl	TGZpackage
0	PRJDB716	23385576	23385576	MED	23385576	PMC3655727	PMC3655727	10.1038/ncomms2441	The microbiome extends to subepidermal compartments of normal skin.	Nakatsuji T, Chiang HI, Jiang SB, Nagarajan H, Zengler K, Gallo RL.		4	2012237	2013	0	2013	2013-01-01	Nature communications	Nat Commun	Nat Commun	101528555	2041-1723	2041-1723	2013	1431	Commensal microbes on the skin surface influence the behaviour of cells below the epidermis. We hypothesized that bacteria or their products exist below the surface epithelium and thus permit physical interaction between microbes and dermal cells. Here to test this hypothesis, we employed multiple independent detection techniques for bacteria including quantitative PCR, Gram staining, immunofluorescence and in situ hybridization. Bacteria were consistently detectable within the dermis and dermal adipose of normal human skin. Sequencing of DNA from dermis and dermal adipose tissue identified bacterial 16S ribosomal RNA reflective of a diverse and partially distinct microbial community in each skin compartment. These results show the microbiota extends within the dermis, therefore, enabling physical contact between bacteria and various cells below the basement membrane. These observations show that normal commensal bacterial communities directly communicate with the host in a tissue previously thought to be sterile.	Department of Medicine, Division of Dermatology, University of California, San Diego, 9500 Gilman Drive, La Jolla, California 92093-0869, USA.	ppublish	eng	Print	research-article;Journal Article;Research Support, N.I.H., Extramural		Y	Y	Y	Y	N	Y	207	Y	Y	Y	N	Y		Y	bioproject	2013-02-07	2013-02-08	2020-10-28	2021-10-21		2013-01-01	https://doi.org/10.1038/ncomms2441	https://europepmc.org/articles/PMC3655727	https://europepmc.org/articles/PMC3655727?pdf=render	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC3655727/fullTextXML	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC3655727/supplementaryFiles?includeInlineImage=yes	http://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/b1/dd/PMC3655727.tar.gz
0	PRJNA642893	33212154	33212154	MED	33212154	PMC8124078	PMC8124078	10.1016/j.jid.2020.10.021	Cutaneous T-Cell Lymphoma Skin Microbiome Is Characterized by Shifts in Certain Commensal Bacteria but not Viruses when Compared with Healthy Controls.	Harkins CP, MacGibeny MA, Thompson K, Bubic B, Huang X, Brown I, Park J, Jo JH, Segre JA, Kong HH, Rozati S.	6.0	141	3174344	2021 Jun	6	2021	2021-06-01	The Journal of investigative dermatology	J Invest Dermatol	J Invest Dermatol	426720	0022-202X	1523-1747	2021	1604-1608		Dermatology Branch, National Institute of Arthritis and Musculoskeletal and Skin Diseases, NIH, Bethesda, Maryland, USA; Translational and Functional Genomics Branch, National Human Genome Research Institute, NIH, Bethesda, Maryland, USA.	ppublish	eng	Print-Electronic	Letter;research-article;Observational Study		N	Y	N	Y	N	Y	12	Y	Y	Y	Y	Y		Y	bioproject	2020-11-19	2020-11-20	2022-06-02	2022-07-16	2020-11-16	2020-11-16	https://doi.org/10.1016/j.jid.2020.10.021	https://europepmc.org/articles/PMC8124078	https://europepmc.org/articles/PMC8124078?pdf=render			
0	PRJNA266117	26489866	26489866	MED	26489866	PMC4620475	PMC4620475	10.1128/mbio.01578-15	The human skin double-stranded DNA virome: topographical and temporal diversity, genetic enrichment, and dynamic associations with the host microbiome.	Hannigan GD, Meisel JS, Tyldsley AS, Zheng Q, Hodkinson BP, SanMiguel AJ, Minot S, Bushman FD, Grice EA.	5.0	6	2476683	2015 Oct	10	2015	2015-10-01	mBio	mBio	mBio	101519231	2150-7511	2150-7511	2015	e01578-15	"UNLABELLED:Viruses make up a major component of the human microbiota but are poorly understood in the skin, our primary barrier to the external environment. Viral communities have the potential to modulate states of cutaneous health and disease. Bacteriophages are known to influence the structure and function of microbial communities through predation and genetic exchange. Human viruses are associated with skin cancers and a multitude of cutaneous manifestations. Despite these important roles, little is known regarding the human skin virome and its interactions with the host microbiome. Here we evaluated the human cutaneous double-stranded DNA virome by metagenomic sequencing of DNA from purified virus-like particles (VLPs). In parallel, we employed metagenomic sequencing of the total skin microbiome to assess covariation and infer interactions with the virome. Samples were collected from 16 subjects at eight body sites over 1 month. In addition to the microenviroment, which is known to partition the bacterial and fungal microbiota, natural skin occlusion was strongly associated with skin virome community composition. Viral contigs were enriched for genes indicative of a temperate phage replication style and also maintained genes encoding potential antibiotic resistance and virulence factors. CRISPR spacers identified in the bacterial DNA sequences provided a record of phage predation and suggest a mechanism to explain spatial partitioning of skin phage communities. Finally, we modeled the structure of bacterial and phage communities together to reveal a complex microbial environment with a Corynebacterium hub. These results reveal the previously underappreciated diversity, encoded functions, and viral-microbial dynamic unique to the human skin virome. IMPORTANCE:To date, most cutaneous microbiome studies have focused on bacterial and fungal communities. Skin viral communities and their relationships with their hosts remain poorly understood despite their potential to modulate states of cutaneous health and disease. Previous studies employing whole-metagenome sequencing without purification for virus-like particles (VLPs) have provided some insight into the viral component of the skin microbiome but have not completely characterized these communities or analyzed interactions with the host microbiome. Here we present an optimized virus purification technique and corresponding analysis tools for gaining novel insights into the skin virome, including viral ""dark matter,"" and its potential interactions with the host microbiome. The work presented here establishes a baseline of the healthy human skin virome and is a necessary foundation for future studies examining viral perturbations in skin health and disease."	Department of Dermatology, University of Pennsylvania Perelman School of Medicine, Philadelphia, Pennsylvania, USA.	epublish	eng	Electronic	research-article;Research Support, U.S. Gov't, Non-P.H.S.;Journal Article;Research Support, N.I.H., Extramural		Y	Y	N	Y	N	Y	102	Y	Y	Y	N	Y	cc by-nc-sa	Y	bioproject;gen	2015-10-23	2015-10-23	2020-07-10	2019-12-27	2015-10-20	2015-10-20	https://doi.org/10.1128/mBio.01578-15	https://europepmc.org/articles/PMC4620475	https://europepmc.org/articles/PMC4620475?pdf=render	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4620475/fullTextXML	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4620475/supplementaryFiles?includeInlineImage=yes	http://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/03/ac/PMC4620475.tar.gz
1	PRJNA266117	26829039	26829039	MED	26829039	PMC4842136	PMC4842136	10.1016/j.jid.2016.01.016	Skin Microbiome Surveys Are Strongly Influenced by Experimental Design.	Meisel JS, Hannigan GD, Tyldsley AS, SanMiguel AJ, Hodkinson BP, Zheng Q, Grice EA.	5.0	136	2400990	2016 May	5	2016	2016-05-01	The Journal of investigative dermatology	J Invest Dermatol	J Invest Dermatol	426720	0022-202X	1523-1747	2016	947-956	Culture-independent studies to characterize skin microbiota are increasingly common, due in part to affordable and accessible sequencing and analysis platforms. Compared to culture-based techniques, DNA sequencing of the bacterial 16S ribosomal RNA (rRNA) gene or whole metagenome shotgun (WMS) sequencing provides more precise microbial community characterizations. Most widely used protocols were developed to characterize microbiota of other habitats (i.e., gastrointestinal) and have not been systematically compared for their utility in skin microbiome surveys. Here we establish a resource for the cutaneous research community to guide experimental design in characterizing skin microbiota. We compare two widely sequenced regions of the 16S rRNA gene to WMS sequencing for recapitulating skin microbiome community composition, diversity, and genetic functional enrichment. We show that WMS sequencing most accurately recapitulates microbial communities, but sequencing of hypervariable regions 1-3 of the 16S rRNA gene provides highly similar results. Sequencing of hypervariable region 4 poorly captures skin commensal microbiota, especially Propionibacterium. WMS sequencing, which is resource and cost intensive, provides evidence of a community's functional potential; however, metagenome predictions based on 16S rRNA sequence tags closely approximate WMS genetic functional profiles. This study highlights the importance of experimental design for downstream results in skin microbiome surveys.	Department of Dermatology, University of Pennsylvania Perelman School of Medicine, Philadelphia, Pennsylvania, USA.	ppublish	eng	Print-Electronic	Research Support, Non-U.S. Gov't;research-article;Research Support, U.S. Gov't, Non-P.H.S.;Journal Article;Research Support, N.I.H., Extramural		N	Y	N	Y	N	Y	141	Y	Y	Y	Y	Y		Y	bioproject;refseq;doi	2016-02-02	2016-02-02	2020-10-28	2018-11-26	2016-01-29	2016-01-29	https://doi.org/10.1016/j.jid.2016.01.016	https://europepmc.org/articles/PMC4842136	https://europepmc.org/articles/PMC4842136?pdf=render			
2	PRJNA266117	28194314	28194314	MED	28194314	PMC5299996	PMC5299996	10.7717/peerj.2959	Evolutionary and functional implications of hypervariable loci within the skin virome.	Hannigan GD, Zheng Q, Meisel JS, Minot SS, Bushman FD, Grice EA.		5	2513857	2017 	0	2017	2017-01-01	PeerJ	PeerJ	PeerJ	101603425	2167-8359	2167-8359	2017	e2959	Localized genomic variability is crucial for the ongoing conflicts between infectious microbes and their hosts. An understanding of evolutionary and adaptive patterns associated with genomic variability will help guide development of vaccines and antimicrobial agents. While most analyses of the human microbiome have focused on taxonomic classification and gene annotation, we investigated genomic variation of skin-associated viral communities. We evaluated patterns of viral genomic variation across 16 healthy human volunteers. Human papillomavirus (HPV) and <i>Staphylococcus</i> phages contained 106 and 465 regions of diversification, or hypervariable loci, respectively. <i>Propionibacterium</i> phage genomes were minimally divergent and contained no hypervariable loci. Genes containing hypervariable loci were involved in functions including host tropism and immune evasion. HPV and <i>Staphylococcus</i> phage hypervariable loci were associated with purifying selection. Amino acid substitution patterns were virus dependent, as were predictions of their phenotypic effects. We identified diversity generating retroelements as one likely mechanism driving hypervariability. We validated these findings in an independently collected skin metagenomic sequence dataset, suggesting that these features of skin virome genomic variability are widespread. Our results highlight the genomic variation landscape of the skin virome and provide a foundation for better understanding community viral evolution and the functional implications of genomic diversification of skin viruses.	Department of Dermatology, University of Pennsylvania , Philadelphia, PA , USA.	epublish	eng	Electronic-eCollection	research-article;Journal Article	Evolution;Genomic variability;Bacteriophage;Dermatology;Metagenomics;Virome	Y	Y	N	Y	N	Y	17	Y	Y	Y	N	Y	cc by	Y	gen;doi	2017-02-15	2017-02-15	2020-07-14	2021-01-31	2017-02-07	2017-02-07	https://doi.org/10.7717/peerj.2959	https://europepmc.org/articles/PMC5299996	https://europepmc.org/articles/PMC5299996?pdf=render	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC5299996/fullTextXML	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC5299996/supplementaryFiles?includeInlineImage=yes	http://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/60/06/PMC5299996.tar.gz
3	PRJNA266117	29668682	29668682	MED	29668682	PMC5927471	PMC5927471	10.1371/journal.pcbi.1006099	Biogeography and environmental conditions shape bacteriophage-bacteria networks across the human microbiome.	Hannigan GD, Duhaime MB, Koutra D, Schloss PD.	4.0	14	2668136	2018 Apr	4	2018	2018-04-01	PLoS computational biology	PLoS Comput Biol	PLoS Comput Biol	101238922	1553-734X	1553-7358	2018	e1006099	Viruses and bacteria are critical components of the human microbiome and play important roles in health and disease. Most previous work has relied on studying bacteria and viruses independently, thereby reducing them to two separate communities. Such approaches are unable to capture how these microbial communities interact, such as through processes that maintain community robustness or allow phage-host populations to co-evolve. We implemented a network-based analytical approach to describe phage-bacteria network diversity throughout the human body. We built these community networks using a machine learning algorithm to predict which phages could infect which bacteria in a given microbiome. Our algorithm was applied to paired viral and bacterial metagenomic sequence sets from three previously published human cohorts. We organized the predicted interactions into networks that allowed us to evaluate phage-bacteria connectedness across the human body. We observed evidence that gut and skin network structures were person-specific and not conserved among cohabitating family members. High-fat diets appeared to be associated with less connected networks. Network structure differed between skin sites, with those exposed to the external environment being less connected and likely more susceptible to network degradation by microbial extinction events. This study quantified and contrasted the diversity of virome-microbiome networks across the human body and illustrated how environmental factors may influence phage-bacteria interactive dynamics. This work provides a baseline for future studies to better understand system perturbations, such as disease states, through ecological networks.	Department of Microbiology and Immunology, University of Michigan, Ann Arbor, Michigan, United States of America.	epublish	eng	Electronic-eCollection	Research Support, Non-U.S. Gov't;research-article;Journal Article;Research Support, N.I.H., Extramural		Y	Y	N	Y	N	Y	13	Y	Y	Y	N	Y	cc by	Y	gen	2018-04-19	2018-04-19	2020-07-10	2020-12-14	2018-04-18	2018-04-18	https://doi.org/10.1371/journal.pcbi.1006099	https://europepmc.org/articles/PMC5927471	https://europepmc.org/articles/PMC5927471?pdf=render	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC5927471/fullTextXML	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC5927471/supplementaryFiles?includeInlineImage=yes	http://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/cc/20/PMC5927471.tar.gz
4	PRJNA266117	35968974	35968974	MED	35968974	PMC9600381	PMC9600381	10.1128/msystems.00677-22	Cobamide Sharing Is Predicted in the Human Skin Microbiome.	Swaney MH, Sandstrom S, Kalan LR.	5.0	7	3445209	2022 Oct	10	2022	2022-10-01	mSystems	mSystems	mSystems	101680636	2379-5077	2379-5077	2022	e0067722	The skin microbiome is a key player in human health, with diverse functions ranging from defense against pathogens to education of the immune system. While recent studies have begun to shed light on the valuable role that skin microorganisms have in maintaining the skin barrier, a detailed understanding of the complex interactions that shape healthy skin microbial communities is limited. Cobamides, the vitamin B<sub>12</sub> class of cofactor, are essential for organisms across the tree of life. Because this vitamin is only produced by a limited fraction of prokaryotes, cobamide sharing is predicted to mediate community dynamics within microbial communities. Here, we provide the first large-scale metagenomic assessment of cobamide biosynthesis and utilization in the skin microbiome. We show that while numerous and diverse taxa across the major bacterial phyla on the skin encode cobamide-dependent enzymes, relatively few species encode <i>de novo</i> cobamide biosynthesis. We show that cobamide producers and users are integrated into the network structure of microbial communities across the different microenvironments of the skin and that changes in microbiome community structure and diversity are associated with the abundance of cobamide producers in the <i>Corynebacterium</i> genus, for both healthy and diseased skin states. Finally, we find that <i>de novo</i> cobamide biosynthesis is enriched only in <i>Corynebacterium</i> species associated with hosts, including those prevalent on human skin. We confirm that the cofactor is produced in excess through quantification of cobamide production by human skin-associated species isolated in the laboratory. Taken together, our results reveal the potential for cobamide sharing within skin microbial communities, which we hypothesize mediates microbiome community dynamics and host interactions. <b>IMPORTANCE</b> The skin microbiome is essential for maintaining skin health and function. However, the microbial interactions that dictate microbiome structure, stability, and function are not well understood. Here, we investigate the biosynthesis and use of cobamides, a cofactor needed by many organisms but only produced by select prokaryotes, within the human skin microbiome. We found that while a large proportion of skin taxa encode cobamide-dependent enzymes, only a select few encode <i>de novo</i> cobamide biosynthesis. Further, the abundance of cobamide-producing <i>Corynebacterium</i> species is associated with skin microbiome diversity and structure, and within this genus, <i>de novo</i> biosynthesis is enriched in host-associated species compared to environment-associated species. These findings identify cobamides as a potential mediator of skin microbiome dynamics and skin health.	Department of Medical Microbiology and Immunology, School of Medicine and Public Health, University of Wisconsin, Madison, Wisconsin, USA.	ppublish	eng	Print-Electronic	research-article;Journal Article;Research Support, N.I.H., Extramural	Ecology;Genomics;Metagenomics;Skin Microbiome;Cobamides	Y	Y	N	Y	N	N	4	Y	Y	Y	N	Y	cc by	Y	bioproject	2022-08-15	2022-08-16	2022-10-29	2023-01-11	2022-08-15	2022-08-15	https://doi.org/10.1128/msystems.00677-22	https://europepmc.org/articles/PMC9600381	https://europepmc.org/articles/PMC9600381?pdf=render	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9600381/fullTextXML		http://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/71/88/PMC9600381.tar.gz
0	PRJNA293586	28368977	28368977	MED	28368977	PMC5603347	PMC5603347	10.1097/shk.0000000000000874	Cutaneous Burn Injury Promotes Shifts in the Bacterial Microbiome in Autologous Donor Skin: Implications for Skin Grafting Outcomes.	Plichta JK, Gao X, Lin H, Dong Q, Toh E, Nelson DE, Gamelli RL, Grice EA, Radek KA.	4.0	48	2598074	2017 Oct	10	2017	2017-10-01	Shock (Augusta, Ga.)	Shock	Shock	9421564	1073-2322	1540-0514	2017	441-448	"<h4>Introduction</h4>The cutaneous microbiome maintains skin barrier function, regulates inflammation, and stimulates wound-healing responses. Burn injury promotes an excessive activation of the cutaneous and systemic immune response directed against commensal and invading pathogens. Skin grafting is the primary method of reconstructing full-thickness burns, and wound infection continues to be a significant complication.<h4>Methods</h4>In this study, the cutaneous bacterial microbiome was evaluated and subsequently compared to patient outcomes. Three different full-thickness skin specimens were assessed: control skin from non-burned subjects; burn margin from burn patients; and autologous donor skin from the same cohort of burn patients.<h4>Results</h4>We observed that skin bacterial community structure of burn patients was significantly altered compared with control patients. We determined that the unburned autologous donor skin from burn patients exhibits a microbiome similar to that of the burn margin, rather than unburned controls, and that changes in the cutaneous microbiome statistically correlate with several post-burn complications. We established that Corynebacterium positively correlated with burn wound infection, while Staphylococcus and Propionibacterium negatively correlated with burn wound infection. Both Corynebacterium and Enterococcus negatively correlated with the development of sepsis.<h4>Conclusions</h4>This study identifies distinct differences in the cutaneous microbiome between burn subjects and unburned controls, and ascertains that select bacterial taxa significantly correlate with several comorbid complications of burn injury. These preliminary data suggest that grafting donor skin exhibiting bacterial dysbiosis may augment infection and/or graft failure and sets the foundation for more in-depth and mechanistic analyses in presumably ""healthy"" donor skin from patients requiring skin grafting procedures."	*Burn and Shock Trauma Research Institute, Loyola University Chicago, Health Sciences Campus, Maywood, Illinois†Department of Surgery, Loyola University Chicago, Health Sciences Campus, Maywood, Illinois‡Department of Public Health Sciences, Stritch School of Medicine, Loyola University Chicago, Health Sciences Campus, Maywood, Illinois§Center for Biomedical Informatics, Loyola University Chicago, Health Sciences Campus, Maywood, Illinois||Department of Microbiology and Immunology, Indiana University School of Medicine, Indianapolis, Indiana¶Departments of Dermatology and Microbiology, Perelman School of Medicine, University of Pennsylvania, Philadelphia, Pennsylvania.	ppublish	eng	Print	Clinical Trial;Research Support, Non-U.S. Gov't;research-article;Journal Article;Research Support, N.I.H., Extramural		N	Y	N	Y	N	N	13	Y	Y	Y	N	Y		Y	bioproject	2017-04-04	2017-04-04	2020-10-21	2022-03-18		2017-10-01	https://doi.org/10.1097/shk.0000000000000874	https://europepmc.org/articles/PMC5603347	https://europepmc.org/articles/PMC5603347?pdf=render			
0	PRJEB27442	31882601	31882601	MED	31882601	PMC6934516	PMC6934516	10.1038/s41598-019-56065-y	A generic workflow for Single Locus Sequence Typing (SLST) design and subspecies characterization of microbiota.	Ederveen THA, Smits JPH, Hajo K, van Schalkwijk S, Kouwenhoven TA, Lukovac S, Wels M, van den Bogaard EH, Schalkwijk J, Boekhorst J, Zeeuwen PLJM, van Hijum SAFT.	1.0	9	2887502	2019 Dec	12	2019	2019-12-01	Scientific reports	Sci Rep	Sci Rep	101563288	2045-2322	2045-2322	2019	19834	We present TaxPhlAn, a new method and bioinformatics pipeline for design and analysis of single-locus sequence typing (SLST) markers to type and profile bacteria beyond the species-level in a complex microbial community background. TaxPhlAn can be applied to any group of phylogenetically-related bacteria, provided reference genomes are available. As TaxPhlAn requires the SLST targets identified to fit the phylogenetic pattern as determined through comprehensive evolutionary reconstruction of input genomes, TaxPhlAn allows for the identification and phylogenetic inference of new biodiversity. Here, we present a clinically relevant case study of high-resolution Staphylococcus profiling on skin of atopic dermatitis (AD) patients. We demonstrate that SLST enables profiling of cutaneous Staphylococcus members at (sub)species level and provides higher resolution than current 16S-based techniques. With the higher discriminative ability provided by our approach, we further show that the presence of Staphylococcus capitis on the skin together with Staphylococcus aureus associates with AD disease.	Center for Molecular and Biomolecular Informatics (CMBI), Radboud Institute for Molecular Life Sciences (RIMLS), Radboud University Medical Center (Radboudumc), Nijmegen, The Netherlands. Tom.Ederveen@radboudumc.nl.	epublish	eng	Electronic	research-article;Journal Article		Y	Y	N	Y	N	Y	6	Y	Y	Y	N	Y	cc by	Y	bioproject;gen	2019-12-29	2019-12-30	2020-07-10	2021-01-10	2019-12-27	2019-12-27	https://doi.org/10.1038/s41598-019-56065-y	https://europepmc.org/articles/PMC6934516	https://europepmc.org/articles/PMC6934516?pdf=render	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6934516/fullTextXML	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6934516/supplementaryFiles?includeInlineImage=yes	http://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/4e/0e/PMC6934516.tar.gz
0	PRJEB47175	PRJEB47175	36109548	MED	36109548	PMC9477808	PMC9477808	10.1038/s41598-022-19676-6	Skin microbiota analysis in patients with anorexia nervosa and healthy-weight controls reveals microbial indicators of healthy weight and associations with the antimicrobial peptide psoriasin.	Hermes BM, Rademacher F, Chung C, Tiegs G, Bendix MC, de Zwaan M, Harder J, Baines JF.	1.0	12	3415944	2022 Sep	9	2022	2022-09-01	Scientific reports	Sci Rep	Sci Rep	101563288	2045-2322	2045-2322	2022	15515	Anorexia nervosa (AN), a psychiatric condition defined by low body weight for age and height, is associated with numerous dermatological conditions. Yet, clinical observations report that patients with AN do not suffer from infectious skin diseases like those associated with primary malnutrition. Cell-mediated immunity appears to be amplified in AN; however, this proinflammatory state does not sufficiently explain the lower incidence of infections. Antimicrobial peptides (AMPs) are important components of the innate immune system protecting from pathogens and shaping the microbiota. In Drosophila melanogaster starvation precedes increased AMP gene expression. Here, we analyzed skin microbiota in patients with AN and age-matched, healthy-weight controls and investigated the influence of weight gain on microbial community structure. We then correlated features of the skin microbial community with psoriasin and RNase 7, two highly abundant AMPs in human skin, to clarify whether an association between AMPs and skin microbiota exists and whether such a relationship might contribute to the resistance to cutaneous infections observed in AN. We find significant statistical correlations between Shannon diversity and the highly abundant skin AMP psoriasin and bacterial load, respectively. Moreover, we reveal psoriasin significantly associates with Abiotrophia, an indicator for the healthy-weight control group. Additionally, we observe a significant correlation between an individual's body mass index and Lactobacillus, a microbial indicator of health. Future investigation may help clarify physiological mechanisms that link nutritional intake with skin physiology.	Max Planck Institute for Evolutionary Biology, Plön, Germany. hermes@evolbio.mpg.de.	epublish	eng	Electronic	Research Support, Non-U.S. Gov't;research-article;Journal Article		Y	Y	N	Y	N	Y	0	Y	Y	Y	N	Y	cc by	N		2022-09-15	2022-09-17	2022-09-19	2022-12-27	2022-09-15	2022-09-15	https://doi.org/10.1038/s41598-022-19676-6	https://europepmc.org/articles/PMC9477808	https://europepmc.org/articles/PMC9477808?pdf=render	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9477808/fullTextXML	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9477808/supplementaryFiles?includeInlineImage=yes	http://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/2c/41/PMC9477808.tar.gz
