study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sra_bytes	sra_md5	sra_ftp	sra_aspera	sra_galaxy	cram_index_ftp	cram_index_aspera	cram_index_galaxy	sample_alias	broker_name	sample_title	nominal_sdev	first_created
PRJDB716	DRP000933	SAMD00013236	DRS003097	DRX002969	DRR003662	DRA000900	539655	human skin metagenome	LS454	454 GS FLX			SINGLE	OTHER	GENOMIC	PCR	5409	2616228	UCSD	2013-01-30	2015-06-19	454 GS FLX sequencing; The microbiome extends to subepidermal compartments of normal skin	UCSD Skin Microbiome Project	DRP000933	DRX002969	DRR003662	634844	2ed6ba5f8e80ab81ef9f8f3a28855c47	ftp.sra.ebi.ac.uk/vol1/fastq/DRR003/DRR003662/DRR003662.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR003/DRR003662/DRR003662.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR003/DRR003662/DRR003662.fastq.gz							6438108	1ecac5fb9d2ba4b9462e2262a2e3e11c	ftp.sra.ebi.ac.uk/vol1/drr/DRR003/DRR003662	fasp.sra.ebi.ac.uk:/vol1/drr/DRR003/DRR003662	ftp.sra.ebi.ac.uk/vol1/drr/DRR003/DRR003662				SAMD00013236		The microbiome extends to subepidermal compartments of normal skin		2013-11-11
PRJDB716	DRP000933	SAMD00013234	DRS003098	DRX002970	DRR003663	DRA000900	539655	human skin metagenome	LS454	454 GS FLX			SINGLE	OTHER	GENOMIC	PCR	22038	12434154	UCSD	2013-01-30	2015-06-19	454 GS FLX sequencing; The microbiome extends to subepidermal compartments of normal skin	UCSD Skin Microbiome Project	DRP000933	DRX002970	DRR003663	2779225	50d0e50fedacbc6717a3d535fe538e7b	ftp.sra.ebi.ac.uk/vol1/fastq/DRR003/DRR003663/DRR003663.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR003/DRR003663/DRR003663.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR003/DRR003663/DRR003663.fastq.gz							28631874	1fc7b2f1002e564474590f464ef592bf	ftp.sra.ebi.ac.uk/vol1/drr/DRR003/DRR003663	fasp.sra.ebi.ac.uk:/vol1/drr/DRR003/DRR003663	ftp.sra.ebi.ac.uk/vol1/drr/DRR003/DRR003663				SAMD00013234		The microbiome extends to subepidermal compartments of normal skin		2013-11-11
PRJDB716	DRP000933	SAMD00013239	DRS003099	DRX002971	DRR003664	DRA000900	539655	human skin metagenome	LS454	454 GS FLX			SINGLE	OTHER	GENOMIC	PCR	12936	6984314	UCSD	2013-01-30	2015-06-19	454 GS FLX sequencing; The microbiome extends to subepidermal compartments of normal skin	UCSD Skin Microbiome Project	DRP000933	DRX002971	DRR003664	1752112	7b34ddf48bbcdcaa8b60d3ea8e4beecc	ftp.sra.ebi.ac.uk/vol1/fastq/DRR003/DRR003664/DRR003664.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR003/DRR003664/DRR003664.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR003/DRR003664/DRR003664.fastq.gz							16535399	71de0022e56922488461d28c895f651e	ftp.sra.ebi.ac.uk/vol1/drr/DRR003/DRR003664	fasp.sra.ebi.ac.uk:/vol1/drr/DRR003/DRR003664	ftp.sra.ebi.ac.uk/vol1/drr/DRR003/DRR003664				SAMD00013239		The microbiome extends to subepidermal compartments of normal skin		2013-11-11
PRJDB716	DRP000933	SAMD00013224	DRS003100	DRX002972	DRR003665	DRA000900	539655	human skin metagenome	LS454	454 GS FLX			SINGLE	OTHER	GENOMIC	PCR	13179	7285988	UCSD	2013-01-30	2015-06-19	454 GS FLX sequencing; The microbiome extends to subepidermal compartments of normal skin	UCSD Skin Microbiome Project	DRP000933	DRX002972	DRR003665	1816162	1c0bb0a064abe24301b8c5db3d291c98	ftp.sra.ebi.ac.uk/vol1/fastq/DRR003/DRR003665/DRR003665.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR003/DRR003665/DRR003665.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR003/DRR003665/DRR003665.fastq.gz							16999713	db3b7f661208c3bc704bfbfce7da868b	ftp.sra.ebi.ac.uk/vol1/drr/DRR003/DRR003665	fasp.sra.ebi.ac.uk:/vol1/drr/DRR003/DRR003665	ftp.sra.ebi.ac.uk/vol1/drr/DRR003/DRR003665				SAMD00013224		The microbiome extends to subepidermal compartments of normal skin		2013-11-11
PRJDB716	DRP000933	SAMD00013242	DRS003101	DRX002973	DRR003666	DRA000900	539655	human skin metagenome	LS454	454 GS FLX			SINGLE	OTHER	GENOMIC	PCR	9401	5240187	UCSD	2013-01-30	2015-06-19	454 GS FLX sequencing; The microbiome extends to subepidermal compartments of normal skin	UCSD Skin Microbiome Project	DRP000933	DRX002973	DRR003666	1161395	fd7b71dda47a86dadda5842c8b273c54	ftp.sra.ebi.ac.uk/vol1/fastq/DRR003/DRR003666/DRR003666.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR003/DRR003666/DRR003666.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR003/DRR003666/DRR003666.fastq.gz							12273363	0be6ee9b3980e6c3eb4ecb585a463c3b	ftp.sra.ebi.ac.uk/vol1/drr/DRR003/DRR003666	fasp.sra.ebi.ac.uk:/vol1/drr/DRR003/DRR003666	ftp.sra.ebi.ac.uk/vol1/drr/DRR003/DRR003666				SAMD00013242		The microbiome extends to subepidermal compartments of normal skin		2013-11-11
PRJDB716	DRP000933	SAMD00013221	DRS003102	DRX002974	DRR003667	DRA000900	539655	human skin metagenome	LS454	454 GS FLX			SINGLE	OTHER	GENOMIC	PCR	11278	6014631	UCSD	2013-01-30	2015-06-19	454 GS FLX sequencing; The microbiome extends to subepidermal compartments of normal skin	UCSD Skin Microbiome Project	DRP000933	DRX002974	DRR003667	1515127	0df2c262d0d36fcefa357e971db2eb9d	ftp.sra.ebi.ac.uk/vol1/fastq/DRR003/DRR003667/DRR003667.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR003/DRR003667/DRR003667.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR003/DRR003667/DRR003667.fastq.gz							14361390	0d8a16e905d58b1df026e82985ed4332	ftp.sra.ebi.ac.uk/vol1/drr/DRR003/DRR003667	fasp.sra.ebi.ac.uk:/vol1/drr/DRR003/DRR003667	ftp.sra.ebi.ac.uk/vol1/drr/DRR003/DRR003667				SAMD00013221		The microbiome extends to subepidermal compartments of normal skin		2013-11-11
PRJDB716	DRP000933	SAMD00013232	DRS003103	DRX002975	DRR003668	DRA000900	539655	human skin metagenome	LS454	454 GS FLX			SINGLE	OTHER	GENOMIC	PCR	9517	5104443	UCSD	2013-01-30	2015-06-19	454 GS FLX sequencing; The microbiome extends to subepidermal compartments of normal skin	UCSD Skin Microbiome Project	DRP000933	DRX002975	DRR003668	1139748	497c99f56b867f9e83605120abc14e3a	ftp.sra.ebi.ac.uk/vol1/fastq/DRR003/DRR003668/DRR003668.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR003/DRR003668/DRR003668.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR003/DRR003668/DRR003668.fastq.gz							12184357	bc3e95be6f98b690644bc25c49121647	ftp.sra.ebi.ac.uk/vol1/drr/DRR003/DRR003668	fasp.sra.ebi.ac.uk:/vol1/drr/DRR003/DRR003668	ftp.sra.ebi.ac.uk/vol1/drr/DRR003/DRR003668				SAMD00013232		The microbiome extends to subepidermal compartments of normal skin		2013-11-11
PRJDB716	DRP000933	SAMD00013222	DRS003104	DRX002976	DRR003669	DRA000900	539655	human skin metagenome	LS454	454 GS FLX			SINGLE	OTHER	GENOMIC	PCR	22075	12256690	UCSD	2013-01-30	2015-06-19	454 GS FLX sequencing; The microbiome extends to subepidermal compartments of normal skin	UCSD Skin Microbiome Project	DRP000933	DRX002976	DRR003669	2702792	f5e004eb64e22e2cff8cc1d46ce4322f	ftp.sra.ebi.ac.uk/vol1/fastq/DRR003/DRR003669/DRR003669.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR003/DRR003669/DRR003669.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR003/DRR003669/DRR003669.fastq.gz							28365235	2d8a0f6511b951830074e4c5e891dedf	ftp.sra.ebi.ac.uk/vol1/drr/DRR003/DRR003669	fasp.sra.ebi.ac.uk:/vol1/drr/DRR003/DRR003669	ftp.sra.ebi.ac.uk/vol1/drr/DRR003/DRR003669				SAMD00013222		The microbiome extends to subepidermal compartments of normal skin		2013-11-11
PRJDB716	DRP000933	SAMD00013241	DRS003105	DRX002977	DRR003670	DRA000900	539655	human skin metagenome	LS454	454 GS FLX			SINGLE	OTHER	GENOMIC	PCR	7204	3445089	UCSD	2013-01-30	2015-06-19	454 GS FLX sequencing; The microbiome extends to subepidermal compartments of normal skin	UCSD Skin Microbiome Project	DRP000933	DRX002977	DRR003670	831877	3b649c2a426571332ca9d11f6e45a740	ftp.sra.ebi.ac.uk/vol1/fastq/DRR003/DRR003670/DRR003670.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR003/DRR003670/DRR003670.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR003/DRR003670/DRR003670.fastq.gz							8601071	99061b4790b7e22b3b18c07e0fdf926e	ftp.sra.ebi.ac.uk/vol1/drr/DRR003/DRR003670	fasp.sra.ebi.ac.uk:/vol1/drr/DRR003/DRR003670	ftp.sra.ebi.ac.uk/vol1/drr/DRR003/DRR003670				SAMD00013241		The microbiome extends to subepidermal compartments of normal skin		2013-11-11
PRJDB716	DRP000933	SAMD00013220	DRS003106	DRX002978	DRR003671	DRA000900	539655	human skin metagenome	LS454	454 GS FLX			SINGLE	OTHER	GENOMIC	PCR	7211	3789739	UCSD	2013-01-30	2015-06-19	454 GS FLX sequencing; The microbiome extends to subepidermal compartments of normal skin	UCSD Skin Microbiome Project	DRP000933	DRX002978	DRR003671	928534	6e4ea09139359eab3bec5a54a194d636	ftp.sra.ebi.ac.uk/vol1/fastq/DRR003/DRR003671/DRR003671.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR003/DRR003671/DRR003671.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR003/DRR003671/DRR003671.fastq.gz							9087965	f68705d64fda68a5d95370a23cb43831	ftp.sra.ebi.ac.uk/vol1/drr/DRR003/DRR003671	fasp.sra.ebi.ac.uk:/vol1/drr/DRR003/DRR003671	ftp.sra.ebi.ac.uk/vol1/drr/DRR003/DRR003671				SAMD00013220		The microbiome extends to subepidermal compartments of normal skin		2013-11-11
