study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sra_bytes	sra_md5	sra_ftp	sra_aspera	sra_galaxy	cram_index_ftp	cram_index_aspera	cram_index_galaxy	sample_alias	broker_name	sample_title	nominal_sdev	first_created
PRJEB23563	ERP105323	SAMEA104693442	ERS2294825	ERX2456808	ERR2437240	ERA1253608	9606	Homo sapiens	ILLUMINA	Illumina MiSeq	unspecified	0	PAIRED	AMPLICON	METAGENOMIC	PCR	222792	133915959	MEDICAL UNIVERSITY GRAZ	2018-07-23	2018-11-16	Illumina MiSeq paired end sequencing	Comparative microbiota profiling of cutaneous tumors identifies Staphylococcus aureus as a possible driver of neoplasia development	ena-STUDY-MEDICAL UNIVERSITY GRAZ-22-11-2017-09:18:42:127-16	ena-EXPERIMENT-MEDICAL UNIVERSITY GRAZ-21-03-2018-12:04:57:043-1	ena-RUN-MEDICAL UNIVERSITY GRAZ-21-03-2018-12:04:57:043-1	24944329;32214005	020244001b1f8776fe92ab3464b9529b;75bd13279417204bf964963c9961d17e	ftp.sra.ebi.ac.uk/vol1/fastq/ERR243/000/ERR2437240/ERR2437240_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR243/000/ERR2437240/ERR2437240_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR243/000/ERR2437240/ERR2437240_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR243/000/ERR2437240/ERR2437240_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR243/000/ERR2437240/ERR2437240_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR243/000/ERR2437240/ERR2437240_2.fastq.gz	25455660;32780100	f8fb8fd9d821d0cc02a7ab9eb4996a0b;5e8a11c46abad394ac43f7da4433e130	ftp.sra.ebi.ac.uk/vol1/run/ERR243/ERR2437240/11A4_S11_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR243/ERR2437240/11A4_S11_L001_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR243/ERR2437240/11A4_S11_L001_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR243/ERR2437240/11A4_S11_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR243/ERR2437240/11A4_S11_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR243/ERR2437240/11A4_S11_L001_R2_001.fastq.gz	FASTQ;FASTQ	78740306	a5077843451de29d16dd5349d674cfe9	ftp.sra.ebi.ac.uk/vol1/err/ERR243/000/ERR2437240	fasp.sra.ebi.ac.uk:/vol1/err/ERR243/000/ERR2437240	ftp.sra.ebi.ac.uk/vol1/err/ERR243/000/ERR2437240				11A4		actinic keratosis (AK)	0	2018-03-21
PRJEB23563	ERP105323	SAMEA104693443	ERS2294826	ERX2456809	ERR2437241	ERA1253608	9606	Homo sapiens	ILLUMINA	Illumina MiSeq	unspecified	0	PAIRED	AMPLICON	METAGENOMIC	PCR	486479	292348497	MEDICAL UNIVERSITY GRAZ	2018-07-23	2018-11-16	Illumina MiSeq paired end sequencing	Comparative microbiota profiling of cutaneous tumors identifies Staphylococcus aureus as a possible driver of neoplasia development	ena-STUDY-MEDICAL UNIVERSITY GRAZ-22-11-2017-09:18:42:127-16	ena-EXPERIMENT-MEDICAL UNIVERSITY GRAZ-21-03-2018-12:04:57:043-2	ena-RUN-MEDICAL UNIVERSITY GRAZ-21-03-2018-12:04:57:043-2	61046272;74806850	931ef6f95bf20b3c8e3fb4b7c0a43c6b;1951067baea35706d4118108a60b9abc	ftp.sra.ebi.ac.uk/vol1/fastq/ERR243/001/ERR2437241/ERR2437241_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR243/001/ERR2437241/ERR2437241_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR243/001/ERR2437241/ERR2437241_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR243/001/ERR2437241/ERR2437241_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR243/001/ERR2437241/ERR2437241_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR243/001/ERR2437241/ERR2437241_2.fastq.gz	62086160;75929072	f86241f0b2d7ef44c7bd242785d335cd;88f8d871b2e0ac4f5ade7cec3591262e	ftp.sra.ebi.ac.uk/vol1/run/ERR243/ERR2437241/12A5_S12_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR243/ERR2437241/12A5_S12_L001_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR243/ERR2437241/12A5_S12_L001_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR243/ERR2437241/12A5_S12_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR243/ERR2437241/12A5_S12_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR243/ERR2437241/12A5_S12_L001_R2_001.fastq.gz	FASTQ;FASTQ	174964588	3aa5f9c97594297d50c67ed732e56e3b	ftp.sra.ebi.ac.uk/vol1/err/ERR243/001/ERR2437241	fasp.sra.ebi.ac.uk:/vol1/err/ERR243/001/ERR2437241	ftp.sra.ebi.ac.uk/vol1/err/ERR243/001/ERR2437241				12A5		actinic keratosis (AK)	0	2018-03-21
PRJEB23563	ERP105323	SAMEA104693444	ERS2294827	ERX2456810	ERR2437242	ERA1253608	9606	Homo sapiens	ILLUMINA	Illumina MiSeq	unspecified	0	PAIRED	AMPLICON	METAGENOMIC	PCR	252121	151506082	MEDICAL UNIVERSITY GRAZ	2018-07-23	2018-11-16	Illumina MiSeq paired end sequencing	Comparative microbiota profiling of cutaneous tumors identifies Staphylococcus aureus as a possible driver of neoplasia development	ena-STUDY-MEDICAL UNIVERSITY GRAZ-22-11-2017-09:18:42:127-16	ena-EXPERIMENT-MEDICAL UNIVERSITY GRAZ-21-03-2018-12:04:57:043-3	ena-RUN-MEDICAL UNIVERSITY GRAZ-21-03-2018-12:04:57:043-3	41798057;47522194	ad0c11b8bd01b125a162a54f96709fe3;4fbcb52bf53c34b5e431ce662c167101	ftp.sra.ebi.ac.uk/vol1/fastq/ERR243/002/ERR2437242/ERR2437242_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR243/002/ERR2437242/ERR2437242_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR243/002/ERR2437242/ERR2437242_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR243/002/ERR2437242/ERR2437242_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR243/002/ERR2437242/ERR2437242_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR243/002/ERR2437242/ERR2437242_2.fastq.gz	42501187;48295769	e6684f3dce7724d8eee94fb29de1c8fc;bafbcb7646c9b483e1b7f3091439da15	ftp.sra.ebi.ac.uk/vol1/run/ERR243/ERR2437242/13A6_S13_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR243/ERR2437242/13A6_S13_L001_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR243/ERR2437242/13A6_S13_L001_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR243/ERR2437242/13A6_S13_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR243/ERR2437242/13A6_S13_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR243/ERR2437242/13A6_S13_L001_R2_001.fastq.gz	FASTQ;FASTQ	101693134	d10689c35e20a17294f0e18812b52a59	ftp.sra.ebi.ac.uk/vol1/err/ERR243/002/ERR2437242	fasp.sra.ebi.ac.uk:/vol1/err/ERR243/002/ERR2437242	ftp.sra.ebi.ac.uk/vol1/err/ERR243/002/ERR2437242				13A6		actinic keratosis (AK)	0	2018-03-21
PRJEB23563	ERP105323	SAMEA104693445	ERS2294828	ERX2456811	ERR2437243	ERA1253608	9606	Homo sapiens	ILLUMINA	Illumina MiSeq	unspecified	0	PAIRED	AMPLICON	METAGENOMIC	PCR	188175	113054519	MEDICAL UNIVERSITY GRAZ	2018-07-23	2018-11-16	Illumina MiSeq paired end sequencing	Comparative microbiota profiling of cutaneous tumors identifies Staphylococcus aureus as a possible driver of neoplasia development	ena-STUDY-MEDICAL UNIVERSITY GRAZ-22-11-2017-09:18:42:127-16	ena-EXPERIMENT-MEDICAL UNIVERSITY GRAZ-21-03-2018-12:04:57:043-4	ena-RUN-MEDICAL UNIVERSITY GRAZ-21-03-2018-12:04:57:043-4	25362320;31153459	4f1cf64620c676c1bba62d63140b4dac;7be53b2679e13284727cc469dc807b4d	ftp.sra.ebi.ac.uk/vol1/fastq/ERR243/003/ERR2437243/ERR2437243_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR243/003/ERR2437243/ERR2437243_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR243/003/ERR2437243/ERR2437243_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR243/003/ERR2437243/ERR2437243_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR243/003/ERR2437243/ERR2437243_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR243/003/ERR2437243/ERR2437243_2.fastq.gz	25837929;31699384	80ae9db452e5dc643b54e352f0675903;bf5c059d1e2e3cd66ba675e92a5a7ac8	ftp.sra.ebi.ac.uk/vol1/run/ERR243/ERR2437243/14A7_S14_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR243/ERR2437243/14A7_S14_L001_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR243/ERR2437243/14A7_S14_L001_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR243/ERR2437243/14A7_S14_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR243/ERR2437243/14A7_S14_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR243/ERR2437243/14A7_S14_L001_R2_001.fastq.gz	FASTQ;FASTQ	68839522	3333cc9762a93994118fd6020dc115d9	ftp.sra.ebi.ac.uk/vol1/err/ERR243/003/ERR2437243	fasp.sra.ebi.ac.uk:/vol1/err/ERR243/003/ERR2437243	ftp.sra.ebi.ac.uk/vol1/err/ERR243/003/ERR2437243				14A7		actinic keratosis (AK)	0	2018-03-21
PRJEB23563	ERP105323	SAMEA104693446	ERS2294829	ERX2456812	ERR2437244	ERA1253608	9606	Homo sapiens	ILLUMINA	Illumina MiSeq	unspecified	0	PAIRED	AMPLICON	METAGENOMIC	PCR	426481	256222421	MEDICAL UNIVERSITY GRAZ	2018-07-23	2018-11-16	Illumina MiSeq paired end sequencing	Comparative microbiota profiling of cutaneous tumors identifies Staphylococcus aureus as a possible driver of neoplasia development	ena-STUDY-MEDICAL UNIVERSITY GRAZ-22-11-2017-09:18:42:127-16	ena-EXPERIMENT-MEDICAL UNIVERSITY GRAZ-21-03-2018-12:04:57:043-5	ena-RUN-MEDICAL UNIVERSITY GRAZ-21-03-2018-12:04:57:043-5	54049152;68823172	6c4defbdd5311f43a6bdcd337aa10c66;4b3876f3573a5238146b8dcc03b08b7c	ftp.sra.ebi.ac.uk/vol1/fastq/ERR243/004/ERR2437244/ERR2437244_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR243/004/ERR2437244/ERR2437244_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR243/004/ERR2437244/ERR2437244_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR243/004/ERR2437244/ERR2437244_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR243/004/ERR2437244/ERR2437244_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR243/004/ERR2437244/ERR2437244_2.fastq.gz	54970679;69871595	6650fd85838af011a8b44c9bfc2b9e71;d9610f119b8bca62268175573cc25ad7	ftp.sra.ebi.ac.uk/vol1/run/ERR243/ERR2437244/15A8_S15_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR243/ERR2437244/15A8_S15_L001_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR243/ERR2437244/15A8_S15_L001_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR243/ERR2437244/15A8_S15_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR243/ERR2437244/15A8_S15_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR243/ERR2437244/15A8_S15_L001_R2_001.fastq.gz	FASTQ;FASTQ	153769999	d90708851e52015c99aae20897da3369	ftp.sra.ebi.ac.uk/vol1/err/ERR243/004/ERR2437244	fasp.sra.ebi.ac.uk:/vol1/err/ERR243/004/ERR2437244	ftp.sra.ebi.ac.uk/vol1/err/ERR243/004/ERR2437244				15A8		actinic keratosis (AK)	0	2018-03-21
PRJEB23563	ERP105323	SAMEA104693447	ERS2294830	ERX2456813	ERR2437245	ERA1253608	9606	Homo sapiens	ILLUMINA	Illumina MiSeq	unspecified	0	PAIRED	AMPLICON	METAGENOMIC	PCR	368344	221375434	MEDICAL UNIVERSITY GRAZ	2018-07-23	2018-11-16	Illumina MiSeq paired end sequencing	Comparative microbiota profiling of cutaneous tumors identifies Staphylococcus aureus as a possible driver of neoplasia development	ena-STUDY-MEDICAL UNIVERSITY GRAZ-22-11-2017-09:18:42:127-16	ena-EXPERIMENT-MEDICAL UNIVERSITY GRAZ-21-03-2018-12:04:57:043-6	ena-RUN-MEDICAL UNIVERSITY GRAZ-21-03-2018-12:04:57:043-6	45329611;57694293	c9c85664775f885f2c14309f36920030;66a4dfe3c047060cfb4fbaba4a6dc29a	ftp.sra.ebi.ac.uk/vol1/fastq/ERR243/005/ERR2437245/ERR2437245_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR243/005/ERR2437245/ERR2437245_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR243/005/ERR2437245/ERR2437245_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR243/005/ERR2437245/ERR2437245_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR243/005/ERR2437245/ERR2437245_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR243/005/ERR2437245/ERR2437245_2.fastq.gz	46129486;58594823	6591f722495bb267b15d5d3ab31f461a;cf57558f391b8e93eae78aa6735f2fc3	ftp.sra.ebi.ac.uk/vol1/run/ERR243/ERR2437245/16S8_S16_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR243/ERR2437245/16S8_S16_L001_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR243/ERR2437245/16S8_S16_L001_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR243/ERR2437245/16S8_S16_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR243/ERR2437245/16S8_S16_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR243/ERR2437245/16S8_S16_L001_R2_001.fastq.gz	FASTQ;FASTQ	131284007	52d1cfe3ef4fcb0e081d693d28e990f8	ftp.sra.ebi.ac.uk/vol1/err/ERR243/005/ERR2437245	fasp.sra.ebi.ac.uk:/vol1/err/ERR243/005/ERR2437245	ftp.sra.ebi.ac.uk/vol1/err/ERR243/005/ERR2437245				16S8		actinic keratosis (AK)	0	2018-03-21
PRJEB23563	ERP105323	SAMEA104693453	ERS2294836	ERX2456814	ERR2437246	ERA1253608	9606	Homo sapiens	ILLUMINA	Illumina MiSeq	unspecified	0	PAIRED	AMPLICON	METAGENOMIC	PCR	366501	220116040	MEDICAL UNIVERSITY GRAZ	2018-07-23	2018-11-16	Illumina MiSeq paired end sequencing	Comparative microbiota profiling of cutaneous tumors identifies Staphylococcus aureus as a possible driver of neoplasia development	ena-STUDY-MEDICAL UNIVERSITY GRAZ-22-11-2017-09:18:42:127-16	ena-EXPERIMENT-MEDICAL UNIVERSITY GRAZ-21-03-2018-12:04:57:043-7	ena-RUN-MEDICAL UNIVERSITY GRAZ-21-03-2018-12:04:57:043-7	48059607;59465892	f99dc2870402fe43bc2a2a5d17fe0e90;7d2111728d37b276e2e3f28578e3305b	ftp.sra.ebi.ac.uk/vol1/fastq/ERR243/006/ERR2437246/ERR2437246_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR243/006/ERR2437246/ERR2437246_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR243/006/ERR2437246/ERR2437246_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR243/006/ERR2437246/ERR2437246_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR243/006/ERR2437246/ERR2437246_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR243/006/ERR2437246/ERR2437246_2.fastq.gz	48892518;60399952	4ace4f48ed0e748d658deb5a03b330a9;e3ff122eef9b54c3f8e81e486d915fb7	ftp.sra.ebi.ac.uk/vol1/run/ERR243/ERR2437246/18S9_S18_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR243/ERR2437246/18S9_S18_L001_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR243/ERR2437246/18S9_S18_L001_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR243/ERR2437246/18S9_S18_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR243/ERR2437246/18S9_S18_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR243/ERR2437246/18S9_S18_L001_R2_001.fastq.gz	FASTQ;FASTQ	133081148	c9ae809ceff343e0b2dff28236d28269	ftp.sra.ebi.ac.uk/vol1/err/ERR243/006/ERR2437246	fasp.sra.ebi.ac.uk:/vol1/err/ERR243/006/ERR2437246	ftp.sra.ebi.ac.uk/vol1/err/ERR243/006/ERR2437246				18S9		cutaneous squamous cell carcinoma (cSCC)	0	2018-03-21
PRJEB23563	ERP105323	SAMEA104693454	ERS2294837	ERX2456815	ERR2437247	ERA1253608	9606	Homo sapiens	ILLUMINA	Illumina MiSeq	unspecified	0	PAIRED	AMPLICON	METAGENOMIC	PCR	182568	109707848	MEDICAL UNIVERSITY GRAZ	2018-07-23	2018-11-16	Illumina MiSeq paired end sequencing	Comparative microbiota profiling of cutaneous tumors identifies Staphylococcus aureus as a possible driver of neoplasia development	ena-STUDY-MEDICAL UNIVERSITY GRAZ-22-11-2017-09:18:42:127-16	ena-EXPERIMENT-MEDICAL UNIVERSITY GRAZ-21-03-2018-12:04:57:044-8	ena-RUN-MEDICAL UNIVERSITY GRAZ-21-03-2018-12:04:57:044-8	23991788;29358872	b60eafe506ae9a6da1c8b1cdc6cfe582;6b1a51335513893a61e29ec44cb52cc1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR243/007/ERR2437247/ERR2437247_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR243/007/ERR2437247/ERR2437247_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR243/007/ERR2437247/ERR2437247_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR243/007/ERR2437247/ERR2437247_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR243/007/ERR2437247/ERR2437247_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR243/007/ERR2437247/ERR2437247_2.fastq.gz	24454821;29866318	68cc5e84fe7686742fd6c1e7de5f798b;f7e057b4e8a2e52804fc64389dbe505c	ftp.sra.ebi.ac.uk/vol1/run/ERR243/ERR2437247/19S10_S19_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR243/ERR2437247/19S10_S19_L001_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR243/ERR2437247/19S10_S19_L001_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR243/ERR2437247/19S10_S19_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR243/ERR2437247/19S10_S19_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR243/ERR2437247/19S10_S19_L001_R2_001.fastq.gz	FASTQ;FASTQ	66001029	af657db9449513387609b82cf2b697ba	ftp.sra.ebi.ac.uk/vol1/err/ERR243/007/ERR2437247	fasp.sra.ebi.ac.uk:/vol1/err/ERR243/007/ERR2437247	ftp.sra.ebi.ac.uk/vol1/err/ERR243/007/ERR2437247				19S10		cutaneous squamous cell carcinoma (cSCC)	0	2018-03-21
PRJEB23563	ERP105323	SAMEA104693455	ERS2294838	ERX2456816	ERR2437248	ERA1253608	9606	Homo sapiens	ILLUMINA	Illumina MiSeq	unspecified	0	PAIRED	AMPLICON	METAGENOMIC	PCR	186828	112293703	MEDICAL UNIVERSITY GRAZ	2018-07-23	2018-11-16	Illumina MiSeq paired end sequencing	Comparative microbiota profiling of cutaneous tumors identifies Staphylococcus aureus as a possible driver of neoplasia development	ena-STUDY-MEDICAL UNIVERSITY GRAZ-22-11-2017-09:18:42:127-16	ena-EXPERIMENT-MEDICAL UNIVERSITY GRAZ-21-03-2018-12:04:57:044-9	ena-RUN-MEDICAL UNIVERSITY GRAZ-21-03-2018-12:04:57:044-9	24750805;30389603	474fd3845e6a37909774d76683e2b485;4ba36b7fe4ff48af6f293c8bfd3622e8	ftp.sra.ebi.ac.uk/vol1/fastq/ERR243/008/ERR2437248/ERR2437248_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR243/008/ERR2437248/ERR2437248_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR243/008/ERR2437248/ERR2437248_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR243/008/ERR2437248/ERR2437248_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR243/008/ERR2437248/ERR2437248_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR243/008/ERR2437248/ERR2437248_2.fastq.gz	25216560;30904673	3de2bb5bf23dbc1f0ce27e03d8eedc42;f65836cef2a3ce21d08d9e7809408b04	ftp.sra.ebi.ac.uk/vol1/run/ERR243/ERR2437248/1S1_S1_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR243/ERR2437248/1S1_S1_L001_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR243/ERR2437248/1S1_S1_L001_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR243/ERR2437248/1S1_S1_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR243/ERR2437248/1S1_S1_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR243/ERR2437248/1S1_S1_L001_R2_001.fastq.gz	FASTQ;FASTQ	68157748	26241bf4fa84abdb1342796f82db93a3	ftp.sra.ebi.ac.uk/vol1/err/ERR243/008/ERR2437248	fasp.sra.ebi.ac.uk:/vol1/err/ERR243/008/ERR2437248	ftp.sra.ebi.ac.uk/vol1/err/ERR243/008/ERR2437248				1S1		cutaneous squamous cell carcinoma (cSCC)	0	2018-03-21
PRJEB23563	ERP105323	SAMEA104693456	ERS2294839	ERX2456817	ERR2437249	ERA1253608	9606	Homo sapiens	ILLUMINA	Illumina MiSeq	unspecified	0	PAIRED	AMPLICON	METAGENOMIC	PCR	201521	121125747	MEDICAL UNIVERSITY GRAZ	2018-07-23	2018-11-16	Illumina MiSeq paired end sequencing	Comparative microbiota profiling of cutaneous tumors identifies Staphylococcus aureus as a possible driver of neoplasia development	ena-STUDY-MEDICAL UNIVERSITY GRAZ-22-11-2017-09:18:42:127-16	ena-EXPERIMENT-MEDICAL UNIVERSITY GRAZ-21-03-2018-12:04:57:044-10	ena-RUN-MEDICAL UNIVERSITY GRAZ-21-03-2018-12:04:57:044-10	27490894;31554922	a6b381393bf35680780ec2ca38479cb9;b13b9ca932afdcaa823b8cf0688299ad	ftp.sra.ebi.ac.uk/vol1/fastq/ERR243/009/ERR2437249/ERR2437249_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR243/009/ERR2437249/ERR2437249_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR243/009/ERR2437249/ERR2437249_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR243/009/ERR2437249/ERR2437249_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR243/009/ERR2437249/ERR2437249_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR243/009/ERR2437249/ERR2437249_2.fastq.gz	28002300;32106628	4cdcb22a3dca99ff0356a5bbc3b2bbb8;b542445f5435f531854391f880c6170d	ftp.sra.ebi.ac.uk/vol1/run/ERR243/ERR2437249/20S11_S20_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR243/ERR2437249/20S11_S20_L001_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR243/ERR2437249/20S11_S20_L001_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR243/ERR2437249/20S11_S20_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR243/ERR2437249/20S11_S20_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR243/ERR2437249/20S11_S20_L001_R2_001.fastq.gz	FASTQ;FASTQ	73835667	f0a996cf9244f7055463d1fd054fe70c	ftp.sra.ebi.ac.uk/vol1/err/ERR243/009/ERR2437249	fasp.sra.ebi.ac.uk:/vol1/err/ERR243/009/ERR2437249	ftp.sra.ebi.ac.uk/vol1/err/ERR243/009/ERR2437249				20S11		cutaneous squamous cell carcinoma (cSCC)	0	2018-03-21
