center_name	PRIMARY_ID	EXTERNAL_ID	SUBMITTER_ID	TITLE	TAXON_ID	SCIENTIFIC_NAME	ENA-SUBMISSION	ENA-FASTQ-FILES	ENA-SUBMITTED-FILES	collection date	environment (biome)	environment (feature)	environment (material)	geographic location (country and/or sea)	geographic location (latitude)	geographic location (longitude)	host-associated environmental package	investigation type	project name	sequencing method	ENA-CHECKLIST	ENA-SPOT-COUNT	ENA-BASE-COUNT	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS5337287	SAMEA7578949	wyj1	skin	749906	gut metagenome	ERA3145805	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337287&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337287&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2019	skin	skin	skin	China	103.82	36.07	host-associated	mimarks-survey	skin_metagenome	MiSeq	ERC000013	68382	29070486	2022-01-30	2022-01-30
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS5337288	SAMEA7578950	wyj2	skin	749906	gut metagenome	ERA3145805	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337288&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337288&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2019	skin	skin	skin	China	103.82	36.07	host-associated	mimarks-survey	skin_metagenome	MiSeq	ERC000013	25170	10713122	2022-01-30	2022-01-30
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS5337289	SAMEA7578951	wyj3	skin	749906	gut metagenome	ERA3145805	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337289&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337289&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2019	skin	skin	skin	China	103.82	36.07	host-associated	mimarks-survey	skin_metagenome	MiSeq	ERC000013	89086	37954325	2022-01-30	2022-01-30
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS5337290	SAMEA7578952	wyj4	skin	749906	gut metagenome	ERA3145805	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337290&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337290&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2019	skin	skin	skin	China	103.82	36.07	host-associated	mimarks-survey	skin_metagenome	MiSeq	ERC000013	21622	9197038	2022-01-30	2022-01-30
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS5337291	SAMEA7578953	wyj5	skin	749906	gut metagenome	ERA3145805	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337291&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337291&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2019	skin	skin	skin	China	103.82	36.07	host-associated	mimarks-survey	skin_metagenome	MiSeq	ERC000013	178206	76009188	2022-01-30	2022-01-30
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS5337292	SAMEA7578954	wyj6	skin	749906	gut metagenome	ERA3145805	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337292&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337292&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2019	skin	skin	skin	China	103.82	36.07	host-associated	mimarks-survey	skin_metagenome	MiSeq	ERC000013	47576	20239012	2022-01-30	2022-01-30
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS5337293	SAMEA7578955	wyj7	skin	749906	gut metagenome	ERA3145805	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337293&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337293&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2019	skin	skin	skin	China	103.82	36.07	host-associated	mimarks-survey	skin_metagenome	MiSeq	ERC000013	53577	22684027	2022-01-30	2022-01-30
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS5337294	SAMEA7578956	wyj8	skin	749906	gut metagenome	ERA3145805	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337294&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337294&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2019	skin	skin	skin	China	103.82	36.07	host-associated	mimarks-survey	skin_metagenome	MiSeq	ERC000013	93197	39627088	2022-01-30	2022-01-30
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS5337295	SAMEA7578957	wyj9	skin	749906	gut metagenome	ERA3145805	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337295&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337295&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2019	skin	skin	skin	China	103.82	36.07	host-associated	mimarks-survey	skin_metagenome	MiSeq	ERC000013	18155	7716367	2022-01-30	2022-01-30
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS5337296	SAMEA7578958	wyj10	skin	749906	gut metagenome	ERA3145805	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337296&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS5337296&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2019	skin	skin	skin	China	103.82	36.07	host-associated	mimarks-survey	skin_metagenome	MiSeq	ERC000013	33289	14142760	2022-01-30	2022-01-30
