center_name	PRIMARY_ID	EXTERNAL_ID	SUBMITTER_ID	TITLE	TAXON_ID	SCIENTIFIC_NAME	ENA-SUBMISSION	ENA-FASTQ-FILES	ENA-SUBMITTED-FILES	collection date	environment (biome)	environment (feature)	environment (material)	geographic location (country and/or sea)	geographic location (latitude)	geographic location (longitude)	human skin environmental package	investigation type	project name	sequencing method	ENA-CHECKLIST	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE
Yale University, New Haven, United States	ERS7648160	SAMEA9969872	HD01_Visit01_Torso_LeftFlank_LesionNO	Malignant T Cell Activation by Bacillus safensis isolated from Cutaneous T Cell Lymphoma Lesions	539655	human skin metagenome	ERA6456421	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS7648160&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS7648160&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2016-03-05	skin	skin	skin	USA	41.310726	-72.929916	human-skin	bacteria_archaea	Malignant T Cell Activation by Bacillus safensis isolated from Cutaneous T Cell Lymphoma Lesions	illumina miseq	ERC000017	2021-09-27	2021-09-27
Yale University, New Haven, United States	ERS7648161	SAMEA9969873	HD01_Visit01_Leg_LowerLeft_LesionNO	Malignant T Cell Activation by Bacillus safensis isolated from Cutaneous T Cell Lymphoma Lesions	539655	human skin metagenome	ERA6456421	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS7648161&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS7648161&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2016-03-05	skin	skin	skin	USA	41.310726	-72.929916	human-skin	bacteria_archaea	Malignant T Cell Activation by Bacillus safensis isolated from Cutaneous T Cell Lymphoma Lesions	illumina miseq	ERC000017	2021-09-27	2021-09-27
Yale University, New Haven, United States	ERS7648162	SAMEA9969874	HD01_Visit01_Foot_Righ_LesionNO	Malignant T Cell Activation by Bacillus safensis isolated from Cutaneous T Cell Lymphoma Lesions	539655	human skin metagenome	ERA6456421	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS7648162&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS7648162&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2016-03-05	skin	skin	skin	USA	41.310726	-72.929916	human-skin	bacteria_archaea	Malignant T Cell Activation by Bacillus safensis isolated from Cutaneous T Cell Lymphoma Lesions	illumina miseq	ERC000017	2021-09-27	2021-09-27
Yale University, New Haven, United States	ERS7648163	SAMEA9969875	HD01_Visit01_Arm_RightUpper_LesionNO	Malignant T Cell Activation by Bacillus safensis isolated from Cutaneous T Cell Lymphoma Lesions	539655	human skin metagenome	ERA6456421	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS7648163&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS7648163&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2016-03-05	skin	skin	skin	USA	41.310726	-72.929916	human-skin	bacteria_archaea	Malignant T Cell Activation by Bacillus safensis isolated from Cutaneous T Cell Lymphoma Lesions	illumina miseq	ERC000017	2021-09-27	2021-09-27
Yale University, New Haven, United States	ERS7648164	SAMEA9969876	HD02_Visit01_Torso_LeftFlank_LesionNO	Malignant T Cell Activation by Bacillus safensis isolated from Cutaneous T Cell Lymphoma Lesions	539655	human skin metagenome	ERA6456421	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS7648164&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS7648164&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2016-03-05	skin	skin	skin	USA	41.310726	-72.929916	human-skin	bacteria_archaea	Malignant T Cell Activation by Bacillus safensis isolated from Cutaneous T Cell Lymphoma Lesions	illumina miseq	ERC000017	2021-09-27	2021-09-27
Yale University, New Haven, United States	ERS7648165	SAMEA9969877	HD02_Visit01_Leg_LeftLower_LesionNO	Malignant T Cell Activation by Bacillus safensis isolated from Cutaneous T Cell Lymphoma Lesions	539655	human skin metagenome	ERA6456421	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS7648165&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS7648165&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2016-03-05	skin	skin	skin	USA	41.310726	-72.929916	human-skin	bacteria_archaea	Malignant T Cell Activation by Bacillus safensis isolated from Cutaneous T Cell Lymphoma Lesions	illumina miseq	ERC000017	2021-09-27	2021-09-27
Yale University, New Haven, United States	ERS7648166	SAMEA9969878	HD02_Visit01_Foot_Right_LesionNO	Malignant T Cell Activation by Bacillus safensis isolated from Cutaneous T Cell Lymphoma Lesions	539655	human skin metagenome	ERA6456421	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS7648166&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS7648166&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2016-03-05	skin	skin	skin	USA	41.310726	-72.929916	human-skin	bacteria_archaea	Malignant T Cell Activation by Bacillus safensis isolated from Cutaneous T Cell Lymphoma Lesions	illumina miseq	ERC000017	2021-09-27	2021-09-27
Yale University, New Haven, United States	ERS7648167	SAMEA9969879	HD02_Visit01_Arm_RightUpper_LesionNO	Malignant T Cell Activation by Bacillus safensis isolated from Cutaneous T Cell Lymphoma Lesions	539655	human skin metagenome	ERA6456421	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS7648167&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS7648167&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2016-03-05	skin	skin	skin	USA	41.310726	-72.929916	human-skin	bacteria_archaea	Malignant T Cell Activation by Bacillus safensis isolated from Cutaneous T Cell Lymphoma Lesions	illumina miseq	ERC000017	2021-09-27	2021-09-27
Yale University, New Haven, United States	ERS7648168	SAMEA9969880	HD03_Visit01_Leg_LeftLower_LesionNO	Malignant T Cell Activation by Bacillus safensis isolated from Cutaneous T Cell Lymphoma Lesions	539655	human skin metagenome	ERA6456421	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS7648168&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS7648168&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2016-03-05	skin	skin	skin	USA	41.310726	-72.929916	human-skin	bacteria_archaea	Malignant T Cell Activation by Bacillus safensis isolated from Cutaneous T Cell Lymphoma Lesions	illumina miseq	ERC000017	2021-09-27	2021-09-27
Yale University, New Haven, United States	ERS7648169	SAMEA9969881	HD03_Visit01_Torso_LowerFlank_LesionNO	Malignant T Cell Activation by Bacillus safensis isolated from Cutaneous T Cell Lymphoma Lesions	539655	human skin metagenome	ERA6456421	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS7648169&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS7648169&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2016-03-05	skin	skin	skin	USA	41.310726	-72.929916	human-skin	bacteria_archaea	Malignant T Cell Activation by Bacillus safensis isolated from Cutaneous T Cell Lymphoma Lesions	illumina miseq	ERC000017	2021-09-27	2021-09-27
