study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sra_bytes	sra_md5	sra_ftp	sra_aspera	sra_galaxy	cram_index_ftp	cram_index_aspera	cram_index_galaxy	sample_alias	broker_name	sample_title	nominal_sdev	first_created
PRJNA267573	SRP050070	SAMN03198271	SRS748706	SRX764341	SRR1657945	SRA203986	539655	human skin metagenome	ILLUMINA	Illumina MiSeq	pac1		SINGLE	AMPLICON	METAGENOMIC	PCR	1499647	376411381	SUB750367	2015-06-05	2016-06-28	Illumina MiSeq sequencing	The microbiological signature of human cutaneous leishmaniasis lesions	PRJNA267573	pac1	Pac1.fastq	199822792	8c2aa419f43aface351934423cdc1ab8	ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/005/SRR1657945/SRR1657945.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR165/005/SRR1657945/SRR1657945.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/005/SRR1657945/SRR1657945.fastq.gz							245428172	cd1dba0011ce7a71732b45ab30717646	ftp.sra.ebi.ac.uk/vol1/srr/SRR165/005/SRR1657945	fasp.sra.ebi.ac.uk:/vol1/srr/SRR165/005/SRR1657945	ftp.sra.ebi.ac.uk/vol1/srr/SRR165/005/SRR1657945				pac1		Human skin sample from Homo sapiens endemic area		2015-06-05
PRJNA267573	SRP050070	SAMN03198273	SRS748707	SRX764342	SRR1657946	SRA203986	539655	human skin metagenome	ILLUMINA	Illumina MiSeq	pac2		SINGLE	AMPLICON	METAGENOMIC	PCR	1422776	357116776	SUB750367	2015-06-05	2016-06-28	Illumina MiSeq sequencing	The microbiological signature of human cutaneous leishmaniasis lesions	PRJNA267573	pac2	Pac2.fastq	184145150	cff5ec36246e5681083c744b778b883e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/006/SRR1657946/SRR1657946.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR165/006/SRR1657946/SRR1657946.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/006/SRR1657946/SRR1657946.fastq.gz							227683969	fbf7fab5a387e465be550a8290ce2ac0	ftp.sra.ebi.ac.uk/vol1/srr/SRR165/006/SRR1657946	fasp.sra.ebi.ac.uk:/vol1/srr/SRR165/006/SRR1657946	ftp.sra.ebi.ac.uk/vol1/srr/SRR165/006/SRR1657946				pac2		Human skin sample from homo sapiens		2015-06-05
PRJNA267573	SRP050070	SAMN03198274	SRS748708	SRX764343	SRR1657947	SRA203986	539655	human skin metagenome	ILLUMINA	Illumina MiSeq	pac3		SINGLE	AMPLICON	METAGENOMIC	PCR	1571393	394419643	SUB750367	2015-06-05	2016-06-28	Illumina MiSeq sequencing	The microbiological signature of human cutaneous leishmaniasis lesions	PRJNA267573	pac3	Pac3.fastq	214341449	46abe49a337ce024a1fd3c3fb67629fc	ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/007/SRR1657947/SRR1657947.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR165/007/SRR1657947/SRR1657947.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/007/SRR1657947/SRR1657947.fastq.gz							250261152	4902ba097e5c5919e5d319ed7982f01f	ftp.sra.ebi.ac.uk/vol1/srr/SRR165/007/SRR1657947	fasp.sra.ebi.ac.uk:/vol1/srr/SRR165/007/SRR1657947	ftp.sra.ebi.ac.uk/vol1/srr/SRR165/007/SRR1657947				pac3		Human skin sample from Homo sapiens endemic area		2015-06-05
PRJNA267573	SRP050070	SAMN03198275	SRS748709	SRX764344	SRR1657948	SRA203986	539655	human skin metagenome	ILLUMINA	Illumina MiSeq	pac4		SINGLE	AMPLICON	METAGENOMIC	PCR	1784624	447940624	SUB750367	2015-06-05	2016-06-28	Illumina MiSeq sequencing	The microbiological signature of human cutaneous leishmaniasis lesions	PRJNA267573	pac4	Pac4.fastq	243338060	4ac6a6ce6b4f602cebcced453811c336	ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/008/SRR1657948/SRR1657948.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR165/008/SRR1657948/SRR1657948.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/008/SRR1657948/SRR1657948.fastq.gz							285592466	e510a102508093bacd478ca3eb337975	ftp.sra.ebi.ac.uk/vol1/srr/SRR165/008/SRR1657948	fasp.sra.ebi.ac.uk:/vol1/srr/SRR165/008/SRR1657948	ftp.sra.ebi.ac.uk/vol1/srr/SRR165/008/SRR1657948				pac4		Human skin sample from Homo sapiens endemic area		2015-06-05
PRJNA267573	SRP050070	SAMN03198276	SRS748710	SRX764345	SRR1657949	SRA203986	539655	human skin metagenome	ILLUMINA	Illumina MiSeq	pac5		SINGLE	AMPLICON	METAGENOMIC	PCR	1615967	405607514	SUB750367	2015-06-05	2016-06-28	Illumina MiSeq sequencing	The microbiological signature of human cutaneous leishmaniasis lesions	PRJNA267573	pac5	Pac5.fastq	201810648	52c36c2355433d76aa1e31f11e801634	ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/009/SRR1657949/SRR1657949.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR165/009/SRR1657949/SRR1657949.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/009/SRR1657949/SRR1657949.fastq.gz							252117081	0d8abdce8c04800fc06cff04482f54dd	ftp.sra.ebi.ac.uk/vol1/srr/SRR165/009/SRR1657949	fasp.sra.ebi.ac.uk:/vol1/srr/SRR165/009/SRR1657949	ftp.sra.ebi.ac.uk/vol1/srr/SRR165/009/SRR1657949				pac5		Human skin sample from Homo sapiens endemic area		2015-06-05
PRJNA267573	SRP050070	SAMN03198277	SRS748711	SRX764346	SRR1657950	SRA203986	539655	human skin metagenome	ILLUMINA	Illumina MiSeq	pac6		SINGLE	AMPLICON	METAGENOMIC	PCR	1839102	461614586	SUB750367	2015-06-05	2016-06-28	Illumina MiSeq sequencing	The microbiological signature of human cutaneous leishmaniasis lesions	PRJNA267573	pac6	Pac6.fastq	253990817	2435f689ed9030d607b95537ce12794f	ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/000/SRR1657950/SRR1657950.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR165/000/SRR1657950/SRR1657950.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/000/SRR1657950/SRR1657950.fastq.gz							296644549	771a5230b933b0913421de9de309cc05	ftp.sra.ebi.ac.uk/vol1/srr/SRR165/000/SRR1657950	fasp.sra.ebi.ac.uk:/vol1/srr/SRR165/000/SRR1657950	ftp.sra.ebi.ac.uk/vol1/srr/SRR165/000/SRR1657950				pac6		Human skin sample from Homo sapiens endemic area		2015-06-05
PRJNA267573	SRP050070	SAMN03198314	SRS748712	SRX764347	SRR1657951	SRA203986	539655	human skin metagenome	ILLUMINA	Illumina MiSeq	pac7		SINGLE	AMPLICON	METAGENOMIC	PCR	1794582	450440082	SUB750367	2015-06-05	2016-06-28	Illumina MiSeq sequencing	The microbiological signature of human cutaneous leishmaniasis lesions	PRJNA267573	pac7	Pac7.fastq	214874901	b4e7fdcff47f50ba0d62a4fa7da67fad	ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/001/SRR1657951/SRR1657951.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR165/001/SRR1657951/SRR1657951.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/001/SRR1657951/SRR1657951.fastq.gz							263875791	446a873a029bf8af92c2d14172cac831	ftp.sra.ebi.ac.uk/vol1/srr/SRR165/001/SRR1657951	fasp.sra.ebi.ac.uk:/vol1/srr/SRR165/001/SRR1657951	ftp.sra.ebi.ac.uk/vol1/srr/SRR165/001/SRR1657951				pac7		Human skin sample from Homo sapiens endemic area		2015-06-05
PRJNA267573	SRP050070	SAMN03198315	SRS748713	SRX764348	SRR1657952	SRA203986	539655	human skin metagenome	ILLUMINA	Illumina MiSeq	pac8		SINGLE	AMPLICON	METAGENOMIC	PCR	1475457	370339664	SUB750367	2015-06-05	2016-06-28	Illumina MiSeq sequencing	The microbiological signature of human cutaneous leishmaniasis lesions	PRJNA267573	pac8	Pac8.fastq	188544805	a3ceab40d1a7dfe987d78e6d66d955c8	ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/002/SRR1657952/SRR1657952.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR165/002/SRR1657952/SRR1657952.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/002/SRR1657952/SRR1657952.fastq.gz							233855465	9cab3319fd21548120905b2ddc4270b9	ftp.sra.ebi.ac.uk/vol1/srr/SRR165/002/SRR1657952	fasp.sra.ebi.ac.uk:/vol1/srr/SRR165/002/SRR1657952	ftp.sra.ebi.ac.uk/vol1/srr/SRR165/002/SRR1657952				pac8		Human skin sample from Homo sapiens endemic area		2015-06-05
PRJNA267573	SRP050070	SAMN03198316	SRS748715	SRX764350	SRR1657953	SRA203986	539655	human skin metagenome	ILLUMINA	Illumina MiSeq	pac9		SINGLE	AMPLICON	METAGENOMIC	PCR	1638265	411204386	SUB750367	2015-06-05	2016-06-28	Illumina MiSeq sequencing	The microbiological signature of human cutaneous leishmaniasis lesions	PRJNA267573	pac9	Pac9.fastq	218619163	32e12086a77bd68ba9de5848b4c7df0a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/003/SRR1657953/SRR1657953.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR165/003/SRR1657953/SRR1657953.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/003/SRR1657953/SRR1657953.fastq.gz							258858950	39a4ab80c10b5570fcc50e9fad3031e3	ftp.sra.ebi.ac.uk/vol1/srr/SRR165/003/SRR1657953	fasp.sra.ebi.ac.uk:/vol1/srr/SRR165/003/SRR1657953	ftp.sra.ebi.ac.uk/vol1/srr/SRR165/003/SRR1657953				pac9		Human skin sample from Homo sapiens endemic area		2015-06-05
PRJNA267573	SRP050070	SAMN03198317	SRS748716	SRX764351	SRR1657954	SRA203986	539655	human skin metagenome	ILLUMINA	Illumina MiSeq	pac10		SINGLE	AMPLICON	METAGENOMIC	PCR	1889333	474222454	SUB750367	2015-06-05	2016-06-28	Illumina MiSeq sequencing	The microbiological signature of human cutaneous leishmaniasis lesions	PRJNA267573	pac10	Pac10.fastq	249641644	32f82ccd31cd8cd8746a6c82fad796e8	ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/004/SRR1657954/SRR1657954.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR165/004/SRR1657954/SRR1657954.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/004/SRR1657954/SRR1657954.fastq.gz							303439130	acdb8d91f1d96ce437e08c3461dc9c31	ftp.sra.ebi.ac.uk/vol1/srr/SRR165/004/SRR1657954	fasp.sra.ebi.ac.uk:/vol1/srr/SRR165/004/SRR1657954	ftp.sra.ebi.ac.uk/vol1/srr/SRR165/004/SRR1657954				pac10		Human skin sample from Homo sapiens endemic area		2015-06-05
