broker_name	center_name	PRIMARY_ID	EXTERNAL_ID	SUBMITTER_ID	TITLE	TAXON_ID	SCIENTIFIC_NAME	DESCRIPTION	ENA-STUDY	ENA-EXPERIMENT	ENA-RUN	ENA-SUBMISSION	ENA-FASTQ-FILES	ENA-SUBMITTED-FILES	collection_date	env_biome	env_feature	env_material	geo_loc_name	lat_lon	host	run	well	SampleID	RunName	SubjectID	SkinType	BodySite	Timepoint	Group	Cage	BioSampleModel	ENA-SPOT-COUNT	ENA-BASE-COUNT	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE
NCBI	pda|e00011027	SRS2390556	SAMN07416240	106284	NA	540485	mouse skin metagenome	Sample106284	SRP113696	SRX3042779	SRR8791914	SRA276253	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS2390556&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS2390556&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2014-03-05	NA	NA	NA	NA	NA	Mouse	MiSeq_18	A1	106284	MiSeq_18	1	Control	Ear	0 weeks	Co-housed Naive	1	MIGS/MIMS/MIMARKS.host-associated	52430	15729000	2017-07-28	2017-07-28
NCBI	pda|e00011027	SRS2390557	SAMN07416241	106285	NA	540485	mouse skin metagenome	Sample106285	SRP113696	SRX3042780	SRR8791915	SRA276253	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS2390557&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS2390557&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2014-03-05	NA	NA	NA	NA	NA	Mouse	MiSeq_18	A2	106285	MiSeq_18	2	Control	Ear	0 weeks	Co-housed Naive	1	MIGS/MIMS/MIMARKS.host-associated	74836	22450800	2017-07-28	2017-07-28
NCBI	pda|e00011027	SRS2390558	SAMN07416242	106286	NA	540485	mouse skin metagenome	Sample106286	SRP113696	SRX3042781	SRR8791916	SRA276253	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS2390558&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS2390558&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2014-03-05	NA	NA	NA	NA	NA	Mouse	MiSeq_18	A3	106286	MiSeq_18	3	Control	Ear	0 weeks	Co-housed Naive	1	MIGS/MIMS/MIMARKS.host-associated	83217	24965100	2017-07-28	2017-07-28
NCBI	pda|e00011027	SRS2390559	SAMN07416243	106287	NA	540485	mouse skin metagenome	Sample106287	SRP113696	SRX3042782	SRR8791917	SRA276253	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS2390559&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS2390559&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2014-03-05	NA	NA	NA	NA	NA	Mouse	MiSeq_18	A4	106287	MiSeq_18	4	Control	Ear	0 weeks	Co-housed Naive	1	MIGS/MIMS/MIMARKS.host-associated	1591	477300	2017-07-28	2017-07-28
NCBI	pda|e00011027	SRS2390560	SAMN07416244	106288	NA	540485	mouse skin metagenome	Sample106288	SRP113696	SRX3042783	SRR8791918	SRA276253	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS2390560&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS2390560&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2014-03-05	NA	NA	NA	NA	NA	Mouse	MiSeq_18	A5	106288	MiSeq_18	5	Lesion	Ear	0 weeks	Infected	1	MIGS/MIMS/MIMARKS.host-associated	92335	27700500	2017-07-28	2017-07-28
NCBI	pda|e00011027	SRS2390561	SAMN07416245	106289	NA	540485	mouse skin metagenome	Sample106289	SRP113696	SRX3042784	SRR8791919	SRA276253	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS2390561&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS2390561&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2014-03-05	NA	NA	NA	NA	NA	Mouse	MiSeq_18	A6	106289	MiSeq_18	6	Non-lesion	Ear	0 weeks	Infected	1	MIGS/MIMS/MIMARKS.host-associated	84715	25414500	2017-07-28	2017-07-28
NCBI	pda|e00011027	SRS2390562	SAMN07416246	106290	NA	540485	mouse skin metagenome	Sample106290	SRP113696	SRX3042785	SRR8791920	SRA276253	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS2390562&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS2390562&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2014-03-05	NA	NA	NA	NA	NA	Mouse	MiSeq_18	A7	106290	MiSeq_18	7	Lesion	Ear	0 weeks	Infected	1	MIGS/MIMS/MIMARKS.host-associated	81178	24353400	2017-07-28	2017-07-28
NCBI	pda|e00011027	SRS2390563	SAMN07416247	106291	NA	540485	mouse skin metagenome	Sample106291	SRP113696	SRX3042786	SRR8791921	SRA276253	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS2390563&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS2390563&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2014-03-05	NA	NA	NA	NA	NA	Mouse	MiSeq_18	A8	106291	MiSeq_18	8	Non-lesion	Ear	0 weeks	Infected	1	MIGS/MIMS/MIMARKS.host-associated	68741	20622300	2017-07-28	2017-07-28
NCBI	pda|e00011027	SRS2390564	SAMN07416248	106292	NA	540485	mouse skin metagenome	Sample106292	SRP113696	SRX3042787	SRR8791922	SRA276253	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS2390564&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS2390564&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2014-03-05	NA	NA	NA	NA	NA	Mouse	MiSeq_18	A9	106292	MiSeq_18	9	Lesion	Ear	0 weeks	Infected	1	MIGS/MIMS/MIMARKS.host-associated	77415	23224500	2017-07-28	2017-07-28
NCBI	pda|e00011027	SRS2390565	SAMN07416249	106293	NA	540485	mouse skin metagenome	Sample106293	SRP113696	SRX3042788	SRR8791923	SRA276253	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS2390565&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS2390565&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2014-03-05	NA	NA	NA	NA	NA	Mouse	MiSeq_18	A10	106293	MiSeq_18	10	Non-lesion	Ear	0 weeks	Infected	1	MIGS/MIMS/MIMARKS.host-associated	121049	36314700	2017-07-28	2017-07-28
