broker_name	PRIMARY_ID	EXTERNAL_ID	SUBMITTER_ID	TITLE	TAXON_ID	SCIENTIFIC_NAME	COMMON_NAME	ENA-STUDY	ENA-EXPERIMENT	ENA-RUN	ENA-SUBMISSION	ARRAYEXPRESS	ENA-FASTQ-FILES	ENA-SUBMITTED-FILES	source_name	tissue	risk-group	ENA-SPOT-COUNT	ENA-BASE-COUNT	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE
NCBI	SRS3013183	SAMN08630668	GSM3029051	TS16	9606	Homo sapiens	human	SRP133830	SRX3757570	SRR6798709	SRA663820	E-GEOD-111354	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3013183&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3013183&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Human Skin Biopsy	skin	High-Risk	58754192	11750838400	2021-03-03	2021-03-03
NCBI	SRS3013178	SAMN08630669	GSM3029045	S4	9606	Homo sapiens	human	SRP133830	SRX3757564	SRR6798703	SRA663820	E-GEOD-111354	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3013178&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3013178&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Human Skin Biopsy	skin	High-Risk	38202460	7240492000	2021-03-03	2021-03-03
NCBI	SRS3013176	SAMN08630670	GSM3029044	TS6	9606	Homo sapiens	human	SRP133830	SRX3757563	SRR6798702	SRA663820	E-GEOD-111354	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3013176&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3013176&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Human Skin Biopsy	skin	Low-Risk	51116412	10223282400	2021-03-03	2021-03-03
NCBI	SRS3013180	SAMN08630671	GSM3029050	TS15	9606	Homo sapiens	human	SRP133830	SRX3757569	SRR6798708	SRA663820	E-GEOD-111354	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3013180&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3013180&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Human Skin Biopsy	skin	High-Risk	48985348	9797069600	2021-03-03	2021-03-03
NCBI	SRS3013182	SAMN08630672	GSM3029049	TS14	9606	Homo sapiens	human	SRP133830	SRX3757568	SRR6798707	SRA663820	E-GEOD-111354	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3013182&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3013182&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Human Skin Biopsy	skin	High-Risk	62477107	12495421400	2021-03-03	2021-03-03
NCBI	SRS3013181	SAMN08630673	GSM3029048	TS13	9606	Homo sapiens	human	SRP133830	SRX3757567	SRR6798706	SRA663820	E-GEOD-111354	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3013181&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3013181&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Human Skin Biopsy	skin	High-Risk	68147308	13629461600	2021-03-03	2021-03-03
NCBI	SRS3013179	SAMN08630674	GSM3029047	TS10	9606	Homo sapiens	human	SRP133830	SRX3757566	SRR6798705	SRA663820	E-GEOD-111354	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3013179&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3013179&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Human Skin Biopsy	skin	High-Risk	61881431	12376286200	2021-03-03	2021-03-03
NCBI	SRS3013189	SAMN08630675	GSM3029046	TS4	9606	Homo sapiens	human	SRP133830	SRX3757565	SRR6798704	SRA663820	E-GEOD-111354	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3013189&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3013189&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Human Skin Biopsy	skin	High-Risk	36140170	7228034000	2021-03-03	2021-03-03
NCBI	SRS3013174	SAMN08630676	GSM3029041	CC03	9606	Homo sapiens	human	SRP133830	SRX3757560	SRR6798699	SRA663820	E-GEOD-111354	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3013174&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3013174&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Human Skin Biopsy	skin	Low-Risk	38682258	7736451600	2021-03-03	2021-03-03
NCBI	SRS3013173	SAMN08630677	GSM3029040	CC02	9606	Homo sapiens	human	SRP133830	SRX3757559	SRR6798698	SRA663820	E-GEOD-111354	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3013173&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3013173&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Human Skin Biopsy	skin	Low-Risk	35558520	7111704000	2021-03-03	2021-03-03
NCBI	SRS3013172	SAMN08630678	GSM3029039	CC01	9606	Homo sapiens	human	SRP133830	SRX3757558	SRR6798697	SRA663820	E-GEOD-111354	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3013172&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3013172&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Human Skin Biopsy	skin	Low-Risk	38009139	7601827800	2021-03-03	2021-03-03
