broker_name	center_name	PRIMARY_ID	EXTERNAL_ID	SUBMITTER_ID	TITLE	TAXON_ID	SCIENTIFIC_NAME	ENA-STUDY	ENA-EXPERIMENT	ENA-RUN	ENA-SUBMISSION	ENA-FASTQ-FILES	ENA-SUBMITTED-FILES	library_name	collection_date	env_biome	env_feature	env_material	geo_loc_name	host	lat_lon	BioSampleModel	ENA-SPOT-COUNT	ENA-BASE-COUNT	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE	DESCRIPTION
NCBI	pda|conlans	SRS3665624	SAMN09715230	MET1778	human skin metagenome	539655	human skin metagenome	SRP157584	SRX4548361	SRR7687998-SRR7687999	SRA757534	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3665624&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3665624&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	MET1778	2010-09-27	human skin	Ac-R	Sw	USA	Homo sapiens	38.984652 N 77.094709 W	MIGS/MIMS/MIMARKS.human-skin	16239743	4092415236	2018-08-14	2018-08-14	
NCBI	pda|conlans	SRS3665625	SAMN09715231	MET1779	human skin metagenome	539655	human skin metagenome	SRP157584	SRX4548362	SRR7688000	SRA757534	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3665625&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3665625&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	MET1779	2010-09-27	human skin	Pc-R	Sw	USA	Homo sapiens	38.984652 N 77.094709 W	MIGS/MIMS/MIMARKS.human-skin	13774717	3471228684	2018-08-14	2018-08-14	
NCBI	pda|conlans	SRS3665626	SAMN09715232	MET1780	human skin metagenome	539655	human skin metagenome	SRP157584	SRX4548363	SRR7688001-SRR7688002	SRA757534	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3665626&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3665626&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	MET1780	2010-09-27	human skin	Ra-R	Sw	USA	Homo sapiens	38.984652 N 77.094709 W	MIGS/MIMS/MIMARKS.human-skin	1350463	340316676	2018-08-14	2018-08-14	
NCBI	pda|conlans	SRS3665627	SAMN09715233	MET1781	human skin metagenome	539655	human skin metagenome	SRP157584	SRX4548364	SRR7688003-SRR7688004	SRA757534	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3665627&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3665627&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	MET1781	2010-09-27	human skin	Vf-R	Sw	USA	Homo sapiens	38.984652 N 77.094709 W	MIGS/MIMS/MIMARKS.human-skin	2334332	588251664	2018-08-14	2018-08-14	
NCBI	pda|conlans	SRS3666168	SAMN09715234	MET2050	human skin metagenome	539655	human skin metagenome	SRP157584	SRX4548905	SRR7688743-SRR7688744	SRA757749	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3666168&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3666168&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	MET2050	2011-02-15	human skin	Ac-L	Sw	USA	Homo sapiens	38.984652 N 77.094709 W	MIGS/MIMS/MIMARKS.human-skin	17481678	4405382856	2018-08-14	2018-08-14	
NCBI	pda|conlans	SRS3666169	SAMN09715235	MET2051	human skin metagenome	539655	human skin metagenome	SRP157584	SRX4548906	SRR7688745-SRR7688746	SRA757749	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3666169&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3666169&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	MET2051	2011-02-15	human skin	Pc-L	Sw	USA	Homo sapiens	38.984652 N 77.094709 W	MIGS/MIMS/MIMARKS.human-skin	19194006	4836889512	2018-08-14	2018-08-14	
NCBI	pda|conlans	SRS3666171	SAMN09715236	MET2052	human skin metagenome	539655	human skin metagenome	SRP157584	SRX4548907	SRR7688747-SRR7688748	SRA757749	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3666171&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3666171&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	MET2052	2011-02-15	human skin	Ra-L	Sw	USA	Homo sapiens	38.984652 N 77.094709 W	MIGS/MIMS/MIMARKS.human-skin	4989697	1257403644	2018-08-14	2018-08-14	
NCBI	pda|conlans	SRS3666170	SAMN09715237	MET2053	human skin metagenome	539655	human skin metagenome	SRP157584	SRX4548908	SRR7688749-SRR7688750	SRA757749	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3666170&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3666170&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	MET2053	2011-02-15	human skin	Vf-L	Sw	USA	Homo sapiens	38.984652 N 77.094709 W	MIGS/MIMS/MIMARKS.human-skin	16575831	4177109412	2018-08-14	2018-08-14	
NCBI	pda|conlans	SRS3665628	SAMN09715238	MET1782	human skin metagenome	539655	human skin metagenome	SRP157584	SRX4548365	SRR7688005-SRR7688007	SRA757534	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3665628&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3665628&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	MET1782	2011-02-16	human skin	Ac-R	Sw	USA	Homo sapiens	38.984652 N 77.094709 W	MIGS/MIMS/MIMARKS.human-skin	20578780	5185852560	2018-08-14	2018-08-14	
NCBI	pda|conlans	SRS3665629	SAMN09715239	MET1783	human skin metagenome	539655	human skin metagenome	SRP157584	SRX4548366	SRR7688008-SRR7688010	SRA757534	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3665629&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3665629&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	MET1783	2011-02-16	human skin	Pc-R	Sw	USA	Homo sapiens	38.984652 N 77.094709 W	MIGS/MIMS/MIMARKS.human-skin	21477378	5412299256	2018-08-14	2018-08-14	
