broker_name	PRIMARY_ID	EXTERNAL_ID	SUBMITTER_ID	TITLE	TAXON_ID	SCIENTIFIC_NAME	COMMON_NAME	ENA-STUDY	ENA-EXPERIMENT	ENA-RUN	ENA-SUBMISSION	ARRAYEXPRESS	ENA-FASTQ-FILES	ENA-SUBMITTED-FILES	source_name	tissue	cell type	ENA-SPOT-COUNT	ENA-BASE-COUNT	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE	subject status	cell subtype
NCBI	SRS3423575	SAMN09432998	GSM3192766	Teff_9	9606	Homo sapiens	human	SRP150657	SRX4223223	SRR7349900	SRA723020	E-GEOD-115898	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3423575&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3423575&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	CD4+ T effectors	skin	CD4+ T effector	42879992	8575998400	2018-06-26	2018-08-30		
NCBI	SRS3423569	SAMN09432999	GSM3192760	Teff_3	9606	Homo sapiens	human	SRP150657	SRX4223217	SRR7349894	SRA723020	E-GEOD-115898	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3423569&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3423569&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	CD4+ T effectors	skin	CD4+ T effector	30555928	6111185600	2018-06-26	2018-08-30		
NCBI	SRS3423568	SAMN09433000	GSM3192759	Teff_2	9606	Homo sapiens	human	SRP150657	SRX4223216	SRR7349893	SRA723020	E-GEOD-115898	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3423568&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3423568&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	CD4+ T effectors	skin	CD4+ T effector	43147832	8629566400	2018-06-26	2018-08-30		
NCBI	SRS3423567	SAMN09433001	GSM3192758	Teff_10	9606	Homo sapiens	human	SRP150657	SRX4223215	SRR7349892	SRA723020	E-GEOD-115898	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3423567&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3423567&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	CD4+ T effectors	skin	CD4+ T effector	21223041	4244608200	2018-06-26	2018-06-26		
NCBI	SRS3423547	SAMN09433002	GSM3192738	DC_1	9606	Homo sapiens	human	SRP150657	SRX4223195	SRR7349872	SRA723020	E-GEOD-115898	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3423547&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3423547&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Dendritic cells	skin	Dendritic cell	36890564	7378112800	2018-06-26	2018-08-30		
NCBI	SRS3423546	SAMN09433003	GSM3192737	DC_10	9606	Homo sapiens	human	SRP150657	SRX4223194	SRR7349871	SRA723020	E-GEOD-115898	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3423546&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3423546&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Dendritic cells	skin	Dendritic cell	26603867	5320773400	2018-06-26	2018-08-30		
NCBI	SRS3423545	SAMN09433004	GSM3192736	CD8_8	9606	Homo sapiens	human	SRP150657	SRX4223193	SRR7349870	SRA723020	E-GEOD-115898	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3423545&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3423545&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	CD8+ T cells	skin	CD8+ T cell	36489688	7297937600	2018-06-26	2018-08-30		
NCBI	SRS3423544	SAMN09433005	GSM3192735	CD8_7	9606	Homo sapiens	human	SRP150657	SRX4223192	SRR7349869	SRA723020	E-GEOD-115898	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3423544&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3423544&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	CD8+ T cells	skin	CD8+ T cell	27691934	5538386800	2018-06-26	2018-08-30		
NCBI	SRS3423543	SAMN09433006	GSM3192734	CD8_6	9606	Homo sapiens	human	SRP150657	SRX4223191	SRR7349868	SRA723020	E-GEOD-115898	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3423543&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3423543&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	CD8+ T cells	skin	CD8+ T cell	40370042	8074008400	2018-06-26	2018-08-30		
NCBI	SRS3423542	SAMN09433007	GSM3192733	CD8_5	9606	Homo sapiens	human	SRP150657	SRX4223190	SRR7349867	SRA723020	E-GEOD-115898	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3423542&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS3423542&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	CD8+ T cells	skin	CD8+ T cell	21167880	4233576000	2018-06-26	2018-08-30		
