broker_name	center_name	PRIMARY_ID	EXTERNAL_ID	SUBMITTER_ID	TITLE	TAXON_ID	SCIENTIFIC_NAME	DESCRIPTION	ENA-STUDY	ENA-EXPERIMENT	ENA-RUN	ENA-SUBMISSION	ENA-FASTQ-FILES	ENA-SUBMITTED-FILES	host	isolation_source	collection_date	geo_loc_name	lat_lon	patient_sample	BioSampleModel	ENA-SPOT-COUNT	ENA-BASE-COUNT	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE
NCBI	pda|bigdoyle	SRS4594077	SAMN11352278	DS2016002	patient1-S1	2034148	canine metagenome	patient1-S1	SRP191145	SRX5648704	SRR8861296	SRA870175	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594077&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594077&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Canis lupus familiaris	feces	2016-03-02	USA: Massachusetts	not applicable	patient1-S1	Metagenome or environmental	1278402	360223680	2020-05-05	2020-05-05
NCBI	pda|bigdoyle	SRS4594078	SAMN11352279	DS2016003	patient1-S2	2034148	canine metagenome	patient1-S2	SRP191145	SRX5648705	SRR8861295	SRA870175	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594078&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594078&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Canis lupus familiaris	feces	2016-03-03	USA: Massachusetts	not applicable	patient1-S2	Metagenome or environmental	1025431	263731912	2020-05-05	2020-05-05
NCBI	pda|bigdoyle	SRS4594079	SAMN11352280	DS2016004	patient1-S3	2034148	canine metagenome	patient1-S3	SRP191145	SRX5648706	SRR8861294	SRA870175	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594079&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594079&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Canis lupus familiaris	feces	2016-03-04	USA: Massachusetts	not applicable	patient1-S3	Metagenome or environmental	2242755	563347732	2020-05-05	2020-05-05
NCBI	pda|bigdoyle	SRS4594080	SAMN11352281	DS2016005	patient1-S4	2034148	canine metagenome	patient1-S4	SRP191145	SRX5648707	SRR8861293	SRA870175	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594080&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594080&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Canis lupus familiaris	feces	2016-03-05	USA: Massachusetts	not applicable	patient1-S4	Metagenome or environmental	1516270	390771266	2020-05-05	2020-05-05
NCBI	pda|bigdoyle	SRS4594081	SAMN11352282	DS2016006	patient1-S5	2034148	canine metagenome	patient1-S5	SRP191145	SRX5648708	SRR8861292	SRA870175	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594081&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594081&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Canis lupus familiaris	feces	2016-03-06	USA: Massachusetts	not applicable	patient1-S5	Metagenome or environmental	869229	235629622	2020-05-05	2020-05-05
NCBI	pda|bigdoyle	SRS4594082	SAMN11352283	DS2016008	patient2-S1	2034148	canine metagenome	patient2-S1	SRP191145	SRX5648709	SRR8861291	SRA870175	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594082&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594082&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Canis lupus familiaris	feces	2016-03-30	USA: Massachusetts	not applicable	patient2-S1	Metagenome or environmental	1917159	508938398	2020-05-05	2020-05-05
NCBI	pda|bigdoyle	SRS4594083	SAMN11352284	DS2016009	patient2-S2	2034148	canine metagenome	patient2-S2	SRP191145	SRX5648710	SRR8861290	SRA870175	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594083&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594083&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Canis lupus familiaris	feces	2016-03-31	USA: Massachusetts	not applicable	patient2-S2	Metagenome or environmental	1296003	343624619	2020-05-05	2020-05-05
NCBI	pda|bigdoyle	SRS4594084	SAMN11352285	DS2016010	patient2-S3	2034148	canine metagenome	patient2-S3	SRP191145	SRX5648711	SRR8861289	SRA870175	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594084&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594084&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Canis lupus familiaris	feces	2016-04-01	USA: Massachusetts	not applicable	patient2-S3	Metagenome or environmental	1348678	354561025	2020-05-05	2020-05-05
NCBI	pda|bigdoyle	SRS4594115	SAMN11352286	DS2016012	patient2-S4	2034148	canine metagenome	patient2-S4	SRP191145	SRX5648742	SRR8861258	SRA870175	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594115&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594115&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Canis lupus familiaris	feces	2016-04-03	USA: Massachusetts	not applicable	patient2-S4	Metagenome or environmental	1032554	285067262	2020-05-05	2020-05-05
NCBI	pda|bigdoyle	SRS4594116	SAMN11352287	DS2016013	patient2-S5	2034148	canine metagenome	patient2-S5	SRP191145	SRX5648743	SRR8861257	SRA870175	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594116&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594116&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Canis lupus familiaris	feces	2016-04-04	USA: Massachusetts	not applicable	patient2-S5	Metagenome or environmental	1945215	489446438	2020-05-05	2020-05-05
NCBI	pda|bigdoyle	SRS4594107	SAMN11352288	DS2016014	patient2-S6	2034148	canine metagenome	patient2-S6	SRP191145	SRX5648734	SRR8861266	SRA870175	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594107&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594107&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Canis lupus familiaris	feces	2016-04-05	USA: Massachusetts	not applicable	patient2-S6	Metagenome or environmental	1743205	456590797	2020-05-05	2020-05-05
NCBI	pda|bigdoyle	SRS4594108	SAMN11352289	DS2016015	patient3-S1	2034148	canine metagenome	patient3-S1	SRP191145	SRX5648735	SRR8861265	SRA870175	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594108&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594108&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Canis lupus familiaris	feces	2016-04-19	USA: Massachusetts	not applicable	patient3-S1	Metagenome or environmental	868923	214444722	2020-05-05	2020-05-05
NCBI	pda|bigdoyle	SRS4594105	SAMN11352290	DS2016016	patient3-S2	2034148	canine metagenome	patient3-S2	SRP191145	SRX5648732	SRR8861268	SRA870175	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594105&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594105&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Canis lupus familiaris	feces	2016-04-20	USA: Massachusetts	not applicable	patient3-S2	Metagenome or environmental	2490785	645795107	2020-05-05	2020-05-05
NCBI	pda|bigdoyle	SRS4594106	SAMN11352291	DS2016017	patient3-S3	2034148	canine metagenome	patient3-S3	SRP191145	SRX5648733	SRR8861267	SRA870175	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594106&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594106&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Canis lupus familiaris	feces	2016-04-21	USA: Massachusetts	not applicable	patient3-S3	Metagenome or environmental	1692135	444942532	2020-05-05	2020-05-05
NCBI	pda|bigdoyle	SRS4594111	SAMN11352292	DS2016018	patient3-S4	2034148	canine metagenome	patient3-S4	SRP191145	SRX5648738	SRR8861262	SRA870175	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594111&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594111&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Canis lupus familiaris	feces	2016-04-22	USA: Massachusetts	not applicable	patient3-S4	Metagenome or environmental	3270331	879427018	2020-05-05	2020-05-05
NCBI	pda|bigdoyle	SRS4594112	SAMN11352293	DS2016019	patient3-S5	2034148	canine metagenome	patient3-S5	SRP191145	SRX5648739	SRR8861261	SRA870175	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594112&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594112&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Canis lupus familiaris	feces	2016-04-23	USA: Massachusetts	not applicable	patient3-S5	Metagenome or environmental	968809	256732948	2020-05-05	2020-05-05
NCBI	pda|bigdoyle	SRS4594109	SAMN11352294	DS2016020	patient3-S6	2034148	canine metagenome	patient3-S6	SRP191145	SRX5648736	SRR8861264	SRA870175	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594109&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594109&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Canis lupus familiaris	feces	2016-04-24	USA: Massachusetts	not applicable	patient3-S6	Metagenome or environmental	3663189	991576884	2020-05-05	2020-05-05
NCBI	pda|bigdoyle	SRS4594110	SAMN11352295	DS2016021	patient3-S7	2034148	canine metagenome	patient3-S7	SRP191145	SRX5648737	SRR8861263	SRA870175	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594110&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594110&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Canis lupus familiaris	feces	2016-04-25	USA: Massachusetts	not applicable	patient3-S7	Metagenome or environmental	2647744	686036243	2020-05-05	2020-05-05
NCBI	pda|bigdoyle	SRS4594113	SAMN11352296	DS2016022	patient4-S1	2034148	canine metagenome	patient4-S1	SRP191145	SRX5648740	SRR8861260	SRA870175	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594113&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4594113&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Canis lupus familiaris	feces	2016-07-01	USA: Massachusetts	not applicable	patient4-S1	Metagenome or environmental	1938600	535115437	2020-05-05	2020-05-05
