broker_name	PRIMARY_ID	EXTERNAL_ID	SUBMITTER_ID	TITLE	TAXON_ID	SCIENTIFIC_NAME	COMMON_NAME	ENA-STUDY	ENA-EXPERIMENT	ENA-RUN	ENA-SUBMISSION	ENA-FASTQ-FILES	ENA-SUBMITTED-FILES	source_name	treatment	cell type	ENA-SPOT-COUNT	ENA-BASE-COUNT	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE
NCBI	SRS4617804	SAMN11406610	GSM3721151	RMN062	10090	Mus musculus	house mouse	SRP192395	SRX5676173	SRR8890504	SRA873537	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4617804&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4617804&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Neutrophils	Propionibacterium acnes infection	Neutrophils	9001403	900140300	2019-04-14	2019-04-14
NCBI	SRS4617803	SAMN11406611	GSM3721150	RMN061	10090	Mus musculus	house mouse	SRP192395	SRX5676172	SRR8890503	SRA873537	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4617803&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4617803&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Neutrophils	Propionibacterium acnes infection	Neutrophils	8932639	893263900	2019-04-14	2019-04-14
NCBI	SRS4617802	SAMN11406612	GSM3721149	RMN060	10090	Mus musculus	house mouse	SRP192395	SRX5676171	SRR8890502	SRA873537	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4617802&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4617802&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Neutrophils	Propionibacterium acnes infection	Neutrophils	8977072	897707200	2019-04-14	2019-04-14
NCBI	SRS4617801	SAMN11406613	GSM3721148	RMN059	10090	Mus musculus	house mouse	SRP192395	SRX5676170	SRR8890501	SRA873537	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4617801&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4617801&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Neutrophils	Propionibacterium acnes infection	Neutrophils	9456219	945621900	2019-04-14	2019-04-14
NCBI	SRS4617800	SAMN11406614	GSM3721147	RMN058	10090	Mus musculus	house mouse	SRP192395	SRX5676169	SRR8890500	SRA873537	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4617800&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4617800&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Neutrophils	Propionibacterium acnes infection	Neutrophils	9187356	918735600	2019-04-14	2019-04-14
NCBI	SRS4617799	SAMN11406615	GSM3721146	RMN057	10090	Mus musculus	house mouse	SRP192395	SRX5676168	SRR8890499	SRA873537	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4617799&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4617799&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Neutrophils	Propionibacterium acnes infection	Neutrophils	10931351	1093135100	2019-04-14	2019-04-14
NCBI	SRS4617798	SAMN11406616	GSM3721145	RMN056	10090	Mus musculus	house mouse	SRP192395	SRX5676167	SRR8890498	SRA873537	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4617798&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4617798&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Neutrophils	Propionibacterium acnes infection	Neutrophils	10196937	1019693700	2019-04-14	2019-04-14
NCBI	SRS4617797	SAMN11406617	GSM3721144	RMN055	10090	Mus musculus	house mouse	SRP192395	SRX5676166	SRR8890497	SRA873537	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4617797&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4617797&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Neutrophils	Propionibacterium acnes infection	Neutrophils	7882048	788204800	2019-04-14	2019-04-14
NCBI	SRS4617796	SAMN11406618	GSM3721143	RMN054	10090	Mus musculus	house mouse	SRP192395	SRX5676165	SRR8890496	SRA873537	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4617796&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4617796&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Neutrophils	Propionibacterium acnes infection	Neutrophils	6046110	604611000	2019-04-14	2019-04-14
NCBI	SRS4617795	SAMN11406619	GSM3721142	RMN053	10090	Mus musculus	house mouse	SRP192395	SRX5676164	SRR8890495	SRA873537	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4617795&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4617795&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Neutrophils	Propionibacterium acnes infection	Neutrophils	9249245	924924500	2019-04-14	2019-04-14
NCBI	SRS4617794	SAMN11406620	GSM3721141	RMN052	10090	Mus musculus	house mouse	SRP192395	SRX5676163	SRR8890494	SRA873537	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4617794&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4617794&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Neutrophils	Propionibacterium acnes infection	Neutrophils	10664024	1066402400	2019-04-14	2019-04-14
NCBI	SRS4617793	SAMN11406621	GSM3721140	RMN051	10090	Mus musculus	house mouse	SRP192395	SRX5676162	SRR8890493	SRA873537	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4617793&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4617793&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Neutrophils	Propionibacterium acnes infection	Neutrophils	11509933	1150993300	2019-04-14	2019-04-14
NCBI	SRS4617792	SAMN11406622	GSM3721139	RMN050	10090	Mus musculus	house mouse	SRP192395	SRX5676161	SRR8890492	SRA873537	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4617792&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4617792&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Neutrophils	Propionibacterium acnes infection	Neutrophils	10089662	1008966200	2019-04-14	2019-04-14
NCBI	SRS4617791	SAMN11406623	GSM3721138	RMN049	10090	Mus musculus	house mouse	SRP192395	SRX5676160	SRR8890491	SRA873537	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4617791&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4617791&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Neutrophils	Propionibacterium acnes infection	Neutrophils	12076388	1207638800	2019-04-14	2019-04-14
