broker_name	PRIMARY_ID	EXTERNAL_ID	SUBMITTER_ID	TITLE	TAXON_ID	SCIENTIFIC_NAME	ENA-STUDY	ENA-EXPERIMENT	ENA-RUN	ENA-SUBMISSION	ARRAYEXPRESS	ENA-FASTQ-FILES	ENA-SUBMITTED-FILES	source_name	time	strain	tissue	ENA-SPOT-COUNT	ENA-BASE-COUNT	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE	COMMON_NAME
NCBI	SRS4736572	SAMN11604898	GSM3755979	Inoculum 467	730	[Haemophilus] ducreyi	SRP197097	SRX5807101	SRR9029818	SRA884332	E-GEOD-130901	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4736572&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4736572&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Mid-log phase growth H. ducreyi	Day of infection	35000HP	N/A	40870671	6167376035	2019-05-31	2019-06-01	
NCBI	SRS4736571	SAMN11604899	GSM3755978	Inoculum 466	730	[Haemophilus] ducreyi	SRP197097	SRX5807100	SRR9029817	SRA884332	E-GEOD-130901	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4736571&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4736571&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Mid-log phase growth H. ducreyi	Day of infection	35000HP	N/A	32407785	4889766865	2019-05-31	2019-06-01	
NCBI	SRS4736570	SAMN11604900	GSM3755977	Inoculum 465	730	[Haemophilus] ducreyi	SRP197097	SRX5807099	SRR9029816	SRA884332	E-GEOD-130901	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4736570&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4736570&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Mid-log phase growth H. ducreyi	Day of infection	35000HP	N/A	23007488	3473256890	2019-05-31	2019-06-01	
NCBI	SRS4736569	SAMN11604901	GSM3755976	Inoculum 462	730	[Haemophilus] ducreyi	SRP197097	SRX5807098	SRR9029815	SRA884332	E-GEOD-130901	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4736569&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4736569&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Mid-log phase growth H. ducreyi	Day of infection	35000HP	N/A	34996538	5283503840	2019-05-31	2019-06-01	
NCBI	SRS4736568	SAMN11604902	GSM3755974	Wound 467	9606	Homo sapiens	SRP197097	SRX5807097	SRR9029814	SRA884332	E-GEOD-130901	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4736568&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4736568&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Wound control from humans	6-8 days post-inoculation		6 mm skin	64032889	9664894916	2019-05-31	2019-06-01	human
NCBI	SRS4736567	SAMN11604903	GSM3755972	Wound 466	9606	Homo sapiens	SRP197097	SRX5807096	SRR9029813	SRA884332	E-GEOD-130901	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4736567&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4736567&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Wound control from humans	6-8 days post-inoculation		6 mm skin	61460062	9269320294	2019-05-31	2019-06-01	human
NCBI	SRS4736566	SAMN11604904	GSM3755970	Wound 465	9606	Homo sapiens	SRP197097	SRX5807095	SRR9029812	SRA884332	E-GEOD-130901	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4736566&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4736566&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Wound control from humans	6-8 days post-inoculation		6 mm skin	83967485	12679044548	2019-05-31	2019-06-01	human
NCBI	SRS4736565	SAMN11604905	GSM3755969	Wound 462	9606	Homo sapiens	SRP197097	SRX5807094	SRR9029811	SRA884332	E-GEOD-130901	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4736565&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4736565&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Wound control from humans	6-8 days post-inoculation		6 mm skin	63251421	9537832705	2019-05-31	2019-06-01	human
NCBI	SRS4736564	SAMN11604906	GSM3755967	Biopsy 467	730	[Haemophilus] ducreyi	SRP197097	SRX5807093	SRR9029810	SRA884332	E-GEOD-130901	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4736564&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4736564&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	H. ducreyi-infected pustules from humans	6-8 days post-infection	35000HP	6 mm skin	385113594	58126362569	2019-05-31	2019-06-01	
NCBI	SRS4736563	SAMN11604907	GSM3755965	Biopsy 466	730	[Haemophilus] ducreyi	SRP197097	SRX5807092	SRR9029809	SRA884332	E-GEOD-130901	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4736563&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS4736563&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	H. ducreyi-infected pustules from humans	6-8 days post-infection	35000HP	6 mm skin	414214970	62469111645	2019-05-31	2019-06-01	
