broker_name	center_name	PRIMARY_ID	EXTERNAL_ID	SUBMITTER_ID	TITLE	TAXON_ID	SCIENTIFIC_NAME	ENA-STUDY	ENA-EXPERIMENT	ENA-RUN	ENA-SUBMISSION	ENA-FASTQ-FILES	ENA-SUBMITTED-FILES	host	collection_date	geo_loc_name	lat_lon	replicate	BioSampleModel	ENA-SPOT-COUNT	ENA-BASE-COUNT	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE
NCBI	pda|qiuchuangzhao	SRS5650302	SAMN13290208	1001.0	human skin metagenome	539655	human skin metagenome	SRP230017	SRX7142166	SRR10447743	SRA996410	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS5650302&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS5650302&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Homo sapiens	2016	China:Beijing	missing	1001 time 1	Metagenome or environmental	19942	8588899	2020-09-15	2020-09-15
NCBI	pda|qiuchuangzhao	SRS5650303	SAMN13290209	1001.2	human skin metagenome	539655	human skin metagenome	SRP230017	SRX7142167	SRR10447742	SRA996410	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS5650303&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS5650303&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Homo sapiens	2016	China:Beijing	missing	1001 time 2	Metagenome or environmental	19907	8507520	2020-09-15	2020-09-15
NCBI	pda|qiuchuangzhao	SRS5650332	SAMN13290210	1006.0	human skin metagenome	539655	human skin metagenome	SRP230017	SRX7142196	SRR10447713	SRA996410	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS5650332&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS5650332&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Homo sapiens	2016	China:Beijing	missing	1006 time 1	Metagenome or environmental	21197	9141759	2020-09-15	2020-09-15
NCBI	pda|qiuchuangzhao	SRS5650343	SAMN13290211	1006.2	human skin metagenome	539655	human skin metagenome	SRP230017	SRX7142207	SRR10447702	SRA996410	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS5650343&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS5650343&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Homo sapiens	2016	China:Beijing	missing	1006 time 2	Metagenome or environmental	21164	9073078	2020-09-15	2020-09-15
NCBI	pda|qiuchuangzhao	SRS5650354	SAMN13290212	1011.0	human skin metagenome	539655	human skin metagenome	SRP230017	SRX7142218	SRR10447691	SRA996410	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS5650354&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS5650354&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Homo sapiens	2016	China:Beijing	missing	1011 time 1	Metagenome or environmental	19533	8366077	2020-09-15	2020-09-15
NCBI	pda|qiuchuangzhao	SRS5650365	SAMN13290213	1011.2	human skin metagenome	539655	human skin metagenome	SRP230017	SRX7142229	SRR10447680	SRA996410	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS5650365&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS5650365&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Homo sapiens	2016	China:Beijing	missing	1011 time 2	Metagenome or environmental	21902	9413929	2020-09-15	2020-09-15
NCBI	pda|qiuchuangzhao	SRS5650376	SAMN13290214	1016.0	human skin metagenome	539655	human skin metagenome	SRP230017	SRX7142240	SRR10447669	SRA996410	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS5650376&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS5650376&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Homo sapiens	2016	China:Beijing	missing	1016 time 1	Metagenome or environmental	19170	8207252	2020-09-15	2020-09-15
NCBI	pda|qiuchuangzhao	SRS5650387	SAMN13290215	1016.2	human skin metagenome	539655	human skin metagenome	SRP230017	SRX7142251	SRR10447658	SRA996410	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS5650387&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS5650387&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Homo sapiens	2016	China:Beijing	missing	1016 time 2	Metagenome or environmental	18120	7791066	2020-09-15	2020-09-15
NCBI	pda|qiuchuangzhao	SRS5650398	SAMN13290216	1034.0	human skin metagenome	539655	human skin metagenome	SRP230017	SRX7142262	SRR10447647	SRA996410	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS5650398&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS5650398&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Homo sapiens	2016	China:Beijing	missing	1034 time 1	Metagenome or environmental	18961	8194111	2020-09-15	2020-09-15
NCBI	pda|qiuchuangzhao	SRS5650409	SAMN13290217	1034.2	human skin metagenome	539655	human skin metagenome	SRP230017	SRX7142273	SRR10447636	SRA996410	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS5650409&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS5650409&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Homo sapiens	2016	China:Beijing	missing	1034 time 2	Metagenome or environmental	21176	9062786	2020-09-15	2020-09-15
