broker_name	center_name	PRIMARY_ID	EXTERNAL_ID	SUBMITTER_ID	TITLE	TAXON_ID	SCIENTIFIC_NAME	ENA-STUDY	ENA-EXPERIMENT	ENA-RUN	ENA-SUBMISSION	ENA-FASTQ-FILES	ENA-SUBMITTED-FILES	sample_identifier	collection_date	env_broad_scale	env_local_scale	env_medium	geo_loc_name	host	lat_lon	BioSampleModel	ENA-SPOT-COUNT	ENA-BASE-COUNT	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE
NCBI	pda|jordanr	SRS5814649	SAMN13546872	100-1-C	100-1-Crib	539655	human skin metagenome	SRP237383	SRX7355314	SRR10678609	SRA1011167	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS5814649&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS5814649&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	100-1-C	not applicable	human-associated habitat [ENVO:00009003]	human skin [MVC:0000460]	not applicable	USA:Florida,Gainesville	Homo sapiens	not applicable	MIGS/MIMS/MIMARKS.human-skin	83978	50554756	2021-01-04	2021-01-04
NCBI	pda|jordanr	SRS5814652	SAMN13546873	100-1-S	100-1-Skin	539655	human skin metagenome	SRP237383	SRX7355315	SRR10678608	SRA1011167	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS5814652&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS5814652&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	100-1-S	not applicable	human-associated habitat [ENVO:00009003]	human skin [MVC:0000460]	not applicable	USA:Florida,Gainesville	Homo sapiens	not applicable	MIGS/MIMS/MIMARKS.human-skin	79982	48149164	2021-01-04	2021-01-04
NCBI	pda|jordanr	SRS5814760	SAMN13546874	100-10-A	100-10-Air	539655	human skin metagenome	SRP237383	SRX7355426	SRR10678497	SRA1011167	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS5814760&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS5814760&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	100-10-A	not applicable	human-associated habitat [ENVO:00009003]	human skin [MVC:0000460]	not applicable	USA:Florida,Gainesville	Homo sapiens	not applicable	MIGS/MIMS/MIMARKS.human-skin	76160	45848320	2021-01-04	2021-01-04
NCBI	pda|jordanr	SRS5814872	SAMN13546875	100-10-C	100-10-Crib	539655	human skin metagenome	SRP237383	SRX7355537	SRR10678386	SRA1011167	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS5814872&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS5814872&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	100-10-C	not applicable	human-associated habitat [ENVO:00009003]	human skin [MVC:0000460]	not applicable	USA:Florida,Gainesville	Homo sapiens	not applicable	MIGS/MIMS/MIMARKS.human-skin	101028	60818856	2021-01-04	2021-01-04
NCBI	pda|jordanr	SRS5814907	SAMN13546876	100-10-S	100-10-Skin	539655	human skin metagenome	SRP237383	SRX7355570	SRR10678353	SRA1011167	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS5814907&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS5814907&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	100-10-S	not applicable	human-associated habitat [ENVO:00009003]	human skin [MVC:0000460]	not applicable	USA:Florida,Gainesville	Homo sapiens	not applicable	MIGS/MIMS/MIMARKS.human-skin	94132	56667464	2021-01-04	2021-01-04
NCBI	pda|jordanr	SRS5814917	SAMN13546877	100-12-A	100-12-Air	539655	human skin metagenome	SRP237383	SRX7355581	SRR10678342	SRA1011167	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS5814917&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS5814917&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	100-12-A	not applicable	human-associated habitat [ENVO:00009003]	human skin [MVC:0000460]	not applicable	USA:Florida,Gainesville	Homo sapiens	not applicable	MIGS/MIMS/MIMARKS.human-skin	1158	697116	2021-01-04	2021-01-04
NCBI	pda|jordanr	SRS5814927	SAMN13546878	100-12-C	100-12-Crib	539655	human skin metagenome	SRP237383	SRX7355592	SRR10678331	SRA1011167	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS5814927&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS5814927&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	100-12-C	not applicable	human-associated habitat [ENVO:00009003]	human skin [MVC:0000460]	not applicable	USA:Florida,Gainesville	Homo sapiens	not applicable	MIGS/MIMS/MIMARKS.human-skin	109637	66001474	2021-01-04	2021-01-04
NCBI	pda|jordanr	SRS5814939	SAMN13546879	100-12-S	100-12-Skin	539655	human skin metagenome	SRP237383	SRX7355603	SRR10678320	SRA1011167	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS5814939&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS5814939&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	100-12-S	not applicable	human-associated habitat [ENVO:00009003]	human skin [MVC:0000460]	not applicable	USA:Florida,Gainesville	Homo sapiens	not applicable	MIGS/MIMS/MIMARKS.human-skin	84669	50970738	2021-01-04	2021-01-04
NCBI	pda|jordanr	SRS5814951	SAMN13546880	100-2-A	100-2-Air	539655	human skin metagenome	SRP237383	SRX7355614	SRR10678309	SRA1011167	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS5814951&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS5814951&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	100-2-A	not applicable	human-associated habitat [ENVO:00009003]	human skin [MVC:0000460]	not applicable	USA:Florida,Gainesville	Homo sapiens	not applicable	MIGS/MIMS/MIMARKS.human-skin	68268	41097336	2021-01-04	2021-01-04
NCBI	pda|jordanr	SRS5814960	SAMN13546881	100-2-C	100-2-Crib	539655	human skin metagenome	SRP237383	SRX7355625	SRR10678298	SRA1011167	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS5814960&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS5814960&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	100-2-C	not applicable	human-associated habitat [ENVO:00009003]	human skin [MVC:0000460]	not applicable	USA:Florida,Gainesville	Homo sapiens	not applicable	MIGS/MIMS/MIMARKS.human-skin	100926	60757452	2021-01-04	2021-01-04
