broker_name	center_name	PRIMARY_ID	EXTERNAL_ID	SUBMITTER_ID	TITLE	TAXON_ID	SCIENTIFIC_NAME	COMMON_NAME	ENA-STUDY	ENA-EXPERIMENT	ENA-RUN	ENA-SUBMISSION	ENA-FASTQ-FILES	ENA-SUBMITTED-FILES	isolate	age	biomaterial_provider	sex	tissue	cell_line	cell_type	replicate	microbiome_treatment	BioSampleModel	ENA-SPOT-COUNT	ENA-BASE-COUNT	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE
NCBI	pda|zudockk1	SRS6153178	SAMN14118286	Axenic_A	Homo sapiens	9606	Homo sapiens	human	SRP249658	SRX7732800	SRR11094026	SRA1043354	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153178&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153178&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	EpiDerm FT	not applicable	MatTek Corporation200 Homer AveAshland, MA 01721https://www.mattek.com/	not applicable	Skin	EFT-400-7A	whole tissue	Axenic_1	None	Human	8093391	615097716	2020-02-18	2020-02-18
NCBI	pda|zudockk1	SRS6153179	SAMN14118287	Axenic_B	Homo sapiens	9606	Homo sapiens	human	SRP249658	SRX7732801	SRR11094025	SRA1043354	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153179&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153179&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	EpiDerm FT	not applicable	MatTek Corporation200 Homer AveAshland, MA 01721https://www.mattek.com/	not applicable	Skin	EFT-400-7A	whole tissue	Axenic_2	None	Human	8543538	649308888	2020-02-18	2020-02-18
NCBI	pda|zudockk1	SRS6153206	SAMN14118288	Axenic_C	Homo sapiens	9606	Homo sapiens	human	SRP249658	SRX7732828	SRR11093998	SRA1043354	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153206&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153206&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	EpiDerm FT	not applicable	MatTek Corporation200 Homer AveAshland, MA 01721https://www.mattek.com/	not applicable	Skin	EFT-400-7A	whole tissue	Axenic_3	None	Human	12295258	934439608	2020-02-18	2020-02-18
NCBI	pda|zudockk1	SRS6153217	SAMN14118289	Axenic_D	Homo sapiens	9606	Homo sapiens	human	SRP249658	SRX7732839	SRR11093987	SRA1043354	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153217&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153217&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	EpiDerm FT	not applicable	MatTek Corporation200 Homer AveAshland, MA 01721https://www.mattek.com/	not applicable	Skin	EFT-400-7A	whole tissue	Axenic_4	None	Human	8713045	662191420	2020-02-18	2020-02-18
NCBI	pda|zudockk1	SRS6153180	SAMN14118290	Axenic_E	Homo sapiens	9606	Homo sapiens	human	SRP249658	SRX7732802	SRR11094024	SRA1043354	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153180&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153180&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	EpiDerm FT	not applicable	MatTek Corporation200 Homer AveAshland, MA 01721https://www.mattek.com/	not applicable	Skin	EFT-400-7A	whole tissue	Axenic_5	None	Human	10659903	810152628	2020-02-18	2020-02-18
NCBI	pda|zudockk1	SRS6153191	SAMN14118291	Streptococcus_78_A	Homo sapiens	9606	Homo sapiens	human	SRP249658	SRX7732813	SRR11094013	SRA1043354	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153191&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153191&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	EpiDerm FT	not applicable	MatTek Corporation200 Homer AveAshland, MA 01721https://www.mattek.com/	not applicable	Skin	EFT-400-7A	whole tissue	Streptococcus_78_1	Streptococcus sp. AF062_002	Human	8193129	622677804	2020-02-18	2020-02-18
NCBI	pda|zudockk1	SRS6153192	SAMN14118292	Streptococcus_78_B	Homo sapiens	9606	Homo sapiens	human	SRP249658	SRX7732814	SRR11094012	SRA1043354	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153192&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153192&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	EpiDerm FT	not applicable	MatTek Corporation200 Homer AveAshland, MA 01721https://www.mattek.com/	not applicable	Skin	EFT-400-7A	whole tissue	Streptococcus_78_2	Streptococcus sp. AF062_002	Human	9039318	686988168	2020-02-18	2020-02-18
NCBI	pda|zudockk1	SRS6153193	SAMN14118293	Streptococcus_78_C	Homo sapiens	9606	Homo sapiens	human	SRP249658	SRX7732815	SRR11094011	SRA1043354	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153193&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153193&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	EpiDerm FT	not applicable	MatTek Corporation200 Homer AveAshland, MA 01721https://www.mattek.com/	not applicable	Skin	EFT-400-7A	whole tissue	Streptococcus_78_3	Streptococcus sp. AF062_002	Human	8170221	620936796	2020-02-18	2020-02-18
NCBI	pda|zudockk1	SRS6153194	SAMN14118294	Streptococcus_78_D	Homo sapiens	9606	Homo sapiens	human	SRP249658	SRX7732816	SRR11094010	SRA1043354	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153194&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153194&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	EpiDerm FT	not applicable	MatTek Corporation200 Homer AveAshland, MA 01721https://www.mattek.com/	not applicable	Skin	EFT-400-7A	whole tissue	Streptococcus_78_4	Streptococcus sp. AF062_002	Human	9068478	689204328	2020-02-18	2020-02-18
NCBI	pda|zudockk1	SRS6153195	SAMN14118295	Streptococcus_78_E	Homo sapiens	9606	Homo sapiens	human	SRP249658	SRX7732817	SRR11094009	SRA1043354	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153195&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS6153195&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	EpiDerm FT	not applicable	MatTek Corporation200 Homer AveAshland, MA 01721https://www.mattek.com/	not applicable	Skin	EFT-400-7A	whole tissue	Streptococcus_78_5	Streptococcus sp. AF062_002	Human	9211250	700055000	2020-02-18	2020-02-18
