broker_name	PRIMARY_ID	EXTERNAL_ID	SUBMITTER_ID	TITLE	TAXON_ID	SCIENTIFIC_NAME	ENA-SUBMISSION	ENA-FASTQ-FILES	ENA-SUBMITTED-FILES	source_name	tissue	treatment	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE	COMMON_NAME
NCBI	SRS15297825	SAMN31117567	GSM6612387	477_pustule	730	[Haemophilus] ducreyi	SRA1510997	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS15297825&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS15297825&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	skin	skin	pustule	2022-11-24	2022-11-24	
NCBI	SRS15297824	SAMN31117568	GSM6612386	477_wound	9606	Homo sapiens	SRA1510997	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS15297824&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS15297824&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	skin	skin	wound	2022-11-24	2022-11-24	human
NCBI	SRS15297823	SAMN31117569	GSM6612385	Group_4_inoculum	730	[Haemophilus] ducreyi	SRA1510997	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS15297823&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS15297823&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	culture	culture	culture	2022-11-24	2022-11-24	
NCBI	SRS15297822	SAMN31117570	GSM6612384	476_pustule	730	[Haemophilus] ducreyi	SRA1510997	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS15297822&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS15297822&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	skin	skin	pustule	2022-11-24	2022-11-24	
NCBI	SRS15297821	SAMN31117571	GSM6612383	476_wound	9606	Homo sapiens	SRA1510997	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS15297821&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS15297821&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	skin	skin	wound	2022-11-24	2022-11-24	human
NCBI	SRS15297820	SAMN31117572	GSM6612382	Group_3_inoculum	730	[Haemophilus] ducreyi	SRA1510997	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS15297820&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS15297820&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	culture	culture	culture	2022-11-24	2022-11-24	
NCBI	SRS15297819	SAMN31117573	GSM6612381	475_pustule	730	[Haemophilus] ducreyi	SRA1510997	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS15297819&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS15297819&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	skin	skin	pustule	2022-11-24	2022-11-24	
NCBI	SRS15297818	SAMN31117574	GSM6612380	475_wound	9606	Homo sapiens	SRA1510997	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS15297818&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS15297818&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	skin	skin	wound	2022-11-24	2022-11-24	human
NCBI	SRS15297817	SAMN31117575	GSM6612379	474_pustule	730	[Haemophilus] ducreyi	SRA1510997	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS15297817&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS15297817&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	skin	skin	pustule	2022-11-24	2022-11-24	
NCBI	SRS15297816	SAMN31117576	GSM6612378	474_wound	9606	Homo sapiens	SRA1510997	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS15297816&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS15297816&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	skin	skin	wound	2022-11-24	2022-11-24	human
