study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sra_bytes	sra_md5	sra_ftp	sra_aspera	sra_galaxy	cram_index_ftp	cram_index_aspera	cram_index_galaxy	sample_alias	broker_name	sample_title	nominal_sdev	first_created
PRJDB5064	DRP004280	SAMD00057049	DRS063783	DRX066546	DRR072608	DRA005151	539655	human skin metagenome	LS454	454 GS FLX Titanium			SINGLE	AMPLICON	METAGENOMIC	PCR	2500	865578	UT_COB	2018-06-14	2018-06-14	454 GS FLX Titanium sequencing; 454 GS FLX Titanium sequencing of SAMD00057049	16S amplicon sequence analysis of skin microbiomes from Japanese individual	DRP004280	DRX066546	DRR072608	197123	5bc63ff0e3d41c298483e7a698823d10	ftp.sra.ebi.ac.uk/vol1/fastq/DRR072/DRR072608/DRR072608.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR072/DRR072608/DRR072608.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR072/DRR072608/DRR072608.fastq.gz							430983	31c6843f7c8ad7527652374b8e47988f	ftp.sra.ebi.ac.uk/vol1/drr/DRR072/DRR072608	fasp.sra.ebi.ac.uk:/vol1/drr/DRR072/DRR072608	ftp.sra.ebi.ac.uk/vol1/drr/DRR072/DRR072608				SAMD00057049		CK-01		2018-06-14
PRJDB5064	DRP004280	SAMD00057050	DRS063784	DRX066547	DRR072609	DRA005151	539655	human skin metagenome	LS454	454 GS FLX Titanium			SINGLE	AMPLICON	METAGENOMIC	PCR	2500	865066	UT_COB	2018-06-14	2018-06-14	454 GS FLX Titanium sequencing; 454 GS FLX Titanium sequencing of SAMD00057050	16S amplicon sequence analysis of skin microbiomes from Japanese individual	DRP004280	DRX066547	DRR072609	285400	cf7ce5ff17d479b66b94654116b61db2	ftp.sra.ebi.ac.uk/vol1/fastq/DRR072/DRR072609/DRR072609.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR072/DRR072609/DRR072609.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR072/DRR072609/DRR072609.fastq.gz							446829	740515899a8da8f13548914abeb8d862	ftp.sra.ebi.ac.uk/vol1/drr/DRR072/DRR072609	fasp.sra.ebi.ac.uk:/vol1/drr/DRR072/DRR072609	ftp.sra.ebi.ac.uk/vol1/drr/DRR072/DRR072609				SAMD00057050		CK-02		2018-06-14
PRJDB5064	DRP004280	SAMD00057051	DRS063785	DRX066548	DRR072610	DRA005151	539655	human skin metagenome	LS454	454 GS FLX Titanium			SINGLE	AMPLICON	METAGENOMIC	PCR	2500	873978	UT_COB	2018-06-14	2018-06-14	454 GS FLX Titanium sequencing; 454 GS FLX Titanium sequencing of SAMD00057051	16S amplicon sequence analysis of skin microbiomes from Japanese individual	DRP004280	DRX066548	DRR072610	284791	37826a6ef93483573da85a6150632091	ftp.sra.ebi.ac.uk/vol1/fastq/DRR072/DRR072610/DRR072610.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR072/DRR072610/DRR072610.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR072/DRR072610/DRR072610.fastq.gz							455920	f889bb297e10be066a87a0c2200b995a	ftp.sra.ebi.ac.uk/vol1/drr/DRR072/DRR072610	fasp.sra.ebi.ac.uk:/vol1/drr/DRR072/DRR072610	ftp.sra.ebi.ac.uk/vol1/drr/DRR072/DRR072610				SAMD00057051		CK-03		2018-06-14
PRJDB5064	DRP004280	SAMD00057052	DRS063786	DRX066549	DRR072611	DRA005151	539655	human skin metagenome	LS454	454 GS FLX Titanium			SINGLE	AMPLICON	METAGENOMIC	PCR	2500	865848	UT_COB	2018-06-14	2018-06-14	454 GS FLX Titanium sequencing; 454 GS FLX Titanium sequencing of SAMD00057052	16S amplicon sequence analysis of skin microbiomes from Japanese individual	DRP004280	DRX066549	DRR072611	200669	b81264132ee142a817063b9c638c9726	ftp.sra.ebi.ac.uk/vol1/fastq/DRR072/DRR072611/DRR072611.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR072/DRR072611/DRR072611.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR072/DRR072611/DRR072611.fastq.gz							432072	b5bbd726a0e07b315e34eb615c829dd4	ftp.sra.ebi.ac.uk/vol1/drr/DRR072/DRR072611	fasp.sra.ebi.ac.uk:/vol1/drr/DRR072/DRR072611	ftp.sra.ebi.ac.uk/vol1/drr/DRR072/DRR072611				SAMD00057052		CK-04		2018-06-14
PRJDB5064	DRP004280	SAMD00057053	DRS063787	DRX066550	DRR072612	DRA005151	539655	human skin metagenome	LS454	454 GS FLX Titanium			SINGLE	AMPLICON	METAGENOMIC	PCR	2500	882007	UT_COB	2018-06-14	2018-06-14	454 GS FLX Titanium sequencing; 454 GS FLX Titanium sequencing of SAMD00057053	16S amplicon sequence analysis of skin microbiomes from Japanese individual	DRP004280	DRX066550	DRR072612	279320	c745e4f0eea0ba8b04ef71661c6fa794	ftp.sra.ebi.ac.uk/vol1/fastq/DRR072/DRR072612/DRR072612.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR072/DRR072612/DRR072612.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR072/DRR072612/DRR072612.fastq.gz							453552	b6b70defc7dd5fa00e709e98fe54c1c2	ftp.sra.ebi.ac.uk/vol1/drr/DRR072/DRR072612	fasp.sra.ebi.ac.uk:/vol1/drr/DRR072/DRR072612	ftp.sra.ebi.ac.uk/vol1/drr/DRR072/DRR072612				SAMD00057053		CK-05		2018-06-14
PRJDB5064	DRP004280	SAMD00057054	DRS063788	DRX066551	DRR072613	DRA005151	539655	human skin metagenome	LS454	454 GS FLX Titanium			SINGLE	AMPLICON	METAGENOMIC	PCR	2500	873611	UT_COB	2018-06-14	2018-06-14	454 GS FLX Titanium sequencing; 454 GS FLX Titanium sequencing of SAMD00057054	16S amplicon sequence analysis of skin microbiomes from Japanese individual	DRP004280	DRX066551	DRR072613	247781	670de8fcd04f73022ff412861cb9ecc4	ftp.sra.ebi.ac.uk/vol1/fastq/DRR072/DRR072613/DRR072613.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR072/DRR072613/DRR072613.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR072/DRR072613/DRR072613.fastq.gz							436381	06f43c2815dff03417cbb8d8adaa3d0f	ftp.sra.ebi.ac.uk/vol1/drr/DRR072/DRR072613	fasp.sra.ebi.ac.uk:/vol1/drr/DRR072/DRR072613	ftp.sra.ebi.ac.uk/vol1/drr/DRR072/DRR072613				SAMD00057054		CK-06		2018-06-14
PRJDB5064	DRP004280	SAMD00057055	DRS063789	DRX066552	DRR072614	DRA005151	539655	human skin metagenome	LS454	454 GS FLX Titanium			SINGLE	AMPLICON	METAGENOMIC	PCR	2500	886465	UT_COB	2018-06-14	2018-06-14	454 GS FLX Titanium sequencing; 454 GS FLX Titanium sequencing of SAMD00057055	16S amplicon sequence analysis of skin microbiomes from Japanese individual	DRP004280	DRX066552	DRR072614	288205	ecefaa6adf0281730887c597769353d3	ftp.sra.ebi.ac.uk/vol1/fastq/DRR072/DRR072614/DRR072614.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR072/DRR072614/DRR072614.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR072/DRR072614/DRR072614.fastq.gz							462455	e6a01e10e9508c3da7bf3fe0b4c0e1d3	ftp.sra.ebi.ac.uk/vol1/drr/DRR072/DRR072614	fasp.sra.ebi.ac.uk:/vol1/drr/DRR072/DRR072614	ftp.sra.ebi.ac.uk/vol1/drr/DRR072/DRR072614				SAMD00057055		CK-07		2018-06-14
PRJDB5064	DRP004280	SAMD00057056	DRS063790	DRX066553	DRR072615	DRA005151	539655	human skin metagenome	LS454	454 GS FLX Titanium			SINGLE	AMPLICON	METAGENOMIC	PCR	2500	873311	UT_COB	2018-06-14	2018-06-14	454 GS FLX Titanium sequencing; 454 GS FLX Titanium sequencing of SAMD00057056	16S amplicon sequence analysis of skin microbiomes from Japanese individual	DRP004280	DRX066553	DRR072615	261102	8e496a7832f0554f55b7d34cb0db91ff	ftp.sra.ebi.ac.uk/vol1/fastq/DRR072/DRR072615/DRR072615.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR072/DRR072615/DRR072615.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR072/DRR072615/DRR072615.fastq.gz							448936	c2df9d320120c2c456605e21ef5d001d	ftp.sra.ebi.ac.uk/vol1/drr/DRR072/DRR072615	fasp.sra.ebi.ac.uk:/vol1/drr/DRR072/DRR072615	ftp.sra.ebi.ac.uk/vol1/drr/DRR072/DRR072615				SAMD00057056		CK-08		2018-06-14
PRJDB5064	DRP004280	SAMD00057057	DRS063791	DRX066554	DRR072616	DRA005151	539655	human skin metagenome	LS454	454 GS FLX Titanium			SINGLE	AMPLICON	METAGENOMIC	PCR	2500	875234	UT_COB	2018-06-14	2018-06-14	454 GS FLX Titanium sequencing; 454 GS FLX Titanium sequencing of SAMD00057057	16S amplicon sequence analysis of skin microbiomes from Japanese individual	DRP004280	DRX066554	DRR072616	215062	6c79ef52d396a88f20eb696d851304c7	ftp.sra.ebi.ac.uk/vol1/fastq/DRR072/DRR072616/DRR072616.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR072/DRR072616/DRR072616.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR072/DRR072616/DRR072616.fastq.gz							434015	98633369e58edc485837ab7f8c2fd0db	ftp.sra.ebi.ac.uk/vol1/drr/DRR072/DRR072616	fasp.sra.ebi.ac.uk:/vol1/drr/DRR072/DRR072616	ftp.sra.ebi.ac.uk/vol1/drr/DRR072/DRR072616				SAMD00057057		CK-09		2018-06-14
PRJDB5064	DRP004280	SAMD00057058	DRS063792	DRX066555	DRR072617	DRA005151	539655	human skin metagenome	LS454	454 GS FLX Titanium			SINGLE	AMPLICON	METAGENOMIC	PCR	2500	877304	UT_COB	2018-06-14	2018-06-14	454 GS FLX Titanium sequencing; 454 GS FLX Titanium sequencing of SAMD00057058	16S amplicon sequence analysis of skin microbiomes from Japanese individual	DRP004280	DRX066555	DRR072617	223787	d5550570c0a7731f46c2efbbbdfb510b	ftp.sra.ebi.ac.uk/vol1/fastq/DRR072/DRR072617/DRR072617.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR072/DRR072617/DRR072617.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR072/DRR072617/DRR072617.fastq.gz							439956	8cc3d30a6892c75bffbedd64ad7421c0	ftp.sra.ebi.ac.uk/vol1/drr/DRR072/DRR072617	fasp.sra.ebi.ac.uk:/vol1/drr/DRR072/DRR072617	ftp.sra.ebi.ac.uk/vol1/drr/DRR072/DRR072617				SAMD00057058		CK-10		2018-06-14
PRJDB5064	DRP004280	SAMD00057059	DRS063793	DRX066556	DRR072618	DRA005151	539655	human skin metagenome	LS454	454 GS FLX Titanium			SINGLE	AMPLICON	METAGENOMIC	PCR	2500	866338	UT_COB	2018-06-14	2018-06-14	454 GS FLX Titanium sequencing; 454 GS FLX Titanium sequencing of SAMD00057059	16S amplicon sequence analysis of skin microbiomes from Japanese individual	DRP004280	DRX066556	DRR072618	219172	82c3db0b01ca765603256fc7e0353591	ftp.sra.ebi.ac.uk/vol1/fastq/DRR072/DRR072618/DRR072618.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR072/DRR072618/DRR072618.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR072/DRR072618/DRR072618.fastq.gz							433702	d5a41c8a117f0fc4a6332f2c753ba15d	ftp.sra.ebi.ac.uk/vol1/drr/DRR072/DRR072618	fasp.sra.ebi.ac.uk:/vol1/drr/DRR072/DRR072618	ftp.sra.ebi.ac.uk/vol1/drr/DRR072/DRR072618				SAMD00057059		CK-11		2018-06-14
PRJDB5064	DRP004280	SAMD00057060	DRS063794	DRX066557	DRR072619	DRA005151	539655	human skin metagenome	LS454	454 GS FLX Titanium			SINGLE	AMPLICON	METAGENOMIC	PCR	2500	870150	UT_COB	2018-06-14	2018-06-14	454 GS FLX Titanium sequencing; 454 GS FLX Titanium sequencing of SAMD00057060	16S amplicon sequence analysis of skin microbiomes from Japanese individual	DRP004280	DRX066557	DRR072619	246027	0f10e2dd1f47396943567afcc5db2f89	ftp.sra.ebi.ac.uk/vol1/fastq/DRR072/DRR072619/DRR072619.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR072/DRR072619/DRR072619.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR072/DRR072619/DRR072619.fastq.gz							440231	2db22bda47d9df1cc60c494ed0397c68	ftp.sra.ebi.ac.uk/vol1/drr/DRR072/DRR072619	fasp.sra.ebi.ac.uk:/vol1/drr/DRR072/DRR072619	ftp.sra.ebi.ac.uk/vol1/drr/DRR072/DRR072619				SAMD00057060		CK-12		2018-06-14
