center_name	PRIMARY_ID	EXTERNAL_ID	SUBMITTER_ID	TITLE	TAXON_ID	SCIENTIFIC_NAME	COMMON_NAME	DESCRIPTION	ENA-STUDY	ENA-EXPERIMENT	ENA-RUN	ENA-SUBMISSION	ENA-FASTQ-FILES	ENA-SUBMITTED-FILES	collection date	environment (biome)	environment (feature)	environment (material)	geographic location (country and/or sea)	geographic location (latitude)	geographic location (longitude)	host body site	host disease status	human-associated environmental package	investigation type	project name	sequencing method	ENA-CHECKLIST	ENA-SPOT-COUNT	ENA-BASE-COUNT	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE
Universidade Federal do ABC	ERS1421303	SAMEA4522124	LP02-S1-ITS_S1_L001_R1_001.fastq.gz	Human skin samples	646099	human metagenome	human metagenome	LP02-S1-ITS_S1_L001_R1_001	ERP018577	ERX1771494	ERR1701206	ERA740395	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS1421303&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS1421303&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2014	Skin	Skin	Swab	Brazil	10°S 55°W	10°S 55°W	Scalp	Dandruff	human-associated	metagenome	Dandruff	Illumina Miseq Sequencing	ERC000014	83201	13780906	2016-12-23	2016-10-23
Universidade Federal do ABC	ERS1421304	SAMEA4522125	LP02-T1-ITS_S2_L001_R1_001.fastq.gz	Human skin samples	646099	human metagenome	human metagenome	LP02-T1-ITS_S2_L001_R1_001	ERP018577	ERX1771495	ERR1701207	ERA740395	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS1421304&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS1421304&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2014	Skin	Skin	Swab	Brazil	10°S 55°W	10°S 55°W	Forehead	Dandruff	human-associated	metagenome	Dandruff	Illumina Miseq Sequencing	ERC000014	101164	15844691	2016-12-23	2016-10-23
Universidade Federal do ABC	ERS1421305	SAMEA4522126	LP03-S1-ITS_S3_L001_R1_001.fastq.gz	Human skin samples	646099	human metagenome	human metagenome	LP03-S1-ITS_S3_L001_R1_001	ERP018577	ERX1771496	ERR1701208	ERA740395	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS1421305&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS1421305&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2014	Skin	Skin	Swab	Brazil	10°S 55°W	10°S 55°W	Scalp	Dandruff	human-associated	metagenome	Dandruff	Illumina Miseq Sequencing	ERC000014	273145	46657529	2016-12-23	2016-10-23
Universidade Federal do ABC	ERS1421306	SAMEA4522127	LP03-T1-ITS_S4_L001_R1_001.fastq.gz	Human skin samples	646099	human metagenome	human metagenome	LP03-T1-ITS_S4_L001_R1_001	ERP018577	ERX1771497	ERR1701209	ERA740395	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS1421306&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS1421306&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2014	Skin	Skin	Swab	Brazil	10°S 55°W	10°S 55°W	Forehead	Dandruff	human-associated	metagenome	Dandruff	Illumina Miseq Sequencing	ERC000014	57803	7557684	2016-12-23	2016-10-23
Universidade Federal do ABC	ERS1421307	SAMEA4522128	LP04-S1-ITS_S5_L001_R1_001.fastq.gz	Human skin samples	646099	human metagenome	human metagenome	LP04-S1-ITS_S5_L001_R1_001	ERP018577	ERX1771498	ERR1701210	ERA740395	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS1421307&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS1421307&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2014	Skin	Skin	Swab	Brazil	10°S 55°W	10°S 55°W	Scalp	Dandruff	human-associated	metagenome	Dandruff	Illumina Miseq Sequencing	ERC000014	153843	22492436	2016-12-23	2016-10-23
Universidade Federal do ABC	ERS1421308	SAMEA4522129	LP04-T1-ITS_S6_L001_R1_001.fastq.gz	Human skin samples	646099	human metagenome	human metagenome	LP04-T1-ITS_S6_L001_R1_001	ERP018577	ERX1771499	ERR1701211	ERA740395	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS1421308&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS1421308&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2014	Skin	Skin	Swab	Brazil	10°S 55°W	10°S 55°W	Forehead	Dandruff	human-associated	metagenome	Dandruff	Illumina Miseq Sequencing	ERC000014	121286	21836583	2016-12-23	2016-10-23
Universidade Federal do ABC	ERS1421309	SAMEA4522130	LP05-S1-ITS_S7_L001_R1_001.fastq.gz	Human skin samples	646099	human metagenome	human metagenome	LP05-S1-ITS_S7_L001_R1_001	ERP018577	ERX1771500	ERR1701212	ERA740395	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS1421309&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS1421309&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2014	Skin	Skin	Swab	Brazil	10°S 55°W	10°S 55°W	Scalp	Dandruff	human-associated	metagenome	Dandruff	Illumina Miseq Sequencing	ERC000014	269188	32209835	2016-12-23	2016-10-23
Universidade Federal do ABC	ERS1421310	SAMEA4522131	LP05-T1-ITS_S8_L001_R1_001.fastq.gz	Human skin samples	646099	human metagenome	human metagenome	LP05-T1-ITS_S8_L001_R1_001	ERP018577	ERX1771501	ERR1701213	ERA740395	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS1421310&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS1421310&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2014	Skin	Skin	Swab	Brazil	10°S 55°W	10°S 55°W	Forehead	Dandruff	human-associated	metagenome	Dandruff	Illumina Miseq Sequencing	ERC000014	154406	23041373	2016-12-23	2016-10-23
Universidade Federal do ABC	ERS1421311	SAMEA4522132	LP07-S1-ITS_S9_L001_R1_001.fastq.gz	Human skin samples	646099	human metagenome	human metagenome	LP07-S1-ITS_S9_L001_R1_001	ERP018577	ERX1771502	ERR1701214	ERA740395	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS1421311&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS1421311&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2014	Skin	Skin	Swab	Brazil	10°S 55°W	10°S 55°W	Scalp	Dandruff	human-associated	metagenome	Dandruff	Illumina Miseq Sequencing	ERC000014	159842	26548766	2016-12-23	2016-10-23
Universidade Federal do ABC	ERS1421312	SAMEA4522133	LP07-T1-ITS_S10_L001_R1_001.fastq.gz	Human skin samples	646099	human metagenome	human metagenome	LP07-T1-ITS_S10_L001_R1_001	ERP018577	ERX1771503	ERR1701215	ERA740395	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS1421312&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS1421312&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2014	Skin	Skin	Swab	Brazil	10°S 55°W	10°S 55°W	Forehead	Dandruff	human-associated	metagenome	Dandruff	Illumina Miseq Sequencing	ERC000014	157809	25232817	2016-12-23	2016-10-23
