study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sra_bytes	sra_md5	sra_ftp	sra_aspera	sra_galaxy	cram_index_ftp	cram_index_aspera	cram_index_galaxy	sample_alias	broker_name	sample_title	nominal_sdev	first_created
PRJEB31799	ERP114401	SAMEA5523509	ERS3325592	ERX3264715	ERR3237337	ERA1777984	749906	gut metagenome	ILLUMINA	Illumina HiSeq 2000	unspecified		SINGLE	AMPLICON	METAGENOMIC	PCR	90903	38666296	Key Laboratory of Environmental and Applied Microbiology, CAS	2020-01-06	2019-03-21	Illumina HiSeq 2000 sequencing	Human skin microbiotas across elevations	ena-STUDY-Key Laboratory of Environmental and Applied Microbiology, CAS-21-03-2019-09:53:22:386-13	ena-EXPERIMENT-Key Laboratory of Environmental and Applied Microbiology, CAS-21-03-2019-09:53:08:991-1	ena-RUN-Key Laboratory of Environmental and Applied Microbiology, CAS-21-03-2019-09:53:08:991-1	18105785	a41949947c530b7420e3dfac1fe971e3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR323/007/ERR3237337/ERR3237337.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR323/007/ERR3237337/ERR3237337.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR323/007/ERR3237337/ERR3237337.fastq.gz	17808267	9ef198d967b2822dc57f556b8819edbe	ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3237337/P301.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR323/ERR3237337/P301.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3237337/P301.fastq.gz	FASTQ	21921540	11fbeae4cb6f1c166dda4b9a84ef3a47	ftp.sra.ebi.ac.uk/vol1/err/ERR323/007/ERR3237337	fasp.sra.ebi.ac.uk:/vol1/err/ERR323/007/ERR3237337	ftp.sra.ebi.ac.uk/vol1/err/ERR323/007/ERR3237337				HS1		skin_elevation		2019-03-21
PRJEB31799	ERP114401	SAMEA5523510	ERS3325593	ERX3264716	ERR3237338	ERA1777984	749906	gut metagenome	ILLUMINA	Illumina HiSeq 2000	unspecified		SINGLE	AMPLICON	METAGENOMIC	PCR	80708	34340581	Key Laboratory of Environmental and Applied Microbiology, CAS	2020-01-06	2019-03-21	Illumina HiSeq 2000 sequencing	Human skin microbiotas across elevations	ena-STUDY-Key Laboratory of Environmental and Applied Microbiology, CAS-21-03-2019-09:53:22:386-13	ena-EXPERIMENT-Key Laboratory of Environmental and Applied Microbiology, CAS-21-03-2019-09:53:08:991-2	ena-RUN-Key Laboratory of Environmental and Applied Microbiology, CAS-21-03-2019-09:53:08:992-2	16281519	a41df80426b4eef0716decb5013a3990	ftp.sra.ebi.ac.uk/vol1/fastq/ERR323/008/ERR3237338/ERR3237338.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR323/008/ERR3237338/ERR3237338.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR323/008/ERR3237338/ERR3237338.fastq.gz	16017696	71d5f38e3b0a3843b5922c60dd352e15	ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3237338/P302.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR323/ERR3237338/P302.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3237338/P302.fastq.gz	FASTQ	19489971	a624964d5ff2c3eb4ce75eae9b1e945c	ftp.sra.ebi.ac.uk/vol1/err/ERR323/008/ERR3237338	fasp.sra.ebi.ac.uk:/vol1/err/ERR323/008/ERR3237338	ftp.sra.ebi.ac.uk/vol1/err/ERR323/008/ERR3237338				HS2		skin_elevation		2019-03-21
PRJEB31799	ERP114401	SAMEA5523511	ERS3325594	ERX3264717	ERR3237339	ERA1777984	749906	gut metagenome	ILLUMINA	Illumina HiSeq 2000	unspecified		SINGLE	AMPLICON	METAGENOMIC	PCR	100642	42837869	Key Laboratory of Environmental and Applied Microbiology, CAS	2020-01-06	2019-03-21	Illumina HiSeq 2000 sequencing	Human skin microbiotas across elevations	ena-STUDY-Key Laboratory of Environmental and Applied Microbiology, CAS-21-03-2019-09:53:22:386-13	ena-EXPERIMENT-Key Laboratory of Environmental and Applied Microbiology, CAS-21-03-2019-09:53:08:992-3	ena-RUN-Key Laboratory of Environmental and Applied Microbiology, CAS-21-03-2019-09:53:08:992-3	19367907	47026f99fcb841d383edd49950d1cff3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR323/009/ERR3237339/ERR3237339.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR323/009/ERR3237339/ERR3237339.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR323/009/ERR3237339/ERR3237339.fastq.gz	19038101	bd313d6836951bf621486d480cd2eb30	ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3237339/P303.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR323/ERR3237339/P303.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3237339/P303.fastq.gz	FASTQ	24453247	fc96814134cb83da8c760ac37e9da4fe	ftp.sra.ebi.ac.uk/vol1/err/ERR323/009/ERR3237339	fasp.sra.ebi.ac.uk:/vol1/err/ERR323/009/ERR3237339	ftp.sra.ebi.ac.uk/vol1/err/ERR323/009/ERR3237339				HS3		skin_elevation		2019-03-21
PRJEB31799	ERP114401	SAMEA5523512	ERS3325595	ERX3264718	ERR3237340	ERA1777984	749906	gut metagenome	ILLUMINA	Illumina HiSeq 2000	unspecified		SINGLE	AMPLICON	METAGENOMIC	PCR	80392	34213597	Key Laboratory of Environmental and Applied Microbiology, CAS	2020-01-06	2019-03-21	Illumina HiSeq 2000 sequencing	Human skin microbiotas across elevations	ena-STUDY-Key Laboratory of Environmental and Applied Microbiology, CAS-21-03-2019-09:53:22:386-13	ena-EXPERIMENT-Key Laboratory of Environmental and Applied Microbiology, CAS-21-03-2019-09:53:08:992-4	ena-RUN-Key Laboratory of Environmental and Applied Microbiology, CAS-21-03-2019-09:53:08:992-4	16903342	6756e3db97df17a2ea31ee6a43c35de6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR323/000/ERR3237340/ERR3237340.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR323/000/ERR3237340/ERR3237340.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR323/000/ERR3237340/ERR3237340.fastq.gz	16636626	f2de81c5f76e650b253907a979007208	ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3237340/P304.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR323/ERR3237340/P304.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3237340/P304.fastq.gz	FASTQ	19516401	ffac1279dfccb9086a0af023ee87a498	ftp.sra.ebi.ac.uk/vol1/err/ERR323/000/ERR3237340	fasp.sra.ebi.ac.uk:/vol1/err/ERR323/000/ERR3237340	ftp.sra.ebi.ac.uk/vol1/err/ERR323/000/ERR3237340				HS4		skin_elevation		2019-03-21
PRJEB31799	ERP114401	SAMEA5523513	ERS3325596	ERX3264719	ERR3237341	ERA1777984	749906	gut metagenome	ILLUMINA	Illumina HiSeq 2000	unspecified		SINGLE	AMPLICON	METAGENOMIC	PCR	54255	23085123	Key Laboratory of Environmental and Applied Microbiology, CAS	2020-01-06	2019-03-21	Illumina HiSeq 2000 sequencing	Human skin microbiotas across elevations	ena-STUDY-Key Laboratory of Environmental and Applied Microbiology, CAS-21-03-2019-09:53:22:386-13	ena-EXPERIMENT-Key Laboratory of Environmental and Applied Microbiology, CAS-21-03-2019-09:53:08:992-5	ena-RUN-Key Laboratory of Environmental and Applied Microbiology, CAS-21-03-2019-09:53:08:992-5	11932738	52d783acdb932e58f2f139119bc5dcf1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR323/001/ERR3237341/ERR3237341.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR323/001/ERR3237341/ERR3237341.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR323/001/ERR3237341/ERR3237341.fastq.gz	11753513	c7559aeb9d159b615c0e0ccee80a66d0	ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3237341/P305.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR323/ERR3237341/P305.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3237341/P305.fastq.gz	FASTQ	13186878	3b0de57ef7a863c96a808f378286a5e2	ftp.sra.ebi.ac.uk/vol1/err/ERR323/001/ERR3237341	fasp.sra.ebi.ac.uk:/vol1/err/ERR323/001/ERR3237341	ftp.sra.ebi.ac.uk/vol1/err/ERR323/001/ERR3237341				HS5		skin_elevation		2019-03-21
PRJEB31799	ERP114401	SAMEA5523514	ERS3325597	ERX3264720	ERR3237342	ERA1777984	749906	gut metagenome	ILLUMINA	Illumina HiSeq 2000	unspecified		SINGLE	AMPLICON	METAGENOMIC	PCR	88239	37511961	Key Laboratory of Environmental and Applied Microbiology, CAS	2020-01-06	2019-03-21	Illumina HiSeq 2000 sequencing	Human skin microbiotas across elevations	ena-STUDY-Key Laboratory of Environmental and Applied Microbiology, CAS-21-03-2019-09:53:22:386-13	ena-EXPERIMENT-Key Laboratory of Environmental and Applied Microbiology, CAS-21-03-2019-09:53:08:992-6	ena-RUN-Key Laboratory of Environmental and Applied Microbiology, CAS-21-03-2019-09:53:08:992-6	18218498	9d76eddb2989efd83110e05872023ee2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR323/002/ERR3237342/ERR3237342.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR323/002/ERR3237342/ERR3237342.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR323/002/ERR3237342/ERR3237342.fastq.gz	17930130	394da0a71a4b2094daabe199510217f6	ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3237342/P306.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR323/ERR3237342/P306.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3237342/P306.fastq.gz	FASTQ	21242760	44a90873db496b68c1d7fdfbb00ed864	ftp.sra.ebi.ac.uk/vol1/err/ERR323/002/ERR3237342	fasp.sra.ebi.ac.uk:/vol1/err/ERR323/002/ERR3237342	ftp.sra.ebi.ac.uk/vol1/err/ERR323/002/ERR3237342				HS6		skin_elevation		2019-03-21
PRJEB31799	ERP114401	SAMEA5523515	ERS3325598	ERX3264721	ERR3237343	ERA1777984	749906	gut metagenome	ILLUMINA	Illumina HiSeq 2000	unspecified		SINGLE	AMPLICON	METAGENOMIC	PCR	122710	52154162	Key Laboratory of Environmental and Applied Microbiology, CAS	2020-01-06	2019-03-22	Illumina HiSeq 2000 sequencing	Human skin microbiotas across elevations	ena-STUDY-Key Laboratory of Environmental and Applied Microbiology, CAS-21-03-2019-09:53:22:386-13	ena-EXPERIMENT-Key Laboratory of Environmental and Applied Microbiology, CAS-21-03-2019-09:53:08:992-7	ena-RUN-Key Laboratory of Environmental and Applied Microbiology, CAS-21-03-2019-09:53:08:992-7	23593692	171d74d534f9473372bee4a86bdc566e	ftp.sra.ebi.ac.uk/vol1/fastq/ERR323/003/ERR3237343/ERR3237343.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR323/003/ERR3237343/ERR3237343.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR323/003/ERR3237343/ERR3237343.fastq.gz	23189647	12cef136b78cc4f2efe3e62ce8b0eb52	ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3237343/P307.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR323/ERR3237343/P307.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3237343/P307.fastq.gz	FASTQ	29351321	664961cfb166efbadde81a3216c2167a	ftp.sra.ebi.ac.uk/vol1/err/ERR323/003/ERR3237343	fasp.sra.ebi.ac.uk:/vol1/err/ERR323/003/ERR3237343	ftp.sra.ebi.ac.uk/vol1/err/ERR323/003/ERR3237343				HS7		skin_elevation		2019-03-21
PRJEB31799	ERP114401	SAMEA5523516	ERS3325599	ERX3264722	ERR3237344	ERA1777984	749906	gut metagenome	ILLUMINA	Illumina HiSeq 2000	unspecified		SINGLE	AMPLICON	METAGENOMIC	PCR	68811	29270026	Key Laboratory of Environmental and Applied Microbiology, CAS	2020-01-06	2019-03-21	Illumina HiSeq 2000 sequencing	Human skin microbiotas across elevations	ena-STUDY-Key Laboratory of Environmental and Applied Microbiology, CAS-21-03-2019-09:53:22:386-13	ena-EXPERIMENT-Key Laboratory of Environmental and Applied Microbiology, CAS-21-03-2019-09:53:08:992-8	ena-RUN-Key Laboratory of Environmental and Applied Microbiology, CAS-21-03-2019-09:53:08:992-8	15074659	422bae777515b20e1334983212cf092e	ftp.sra.ebi.ac.uk/vol1/fastq/ERR323/004/ERR3237344/ERR3237344.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR323/004/ERR3237344/ERR3237344.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR323/004/ERR3237344/ERR3237344.fastq.gz	14846341	c422ee0b7e4bc497f97106b3ca975106	ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3237344/P308.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR323/ERR3237344/P308.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3237344/P308.fastq.gz	FASTQ	16596279	ed763479f16103ea1dd6d00c09a927ed	ftp.sra.ebi.ac.uk/vol1/err/ERR323/004/ERR3237344	fasp.sra.ebi.ac.uk:/vol1/err/ERR323/004/ERR3237344	ftp.sra.ebi.ac.uk/vol1/err/ERR323/004/ERR3237344				HS8		skin_elevation		2019-03-21
PRJEB31799	ERP114401	SAMEA5523517	ERS3325600	ERX3264723	ERR3237345	ERA1777984	749906	gut metagenome	ILLUMINA	Illumina HiSeq 2000	unspecified		SINGLE	AMPLICON	METAGENOMIC	PCR	101053	42968147	Key Laboratory of Environmental and Applied Microbiology, CAS	2020-01-06	2019-03-21	Illumina HiSeq 2000 sequencing	Human skin microbiotas across elevations	ena-STUDY-Key Laboratory of Environmental and Applied Microbiology, CAS-21-03-2019-09:53:22:386-13	ena-EXPERIMENT-Key Laboratory of Environmental and Applied Microbiology, CAS-21-03-2019-09:53:08:992-9	ena-RUN-Key Laboratory of Environmental and Applied Microbiology, CAS-21-03-2019-09:53:08:992-9	20079418	707e5e5a83ccc176eb2e3bb5bfe17d75	ftp.sra.ebi.ac.uk/vol1/fastq/ERR323/005/ERR3237345/ERR3237345.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR323/005/ERR3237345/ERR3237345.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR323/005/ERR3237345/ERR3237345.fastq.gz	19747186	4c72c2acfe0994447057545e76ec5750	ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3237345/P309.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR323/ERR3237345/P309.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3237345/P309.fastq.gz	FASTQ	24385384	246888f7dc5c0659136b6d88b820ad66	ftp.sra.ebi.ac.uk/vol1/err/ERR323/005/ERR3237345	fasp.sra.ebi.ac.uk:/vol1/err/ERR323/005/ERR3237345	ftp.sra.ebi.ac.uk/vol1/err/ERR323/005/ERR3237345				HS9		skin_elevation		2019-03-21
PRJEB31799	ERP114401	SAMEA5523518	ERS3325601	ERX3264724	ERR3237346	ERA1777984	749906	gut metagenome	ILLUMINA	Illumina HiSeq 2000	unspecified		SINGLE	AMPLICON	METAGENOMIC	PCR	74888	31842345	Key Laboratory of Environmental and Applied Microbiology, CAS	2020-01-06	2019-03-21	Illumina HiSeq 2000 sequencing	Human skin microbiotas across elevations	ena-STUDY-Key Laboratory of Environmental and Applied Microbiology, CAS-21-03-2019-09:53:22:386-13	ena-EXPERIMENT-Key Laboratory of Environmental and Applied Microbiology, CAS-21-03-2019-09:53:08:992-10	ena-RUN-Key Laboratory of Environmental and Applied Microbiology, CAS-21-03-2019-09:53:08:992-10	16958838	65a6252630f9eba0ef8e073a5ea85d2e	ftp.sra.ebi.ac.uk/vol1/fastq/ERR323/006/ERR3237346/ERR3237346.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR323/006/ERR3237346/ERR3237346.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR323/006/ERR3237346/ERR3237346.fastq.gz	16708622	5515b44e6c7e76f0ad276ccba66eb64d	ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3237346/P310.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR323/ERR3237346/P310.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3237346/P310.fastq.gz	FASTQ	18101751	a85e5d37c623dffe5049b788788dbb7a	ftp.sra.ebi.ac.uk/vol1/err/ERR323/006/ERR3237346	fasp.sra.ebi.ac.uk:/vol1/err/ERR323/006/ERR3237346	ftp.sra.ebi.ac.uk/vol1/err/ERR323/006/ERR3237346				HS10		skin_elevation		2019-03-21
