center_name	PRIMARY_ID	EXTERNAL_ID	SUBMITTER_ID	TITLE	TAXON_ID	SCIENTIFIC_NAME	ENA-STUDY	ENA-EXPERIMENT	ENA-RUN	ENA-SUBMISSION	ENA-FASTQ-FILES	ENA-SUBMITTED-FILES	collection date	environment (biome)	environment (feature)	environment (material)	geographic location (country and/or sea)	geographic location (latitude)	geographic location (longitude)	host-associated environmental package	investigation type	project name	sequencing method	ENA-CHECKLIST	ENA-SPOT-COUNT	ENA-BASE-COUNT	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS3325592	SAMEA5523509	HS1	skin_elevation	749906	gut metagenome	ERP114401	ERX3264715	ERR3237337	ERA1777984	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325592&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325592&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2016	human	skin	skin	China	100.7509	35.5843	host-associated	mimarks-survey	human_elevation	HiSeq	ERC000013	90903	38666296	2019-12-30	2019-03-21
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS3325593	SAMEA5523510	HS2	skin_elevation	749906	gut metagenome	ERP114401	ERX3264716	ERR3237338	ERA1777984	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325593&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325593&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2016	human	skin	skin	China	100.7509	35.5843	host-associated	mimarks-survey	human_elevation	HiSeq	ERC000013	80708	34340581	2019-12-30	2019-03-21
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS3325594	SAMEA5523511	HS3	skin_elevation	749906	gut metagenome	ERP114401	ERX3264717	ERR3237339	ERA1777984	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325594&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325594&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2016	human	skin	skin	China	100.7509	35.5843	host-associated	mimarks-survey	human_elevation	HiSeq	ERC000013	100642	42837869	2019-12-30	2019-03-21
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS3325595	SAMEA5523512	HS4	skin_elevation	749906	gut metagenome	ERP114401	ERX3264718	ERR3237340	ERA1777984	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325595&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325595&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2016	human	skin	skin	China	100.7509	35.5843	host-associated	mimarks-survey	human_elevation	HiSeq	ERC000013	80392	34213597	2019-12-30	2019-03-21
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS3325596	SAMEA5523513	HS5	skin_elevation	749906	gut metagenome	ERP114401	ERX3264719	ERR3237341	ERA1777984	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325596&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325596&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2016	human	skin	skin	China	100.7509	35.5843	host-associated	mimarks-survey	human_elevation	HiSeq	ERC000013	54255	23085123	2019-12-30	2019-03-21
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS3325597	SAMEA5523514	HS6	skin_elevation	749906	gut metagenome	ERP114401	ERX3264720	ERR3237342	ERA1777984	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325597&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325597&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2016	human	skin	skin	China	100.7509	35.5843	host-associated	mimarks-survey	human_elevation	HiSeq	ERC000013	88239	37511961	2019-12-30	2019-03-21
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS3325598	SAMEA5523515	HS7	skin_elevation	749906	gut metagenome	ERP114401	ERX3264721	ERR3237343	ERA1777984	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325598&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325598&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2016	human	skin	skin	China	100.7509	35.5843	host-associated	mimarks-survey	human_elevation	HiSeq	ERC000013	122710	52154162	2019-12-30	2019-03-21
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS3325599	SAMEA5523516	HS8	skin_elevation	749906	gut metagenome	ERP114401	ERX3264722	ERR3237344	ERA1777984	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325599&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325599&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2016	human	skin	skin	China	100.7509	35.5843	host-associated	mimarks-survey	human_elevation	HiSeq	ERC000013	68811	29270026	2019-12-30	2019-03-21
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS3325600	SAMEA5523517	HS9	skin_elevation	749906	gut metagenome	ERP114401	ERX3264723	ERR3237345	ERA1777984	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325600&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325600&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2016	human	skin	skin	China	100.7509	35.5843	host-associated	mimarks-survey	human_elevation	HiSeq	ERC000013	101053	42968147	2019-12-30	2019-03-21
Key Laboratory of Environmental and Applied Microbiology, CAS	ERS3325601	SAMEA5523518	HS10	skin_elevation	749906	gut metagenome	ERP114401	ERX3264724	ERR3237346	ERA1777984	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325601&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS3325601&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2016	human	skin	skin	China	100.7509	35.5843	host-associated	mimarks-survey	human_elevation	HiSeq	ERC000013	74888	31842345	2019-12-30	2019-03-21
