study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sra_bytes	sra_md5	sra_ftp	sra_aspera	sra_galaxy	cram_index_ftp	cram_index_aspera	cram_index_galaxy	sample_alias	broker_name	sample_title	nominal_sdev	first_created
PRJNA493224	SRP173401	SAMN10510851	SRS4142216	SRX5129097	SRR8316312	SRA823063	77133	uncultured bacterium	ILLUMINA	Illumina MiSeq	SSB.7		PAIRED	AMPLICON	METAGENOMIC	PCR	27465	13787430	SUB4870950	2018-12-15	2018-12-15	Illumina MiSeq sequencing; ISS surface environmental sample SSB.7	Study of the impact of long-term space travel on the Astronauts' microbiome	PRJNA493224	SSB.7	SSB.7.NH_1.fastq.gz	3333615;3803369	5e8e722ec63d011005438c4288371c13;d4caff6daa25277019f50ffc01d7aed4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR831/002/SRR8316312/SRR8316312_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR831/002/SRR8316312/SRR8316312_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR831/002/SRR8316312/SRR8316312_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR831/002/SRR8316312/SRR8316312_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR831/002/SRR8316312/SRR8316312_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR831/002/SRR8316312/SRR8316312_2.fastq.gz							8666905	2a99ead9f76b8e16ff851cb626c27d5b	ftp.sra.ebi.ac.uk/vol1/srr/SRR831/002/SRR8316312	fasp.sra.ebi.ac.uk:/vol1/srr/SRR831/002/SRR8316312	ftp.sra.ebi.ac.uk/vol1/srr/SRR831/002/SRR8316312				SSB.7		SSB.7		2018-12-15
PRJNA493224	SRP173401	SAMN10510850	SRS4142214	SRX5129096	SRR8316313	SRA823063	77133	uncultured bacterium	ILLUMINA	Illumina MiSeq	SSB.6		PAIRED	AMPLICON	METAGENOMIC	PCR	21802	10944604	SUB4870950	2018-12-15	2018-12-15	Illumina MiSeq sequencing; ISS surface environmental sample SSB.6	Study of the impact of long-term space travel on the Astronauts' microbiome	PRJNA493224	SSB.6	SSB.6.NH_1.fastq.gz	2754765;3073051	3b8f4950426f1ff014c243983e8cab6d;debdf7cd802f6087149900c422eceef3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR831/003/SRR8316313/SRR8316313_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR831/003/SRR8316313/SRR8316313_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR831/003/SRR8316313/SRR8316313_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR831/003/SRR8316313/SRR8316313_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR831/003/SRR8316313/SRR8316313_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR831/003/SRR8316313/SRR8316313_2.fastq.gz							6984854	36176c68fb0fa50189a933def6bfdc14	ftp.sra.ebi.ac.uk/vol1/srr/SRR831/003/SRR8316313	fasp.sra.ebi.ac.uk:/vol1/srr/SRR831/003/SRR8316313	ftp.sra.ebi.ac.uk/vol1/srr/SRR831/003/SRR8316313				SSB.6		SSB.6		2018-12-15
PRJNA493224	SRP173401	SAMN10510886	SRS4142215	SRX5129095	SRR8316314	SRA823063	77133	uncultured bacterium	ILLUMINA	Illumina MiSeq	SSF.2		PAIRED	AMPLICON	METAGENOMIC	PCR	6150	3087300	SUB4870950	2018-12-15	2018-12-15	Illumina MiSeq sequencing; ISS surface environmental sample SSF.2	Study of the impact of long-term space travel on the Astronauts' microbiome	PRJNA493224	SSF.2	SSF.2.NH_1.fastq.gz	864442;873635	b2b6623ee24f171627b90348bf6126f4;a774f668b6cb72921f85c86d1bc3e87a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR831/004/SRR8316314/SRR8316314_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR831/004/SRR8316314/SRR8316314_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR831/004/SRR8316314/SRR8316314_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR831/004/SRR8316314/SRR8316314_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR831/004/SRR8316314/SRR8316314_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR831/004/SRR8316314/SRR8316314_2.fastq.gz							2165082	1ed50800b027623932ecd4cda1426d7a	ftp.sra.ebi.ac.uk/vol1/srr/SRR831/004/SRR8316314	fasp.sra.ebi.ac.uk:/vol1/srr/SRR831/004/SRR8316314	ftp.sra.ebi.ac.uk/vol1/srr/SRR831/004/SRR8316314				SSF.2		SSF.2		2018-12-15
PRJNA493224	SRP173401	SAMN10510906	SRS4142213	SRX5129094	SRR8316315	SRA823063	77133	uncultured bacterium	ILLUMINA	Illumina MiSeq	SSC.14		PAIRED	AMPLICON	METAGENOMIC	PCR	10094	5067188	SUB4870950	2018-12-15	2018-12-15	Illumina MiSeq sequencing; ISS surface environmental sample SSC.14	Study of the impact of long-term space travel on the Astronauts' microbiome	PRJNA493224	SSC.14	SSC.14.NH_1.fastq.gz	1258595;1579802	f4b471dccb238170856aaf8d6e57c02d;694c146744e5acc8eddcf46a5d8aa2e2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR831/005/SRR8316315/SRR8316315_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR831/005/SRR8316315/SRR8316315_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR831/005/SRR8316315/SRR8316315_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR831/005/SRR8316315/SRR8316315_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR831/005/SRR8316315/SRR8316315_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR831/005/SRR8316315/SRR8316315_2.fastq.gz							3326072	0d56845ffcee089ad983240c85f6ff68	ftp.sra.ebi.ac.uk/vol1/srr/SRR831/005/SRR8316315	fasp.sra.ebi.ac.uk:/vol1/srr/SRR831/005/SRR8316315	ftp.sra.ebi.ac.uk/vol1/srr/SRR831/005/SRR8316315				SSC.14		SSC.14		2018-12-15
PRJNA493224	SRP173401	SAMN10510842	SRS4142212	SRX5129093	SRR8316316	SRA823063	77133	uncultured bacterium	ILLUMINA	Illumina MiSeq	SSA.8		PAIRED	AMPLICON	METAGENOMIC	PCR	24744	12421488	SUB4870950	2018-12-15	2018-12-15	Illumina MiSeq sequencing; ISS surface environmental sample SSA.8	Study of the impact of long-term space travel on the Astronauts' microbiome	PRJNA493224	SSA.8	SSA.8.NH_1.fastq.gz	3046499;3607224	78c0964dbcf71fd23b8fd459c06b66d5;911c50694df4139fd9ae1c5b0e389bf4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR831/006/SRR8316316/SRR8316316_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR831/006/SRR8316316/SRR8316316_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR831/006/SRR8316316/SRR8316316_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR831/006/SRR8316316/SRR8316316_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR831/006/SRR8316316/SRR8316316_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR831/006/SRR8316316/SRR8316316_2.fastq.gz							7957188	77653c7a0526165e747eb278468a1e90	ftp.sra.ebi.ac.uk/vol1/srr/SRR831/006/SRR8316316	fasp.sra.ebi.ac.uk:/vol1/srr/SRR831/006/SRR8316316	ftp.sra.ebi.ac.uk/vol1/srr/SRR831/006/SRR8316316				SSA.8		SSA.8		2018-12-15
PRJNA493224	SRP173401	SAMN10510841	SRS4142211	SRX5129092	SRR8316317	SRA823063	77133	uncultured bacterium	ILLUMINA	Illumina MiSeq	SSA.7		PAIRED	AMPLICON	METAGENOMIC	PCR	22827	11459154	SUB4870950	2018-12-15	2018-12-15	Illumina MiSeq sequencing; ISS surface environmental sample SSA.7	Study of the impact of long-term space travel on the Astronauts' microbiome	PRJNA493224	SSA.7	SSA.7.NH_1.fastq.gz	2798814;3249641	84a245c033bea8dd6a3d666bdddbb711;80f99122a4d8eef57ddde8ef82739c85	ftp.sra.ebi.ac.uk/vol1/fastq/SRR831/007/SRR8316317/SRR8316317_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR831/007/SRR8316317/SRR8316317_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR831/007/SRR8316317/SRR8316317_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR831/007/SRR8316317/SRR8316317_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR831/007/SRR8316317/SRR8316317_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR831/007/SRR8316317/SRR8316317_2.fastq.gz							7300130	ca1e3180378d996a288363d680e9f5ca	ftp.sra.ebi.ac.uk/vol1/srr/SRR831/007/SRR8316317	fasp.sra.ebi.ac.uk:/vol1/srr/SRR831/007/SRR8316317	ftp.sra.ebi.ac.uk/vol1/srr/SRR831/007/SRR8316317				SSA.7		SSA.7		2018-12-15
PRJNA493224	SRP173401	SAMN10510845	SRS4142209	SRX5129091	SRR8316318	SRA823063	77133	uncultured bacterium	ILLUMINA	Illumina MiSeq	SSB.1		PAIRED	AMPLICON	METAGENOMIC	PCR	111822	56134644	SUB4870950	2018-12-15	2018-12-15	Illumina MiSeq sequencing; ISS surface environmental sample SSB.1	Study of the impact of long-term space travel on the Astronauts' microbiome	PRJNA493224	SSB.1	SSB.1.NH_1.fastq.gz	13098486;14454976	7286a407b41ea7eb2457aa45f765a97e;4961bd6735e12bd6df25ee3da2897660	ftp.sra.ebi.ac.uk/vol1/fastq/SRR831/008/SRR8316318/SRR8316318_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR831/008/SRR8316318/SRR8316318_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR831/008/SRR8316318/SRR8316318_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR831/008/SRR8316318/SRR8316318_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR831/008/SRR8316318/SRR8316318_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR831/008/SRR8316318/SRR8316318_2.fastq.gz							34318246	781a2722764424d10c0009b74c6e4e23	ftp.sra.ebi.ac.uk/vol1/srr/SRR831/008/SRR8316318	fasp.sra.ebi.ac.uk:/vol1/srr/SRR831/008/SRR8316318	ftp.sra.ebi.ac.uk/vol1/srr/SRR831/008/SRR8316318				SSB.1		SSB.1		2018-12-15
PRJNA493224	SRP173401	SAMN10510843	SRS4142210	SRX5129090	SRR8316319	SRA823063	77133	uncultured bacterium	ILLUMINA	Illumina MiSeq	SSA.9		PAIRED	AMPLICON	METAGENOMIC	PCR	21272	10678544	SUB4870950	2018-12-15	2018-12-15	Illumina MiSeq sequencing; ISS surface environmental sample SSA.9	Study of the impact of long-term space travel on the Astronauts' microbiome	PRJNA493224	SSA.9	SSA.9.NH_1.fastq.gz	2613459;3161894	e67aa65fdcede23a4bed6fa88c1fd930;cc544e55ade09192c53827f0f8fc7150	ftp.sra.ebi.ac.uk/vol1/fastq/SRR831/009/SRR8316319/SRR8316319_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR831/009/SRR8316319/SRR8316319_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR831/009/SRR8316319/SRR8316319_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR831/009/SRR8316319/SRR8316319_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR831/009/SRR8316319/SRR8316319_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR831/009/SRR8316319/SRR8316319_2.fastq.gz							6789367	7acda8e95babd7884b9d4a71d864cb9d	ftp.sra.ebi.ac.uk/vol1/srr/SRR831/009/SRR8316319	fasp.sra.ebi.ac.uk:/vol1/srr/SRR831/009/SRR8316319	ftp.sra.ebi.ac.uk/vol1/srr/SRR831/009/SRR8316319				SSA.9		SSA.9		2018-12-15
PRJNA493224	SRP173401	SAMN10510847	SRS4142208	SRX5129089	SRR8316320	SRA823063	77133	uncultured bacterium	ILLUMINA	Illumina MiSeq	SSB.3		PAIRED	AMPLICON	METAGENOMIC	PCR	4384	2200768	SUB4870950	2018-12-15	2018-12-15	Illumina MiSeq sequencing; ISS surface environmental sample SSB.3	Study of the impact of long-term space travel on the Astronauts' microbiome	PRJNA493224	SSB.3	SSB.3.NH_1.fastq.gz	644320;655252	ec531022e0e94f0f63b992322d9cb882;2065eee1fd95ee33a15d5ee46ea3f77d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR831/000/SRR8316320/SRR8316320_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR831/000/SRR8316320/SRR8316320_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR831/000/SRR8316320/SRR8316320_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR831/000/SRR8316320/SRR8316320_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR831/000/SRR8316320/SRR8316320_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR831/000/SRR8316320/SRR8316320_2.fastq.gz							1567311	5ed5ae62b967445e1fecb13ae423f5f1	ftp.sra.ebi.ac.uk/vol1/srr/SRR831/000/SRR8316320	fasp.sra.ebi.ac.uk:/vol1/srr/SRR831/000/SRR8316320	ftp.sra.ebi.ac.uk/vol1/srr/SRR831/000/SRR8316320				SSB.3		SSB.3		2018-12-15
PRJNA493224	SRP173401	SAMN10510846	SRS4142207	SRX5129088	SRR8316321	SRA823063	77133	uncultured bacterium	ILLUMINA	Illumina MiSeq	SSB.2		PAIRED	AMPLICON	METAGENOMIC	PCR	10927	5485354	SUB4870950	2018-12-15	2018-12-15	Illumina MiSeq sequencing; ISS surface environmental sample SSB.2	Study of the impact of long-term space travel on the Astronauts' microbiome	PRJNA493224	SSB.2	SSB.2.NH_1.fastq.gz	1533704;1563243	b1d9e62b69f4e5d7d13f13573d16a6e3;e3b5ba3ce8834cb458d69f139ca2c4a5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR831/001/SRR8316321/SRR8316321_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR831/001/SRR8316321/SRR8316321_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR831/001/SRR8316321/SRR8316321_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR831/001/SRR8316321/SRR8316321_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR831/001/SRR8316321/SRR8316321_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR831/001/SRR8316321/SRR8316321_2.fastq.gz							3807400	fc8ca9c1239dbc2587a558ab0a61a17f	ftp.sra.ebi.ac.uk/vol1/srr/SRR831/001/SRR8316321	fasp.sra.ebi.ac.uk:/vol1/srr/SRR831/001/SRR8316321	ftp.sra.ebi.ac.uk/vol1/srr/SRR831/001/SRR8316321				SSB.2		SSB.2		2018-12-15
