	project_id	queried_accession_id	id	source	pmid	pmcid	fullTextIdList	doi	title	authorString	journal_issue	journal_volume	journalIssueId	journal_dateOfPublication	journal_monthOfPublication	journal_yearOfPublication	journal_printPublicationDate	journal_title	journal_ISOAbbreviation	journal_medlineAbbreviation	journal_NLMid	journal_ISSN	journal_ESSN	pubYear	pageInfo	abstractText	affiliation		publicationStatus	language	pubModel	pubTypeList	keywordList	isOpenAccess	inEPMC	inPMC	hasPDF	hasBook	hasSuppl	citedByCount	hasData	hasReferences	hasTextMinedTerms	hasDbCrossReferences	hasLabsLinks	license	hasTMAccessionNumbers	tmAccessionTypeList	dateOfCreation	firstIndexDate	fullTextReceivedDate	dateOfRevision	electronicPublicationDate	firstPublicationDate	DOI	HTML	PDF	fulltextXML	Suppl	TGZpackage
0	PRJNA743060	SAMN19994144	35778384	MED	35778384	PMC9249784	PMC9249784	10.1038/s41467-022-31517-8	A comprehensive resource for Bordetella genomic epidemiology and biodiversity studies.	Bridel S, Bouchez V, Brancotte B, Hauck S, Armatys N, Landier A, Mühle E, Guillot S, Toubiana J, Maiden MCJ, Jolley KA, Brisse S.	1.0	13	3383112	2022 Jul	7	2022	01/07/2022	Nature communications	Nat Commun	Nat Commun	101528555	2041-1723	2041-1723	2022	3807	The genus Bordetella includes bacteria that are found in the environment and/or associated with humans and other animals. A few closely related species, including Bordetella pertussis, are human pathogens that cause diseases such as whooping cough. Here, we present a large database of Bordetella isolates and genomes and develop genotyping systems for the genus and for the B. pertussis clade. To generate the database, we merge previously existing databases from Oxford University and Institut Pasteur, import genomes from public repositories, and add 83 newly sequenced B. bronchiseptica genomes. The public database currently includes 2582 Bordetella isolates and their provenance data, and 2085 genomes ( https://bigsdb.pasteur.fr/bordetella/ ). We use core-genome multilocus sequence typing (cgMLST) to develop genotyping systems for the whole genus and for B. pertussis, as well as specific schemes to define antigenic, virulence and macrolide resistance profiles. Phylogenetic analyses allow us to redefine evolutionary relationships among known Bordetella species, and to propose potential new species. Our database provides an expandable resource for genotyping of environmental and clinical Bordetella isolates, thus facilitating evolutionary and epidemiological research on whooping cough and other Bordetella infections.	Institut Pasteur, Université Paris Cité, Biodiversity and Epidemiology of Bacterial Pathogens, Paris, France.	France	epublish	eng	Electronic	"Research Support, Non-U.S. Gov't;research-article;Journal Article"		Y	Y	N	Y	N	Y	4	Y	Y	Y	N	Y	cc by	Y	"bioproject;gca;biosample"	01/07/2022	02/07/2022	05/07/2022	16/08/2022	01/07/2022	01/07/2022	https://doi.org/10.1038/s41467-022-31517-8	https://europepmc.org/articles/PMC9249784	https://europepmc.org/articles/PMC9249784?pdf=render	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9249784/fullTextXML	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9249784/supplementaryFiles?includeInlineImage=yes	http://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/18/0a/PMC9249784.tar.gz
0	PRJNA482032	31451313	31451313	MED	31451313	PMC6755049	PMC6755049	10.1016/j.annepidem.2019.07.013	The respiratory microbiota: associations with influenza symptomatology and viral shedding.	Lee KH, Foxman B, Kuan G, López R, Shedden K, Ng S, Balmaseda A, Gordon A.		37	2861246	2019 Sep	9	2019	01/09/2019	Annals of epidemiology	Ann Epidemiol	Ann Epidemiol	9100013	1047-2797	1873-2585	2019	51-56.e6	"<h4>Purpose</h4>Manifestations of infection and the degree of influenza virus vary. We hypothesized that the nose/throat microbiota modifies the duration of influenza symptoms and viral shedding. Exploring these relationships may help identify additional methods for reducing influenza severity and transmission.<h4>Methods</h4>Using a household transmission study in Nicaragua, we identified secondary cases of influenza virus infection, defined as contacts with detectable virus or a greater than 4-fold change in hemagglutinin inhibition antibody titer. We characterized the nose/throat microbiota of secondary cases before infection and explored whether the duration of symptoms and shedding differed by bacterial community characteristics.<h4>Results</h4>Among 124 secondary cases of influenza, higher bacterial community diversity before infection was associated with longer shedding duration (Shannon acceleration factor [AF]: 1.61, 95% confidence interval [CI]: 1.24, 2.10) and earlier time to infection (Shannon AF: 0.72, 95% CI: 0.53, 0.97; Chao1 AF: 0.992, 95% CI: 0.986, 0.998). Neisseria and multiple other oligotypes were significantly associated with symptom and shedding durations and time to infection.<h4>Conclusions</h4>The nose/throat microbiota before influenza virus infection was associated with influenza symptoms and shedding durations. Further studies are needed to determine if the nose/throat microbiota is a viable target for reducing influenza symptoms and transmission."	"Center for Molecular and Clinical Epidemiology of Infectious Diseases, Department of Epidemiology, School of Public Health, University of Michigan, Ann Arbor; Department of Epidemiology, Bloomberg School of Public Health, Johns Hopkins University, Baltimore, MD."	USA	ppublish	eng	Print-Electronic	"Research Support, Non-U.S. Gov't;research-article;Journal Article;Research Support, N.I.H., Extramural"	"Influenza;Microbiota;Signs And Symptoms;Virus Shedding"	N	Y	N	Y	N	Y	10	Y	Y	Y	N	Y		Y	bioproject	28/08/2019	28/08/2019	02/09/2020	23/09/2020	31/07/2019	31/07/2019	https://doi.org/10.1016/j.annepidem.2019.07.013	https://europepmc.org/articles/PMC6755049	https://europepmc.org/articles/PMC6755049?pdf=render			
0	PRJNA553551	PRJNA553551	32148604	MED	32148604	PMC7048396	PMC7048396	10.1128/jmbe.v21i1.2019	"Testing the ""Grandma Hypothesis"": Characterizing Skin Microbiome Diversity as a Project-Based Learning Approach to Genomics. "	Pérez-Losada M, Crandall KM, Crandall KA.	1.0	21	2922494	2020	0	2020	01/01/2020	Journal of microbiology & biology education	J Microbiol Biol Educ	J Microbiol Biol Educ	101543341	1935-7877	1935-7885	2020	21.1.7	The constantly evolving nature of genomics provides new challenges for students in Public Health as they try to understand how genomic information relates to health and disease. As Public Health curricula attempt to keep pace with the most recent advances in genomics, students should gain experience with analyzing genomic data and applying genomic tools to the study of health-related issues. To advance undergraduate and graduate student education and provide a more comprehensive view of genomics, we developed an educational project including both pedagogic and research components to characterize skin microbial communities (microbiomes) using targeted amplicon sequencing of their genomes (metataxonomy). All students completed the lab procedures, analyzed 16S rRNA genomic data (formative assessments), and wrote a five-page scientific report summarizing and discussing their results (summative assessment). Student grades for the summative assessment ranged from 31.5 to 40 (out of 40) points. They also successfully completed two practicums (problem sets) focused on microbiome sequence data and responded to 12 minute-papers related to genomic topics covered in class. In all these exercises the 2019 students outperformed 2018 students, who did not participate in this educational lab project. By fulfilling all the requirements of this project-based learning experience, students better understood the complexity of genomics and acquired a valuable set of marketable experience and skills in molecular technologies, bioinformatics and statistics (quantitative skills). Additionally, students were able to generate new valuable microbial 16S rRNA genomic data and test hypotheses about the composition and diversity of the microbes living on our skin (microbiota).	Computational Biology Institute, Department of Biostatistics and Bioinformatics, Milken Institute School of Public Health, George Washington University, Washington, DC 20052-0066, USA.	USA	epublish	eng	Electronic-eCollection	"research-article;Journal Article"		Y	Y	N	Y	N	Y	2	Y	Y	Y	N	Y	cc by-nc-nd	N		10/03/2020	11/03/2020	10/07/2020	28/09/2020	28/02/2020	28/02/2020	https://doi.org/10.1128/jmbe.v21i1.2019	https://europepmc.org/articles/PMC7048396	https://europepmc.org/articles/PMC7048396?pdf=render	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7048396/fullTextXML	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7048396/supplementaryFiles?includeInlineImage=yes	http://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/88/6b/PMC7048396.tar.gz
0	PRJNA750340	36762256	36762256	MED	36762256	PMC9904309	PMC9904309	10.2147/ccid.s400321	"The Characteristics of the Skin Physiological Parameters and Facial Microbiome of ""Ideal Skin"" in Shanghai Women."	Ma L, Niu Y, Yuan C, Bai T, Yang S, Wang M, Li Y, Shao L.		16	3486602	2023	0	2023	01/01/2023	Clinical, cosmetic and investigational dermatology	Clin Cosmet Investig Dermatol	Clin Cosmet Investig Dermatol	101543449	1178-7015	1178-7015	2023	325-337	"<h4>Purpose</h4>Everyone pursues perfect skin, but there exist significant differences between cultures, and no commonly accepted standards have been established. Therefore, our study attempted to define the ""ideal skin"" of oriental women and analyze the relationship between different skin physiological parameters and microbiomes.<h4>Patients and methods</h4>Based on our customized grading standard, the VISIA CR photos of 111 young women aged from 18 to 25 in Shanghai were collected and scored by the severity of pores, acne, spots, and wrinkles. The volunteers were then divided into ""ideal skin"" (W1), ""normal skin"" (W2), and ""undesirable skin"" (W3) groups. The physiological parameters of facial skin were measured by non-invasive instrumental methods, and the skin microbiome was analyzed by 16S rRNA and ITS high-throughput sequencing.<h4>Results</h4>From ""ideal skin"" to ""undesirable skin"", the skin physiological parameters, α-diversity, and composition of the facial microbiome showed noticeable regular changes. Compared with the ""normal skin"" (W2) and ""undesirable skin"" (W3), the ""ideal skin"" (W1) group had lower sebum content, TEWL, melanin, hemoglobin, and roughness but higher hydration content and skin pH value. Furthermore, the Shannon index of skin bacteria was significantly increased in W1 (<i>P</i> = 0.004), suggesting that the ideal skin had higher species diversity. From W1 to W3, the species composition was changed significantly. The abundance of <i>Actinobacteria</i> was increased, while <i>Proteobacteria</i> and <i>Bacteroidetes</i> were decreased. Correspondingly, the abundances of lipophilic <i>Propionibacterium</i> and <i>Malassezia</i> were increased, while the abundances of <i>Stenotrophomonas, Pseudomonas, Ralstonia</i>, and <i>Streptococcus</i>, were significantly decreased. Additionally, Spearman correlation analysis revealed strong correlations between the physiological parameters and the microbiota. Notably, the Shannon index of skin bacteria was significantly positively correlated with skin hydration (<i>P</i> = 0.03) but negatively correlated with the abundance of <i>Cutibacterium</i> (<i>P</i> = 0.000), hemoglobin content (<i>P</i> = 0.025), and sebum content (<i>P</i> = 0.5). Therefore, the skin hydration content and the abundance of <i>Cutibacterium</i> played an important role in maintaining the α-diversity and skin homeostasis.<h4>Conclusion</h4>Ideal skin had better water-oil balance and barrier function, higher microbial diversity, and more reasonable species distribution. Therefore, daily skincare needs to control skin oil and maintain skin microecological balance to achieve ideal skin conditions for young women aged 18-25 years old."	School of Perfume and Aroma Technology, Shanghai Institute of Technology, Shanghai, People's Republic of China.	China	epublish	eng	Electronic-eCollection	"research-article;Journal Article"	"Definition;Physiological parameters;Skin Microbiome;Ideal Skin;Shanghai Women"	Y	Y	N	Y	N	N	0	Y	Y	Y	N	Y	cc by-nc	Y	gen	10/02/2023	11/02/2023	09/02/2023	11/02/2023	03/02/2023	03/02/2023	https://doi.org/10.2147/CCID.S400321	https://europepmc.org/articles/PMC9904309	https://europepmc.org/articles/PMC9904309?pdf=render	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9904309/fullTextXML		http://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/c5/5e/PMC9904309.tar.gz
0	PRJNA542898	31266865	31266865	MED	31266865	PMC6606800	PMC6606800	10.1128/mbio.00839-19	New Insights into the Intrinsic and Extrinsic Factors That Shape the Human Skin Microbiome. 	Dimitriu PA, Iker B, Malik K, Leung H, Mohn WW, Hillebrand GG.	4.0	10	2834300	2019 Jul	7	2019	01/07/2019	mBio	mBio	mBio	101519231	2150-7511	2150-7511	2019	e00839-19	Despite recognition that biogeography and individuality shape the function and composition of the human skin microbiome, we know little about how extrinsic and intrinsic host factors influence its composition. To explore the contributions of these factors to skin microbiome variation, we profiled the bacterial microbiomes of 495 North American subjects (ages, 9 to 78 years) at four skin surfaces plus the oral epithelium using 16S rRNA gene amplicon sequencing. We collected subject metadata, including host physiological parameters, through standardized questionnaires and noninvasive biophysical methods. Using a combination of statistical modeling tools, we found that demographic, lifestyle, and physiological factors collectively explained 12 to 20% of the variability in microbiome composition. The influence of health factors was strongest on the oral microbiome. Associations between host factors and the skin microbiome were generally dominated by operational taxonomic units (OTUs) affiliated with the Clostridiales and Prevotella A subset of the correlations between microbial features and host attributes were site specific. To further explore the relationship between age and the skin microbiome of the forehead, we trained a Random Forest regression model to predict chronological age from microbial features. Age was associated mostly with two mutually coexcluding Corynebacterium OTUs. Furthermore, skin aging variables (wrinkles and hyperpigmented spots) were independently correlated to these taxa.IMPORTANCE Many studies have highlighted the importance of body site and individuality in shaping the composition of the human skin microbiome, but we still have a poor understanding of how extrinsic (e.g., lifestyle) and intrinsic (e.g., age) factors influence its composition. We characterized the bacterial microbiomes of North American volunteers at four skin sites and the mouth. We also collected extensive subject metadata and measured several host physiological parameters. Integration of host and microbial features showed that the skin microbiome was predominantly associated with demographic, lifestyle, and physiological factors. Furthermore, we uncovered reproducible associations between chronological age, skin aging, and members of the genus Corynebacterium Our work provides new understanding of the role of host selection and lifestyle in shaping skin microbiome composition. It also contributes to a more comprehensive appreciation of the factors that drive interindividual skin microbiome variation.	Microbiome Insights, Inc., Vancouver, British Columbia, Canada.	Canada	epublish	eng	Electronic	"IM;research-article;Journal Article"		Y	Y	N	Y	N	N	50	Y	Y	Y	N	Y	cc by	Y	bioproject	04/07/2019	04/07/2019	12/07/2020	23/04/2020	02/07/2019	02/07/2019	https://doi.org/10.1128/mBio.00839-19	https://europepmc.org/articles/PMC6606800	https://europepmc.org/articles/PMC6606800?pdf=render	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6606800/fullTextXML		http://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/f4/3c/PMC6606800.tar.gz
0	PRJNA769501	36161082	36161082	MED	36161082	PMC9485956	PMC9485956	10.1159/000524316	New Normal Mask-Wearing and Its Impact on Underneath Skin Microbiome: A Cross-Sectional Study in Mild Acne Vulgaris Patients.	Wongtada C, Puaratana-Arunkon T, Prombutara P, Asawanonda P, Noppakun N, Kumtornrut C, Chatsuwan T.	5.0	8	3429992	2022 Sep	9	2022	01/09/2022	Skin appendage disorders	Skin Appendage Disord	Skin Appendage Disord	101670617	2296-9195	2296-9160	2022	376-381	"<h4>Introduction</h4>Prolonged mask-wearing could modulate the skin microenvironment resulting in several facial dermatoses. Microbial dysbiosis is proposed to be linked with these changes; however, data regarding the association is still limited. Accordingly, we aimed to explore the impact of face masks on the skin's bacterial microbiota.<h4>Methods</h4>We classified participants into short (<4 h/day) and long (≥4 h/day) mask-wearing time (SMWT and LMWT) groups according to mask-wearing time per day in the previous 2 weeks. Specimens were swabbed from the cheek and forehead of 45 mild acne vulgaris patients, representing mask-covered area (MCA) and mask-uncovered area (MUA), respectively. The 16S rRNA gene sequencing and QIIME2 were used to characterize bacterial communities.<h4>Results</h4>There were 12 (26.7%) and 33 (73.3%) participants in SMWT and LMWT, respectively. There were no significant differences in beta diversity across MCA/MUA or LMWT/SMWT groups. In alpha-diversity, the evenness on MCA was significantly lower in LMWT than in SMWT (<i>p</i> value = 0.049). Among all groups, the relative abundance of bacterial taxa was similar, showing Actinobacteriota and Firmicutes, and <i>Cutibacterium</i> and <i>Staphylococcus</i> as the most predominant phyla and genera, respectively.<h4>Conclusion</h4>Our results showed no significant impact of mask-wearing on the skin microbiota in mild acne vulgaris participants."	Division of Dermatology, Department of Medicine, Faculty of Medicine, Chulalongkorn University, Bangkok, Thailand.	Thailand	ppublish	eng	Print-Electronic	"research-article;Journal Article"	"16S rRNA gene;Microbiota;Bacterial diversity;Acne vulgaris;Masks"	N	Y	N	Y	N	N	0	Y	Y	Y	N	Y		Y	bioproject	26/09/2022	28/09/2022	04/09/2023	02/09/2023	06/05/2022	06/05/2022	https://doi.org/10.1159/000524316	https://europepmc.org/articles/PMC9485956	https://europepmc.org/articles/PMC9485956?pdf=render			
0	PRJNA940997	37564294	37564294	MED	37564294	PMC10410280	PMC10410280	10.3389/fmicb.2023.1234254	Postmortem skin microbiome signatures associated with human cadavers within the first 12 h at the morgue.	Iancu L, Muslim A, Aazmi S, Jitaru V.		14	3496024	2023	0	2023	01/01/2023	Frontiers in microbiology	Front Microbiol	Front Microbiol	101548977	1664-302X	1664-302X	2023	1234254	<h4>Introduction</h4>Forensic microbiome studies expanded during the last decade, aiming to identify putative bacterial biomarkers to be used for the postmortem interval (PMI) estimation. Bacterial diversity and dynamics during decomposition are influenced by each individual's micro and macroenvironment, ante and postmortem conditions, varying across body sites and time. The skin, the largest organ of the human body, hosts a diverse microbial diversity, representing the first line of defense of a living individual. Targeting the investigation of the postmortem skin microbiome could help understanding the role of microbes during decomposition, and association with the ante and postmortem conditions.<h4>Methods</h4>The current study aimed to identify the postmortem skin microbiome signatures associated with eight human bodies, received at the Institute of Legal Medicine Iasi, Romania, during April and May 2021. A total of 162 samples (including triplicate) representing face and hands skin microbiome were investigated via Illumina MiSeq, upon arrival at the morgue (T0) and after 12 hours (T1).<h4>Results</h4>The taxonomic characteristics of the skin microbiota varied across different body sites. However, there were no significant differences in taxonomic profiles between collection time, T0 and T1, except for some dynamic changes in the abundance of dominant bacteria. Moreover, different microbial signatures have been associated with a specific cause of death, such as cardiovascular disease, while an elevated blood alcohol level could be associated with a decrease in bacterial richness and diversity.<h4>Discussion</h4>The places where the bodies were discovered seemed to play an important role in explaining the bacterial diversity composition. This study shows promising results towards finding common postmortem bacterial signatures associated with human cadavers within the first 12h at the morgue.	Department of Criminal Justice, University of North Dakota, Grand Forks, ND, United States.	USA	epublish	eng	Electronic-eCollection	"research-article;Journal Article"	"Decomposition;Cause of death;Pmi;Skin Microbiome;Morgue"	Y	Y	N	Y	N	Y	0	Y	Y	Y	N	Y	cc by	Y	bioproject	11/08/2023	14/08/2023	20/08/2023	12/08/2023	26/07/2023	26/07/2023	https://doi.org/10.3389/fmicb.2023.1234254	https://europepmc.org/articles/PMC10410280	https://europepmc.org/articles/PMC10410280?pdf=render	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10410280/fullTextXML	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10410280/supplementaryFiles?includeInlineImage=yes	http://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/64/13/PMC10410280.tar.gz
0	PRJEB44885	PRJEB44885	34713611	MED	34713611	PMC8494714	PMC8494714	10.1002/mbo3.1236	Effect of the skincare product on facial skin microbial structure and biophysical parameters: A pilot study.	Hwang BK, Lee S, Myoung J, Hwang SJ, Lim JM, Jeong ET, Park SG, Youn SH.	5.0	10	3247075	2021 Oct	10	2021	01/10/2021	MicrobiologyOpen	Microbiologyopen	Microbiologyopen	101588314	2045-8827	2045-8827	2021	e1236	Daily use of cosmetics is known to affect the skin microbiome. This study aimed to determine the bacterial community structure and skin biophysical parameters following the daily application of a skincare product on the face. Twenty-five Korean women, who used the same skincare product for four weeks participated in the study. During this period, skin hydration, texture, sebum content, and pH were measured, and skin swab samples were collected on the cheeks. The microbiota was analyzed using the MiSeq system. Through these experiments, bacterial diversity in facial skin increased and the microbial community changed after four weeks of skincare product application. The relative abundance of Cutibacterium and Staphylococcus increased, significant changes in specific bacterial modules of the skin microbial network were observed, and skin hydration and texture improved. It was suggested that daily use of skincare products could affect the microbial structure of facial skin as well as the biophysical properties of the facial skin. These findings expand our understanding of the role of skincare products on the skin environment.	R&D Center, LG Household and Health Care Ltd, Seoul, South Korea.	South Korea	ppublish	eng	Print	"research-article;Journal Article"	"Skin Physiology;Skin Microbiome;Skincare Product;Skin Environment"	Y	Y	N	Y	N	N	2	N	Y	Y	N	Y	cc by	N		29/10/2021	26/11/2021	11/10/2021	22/02/2022		01/10/2021	https://doi.org/10.1002/mbo3.1236	https://europepmc.org/articles/PMC8494714	https://europepmc.org/articles/PMC8494714?pdf=render	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8494714/fullTextXML		http://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/b1/c5/PMC8494714.tar.gz
0	PRJNA38345	23144699	23144699	MED	23144699	PMC3483291	PMC3483291	10.1371/journal.pone.0046984	"The success of acinetobacter species; genetic, metabolic and virulence attributes."	Peleg AY, de Breij A, Adams MD, Cerqueira GM, Mocali S, Galardini M, Nibbering PH, Earl AM, Ward DV, Paterson DL, Seifert H, Dijkshoorn L.	10.0	7	1971989	2012	0	2012	01/01/2012	PloS one	PLoS One	PLoS One	101285081	1932-6203	1932-6203	2012	e46984	An understanding of why certain Acinetobacter species are more successful in causing nosocomial infections, transmission and epidemic spread in healthcare institutions compared with other species is lacking. We used genomic, phenotypic and virulence studies to identify differences between Acinetobacter species. Fourteen strains representing nine species were examined. Genomic analysis of six strains showed that the A. baumannii core genome contains many genes important for diverse metabolism and survival in the host. Most of the A. baumannii core genes were also present in one or more of the less clinically successful species. In contrast, when the accessory genome of an individual A. baumannii strain was compared to a strain of a less successful species (A. calcoaceticus RUH2202), many operons with putative virulence function were found to be present only in the A. baumannii strain, including the csu operon, the acinetobactin chromosomal cluster, and bacterial defence mechanisms. Phenotype microarray analysis showed that compared to A. calcoaceticus (RUH2202), A. baumannii ATCC 19606(T) was able to utilise nitrogen sources more effectively and was more tolerant to pH, osmotic and antimicrobial stress. Virulence differences were also observed, with A. baumannii ATCC 19606(T), A. pittii SH024, and A. nosocomialis RUH2624 persisting and forming larger biofilms on human skin than A. calcoaceticus. A. baumannii ATCC 19606(T) and A. pittii SH024 were also able to survive in a murine thigh infection model, whereas the other two species were eradicated. The current study provides important insights into the elucidation of differences in clinical relevance among Acinetobacter species.	Department of Microbiology, Monash University, Melbourne, Victoria, Australia.	Australia	ppublish	eng	Print-Electronic	"Research Support, Non-U.S. Gov't;research-article;Journal Article;Research Support, N.I.H., Extramural"		Y	Y	Y	Y	N	Y	103	Y	Y	Y	Y	Y	cc by	Y	gen	13/11/2012	13/11/2012	10/07/2020	09/03/2022	29/10/2012	29/10/2012	https://doi.org/10.1371/journal.pone.0046984	https://europepmc.org/articles/PMC3483291	https://europepmc.org/articles/PMC3483291?pdf=render	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC3483291/fullTextXML	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC3483291/supplementaryFiles?includeInlineImage=yes	http://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/7d/7c/PMC3483291.tar.gz
0	PRJNA881235	36632344	36632344	MED	36632344	PMC9828641	PMC9828641	10.1080/20002297.2022.2164147	Orofacial clefts alter early life oral microbiome maturation towards higher levels of potentially pathogenic species: A prospective observational study.	Seidel CL, Strobel K, Weider M, Tschaftari M, Unertl C, Willershausen I, Weber M, Hoerning A, Morhart P, Schneider M, Beckmann MW, Bogdan C, Gerlach RG, Gölz L.	1.0	15	3459200	2023	0	2023	01/01/2023	Journal of oral microbiology	J Oral Microbiol	J Oral Microbiol	101551049	2000-2297	2000-2297	2023	2164147	"Orofacial clefts (OFC) present different phenotypes with a postnatal challenge for oral microbiota development. In order to investigate the impact of OFC on oral microbiota, smear samples from 15 neonates with OFC and 17 neonates without OFC were collected from two oral niches (tongue, cheek) at two time points, i.e. after birth (T0: Ø3d OFC group; Ø2d control group) and 4-5 weeks later (T1: Ø32d OFC group; Ø31d control group). Subsequently, the samples were analyzed using next-generation sequencing. We detected a significant increase of alpha diversity and <i>anaerobic</i> and <i>Gram-negative species</i> from T0 to T1 in both groups. Further, we found that at T1 OFC neonates presented a significantly lower alpha diversity (lowest values for high cleft severity) and significantly higher levels of <i>Enterobacteriaceae (Citrobacter, Enterobacter, Escherichia-Shigella, Klebsiella), Enterococcus, Bifidobacterium, Corynebacterium, Lactocaseibacillus, Staphylococcus, Acinetobacter</i> and <i>Lawsonella</i> compared to controls. Notably, neonates with unilateral and bilateral cleft lip and palate (UCLP/BCLP) presented similarities in beta diversity and a mixture with skin microbiota. However, significant differences were seen in neonates with cleft palate only compared to UCLP/BCLP with higher levels of <i>anaerobic species</i>. Our findings revealed an influence of OFC as well as cleft phenotype and severity on postnatal oral microbiota maturation."	Department of Orthodontics and Orofacial Orthopedics, Universitätsklinikum Erlangen Friedrich-Alexander-Universität (FAU) Erlangen-Nürnberg, Erlangen, Germany.	Germany	epublish	eng	Electronic-eCollection	"research-article;Journal Article"	"neonates;Orofacial Clefts;Oral Microbiome;Early Life Dysbiosis;Microbiome Maturation"	Y	Y	N	Y	N	Y	1	Y	Y	Y	N	Y	cc by	Y	bioproject	12/01/2023	13/01/2023	12/01/2023	13/01/2023	04/01/2023	04/01/2023	https://doi.org/10.1080/20002297.2022.2164147	https://europepmc.org/articles/PMC9828641	https://europepmc.org/articles/PMC9828641?pdf=render	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9828641/fullTextXML	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9828641/supplementaryFiles?includeInlineImage=yes	http://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/79/46/PMC9828641.tar.gz
