study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sra_bytes	sra_md5	sra_ftp	sra_aspera	sra_galaxy	cram_index_ftp	cram_index_aspera	cram_index_galaxy	sample_alias	broker_name	sample_title	nominal_sdev	first_created
PRJNA780434	SRP346114	SAMN23151422	SRS11072151	SRX13138962	SRR16946893	SRA1329116	256318	metagenome	ILLUMINA	Illumina HiSeq 2500	PKUMycology-76		SINGLE	AMPLICON	GENOMIC	PCR	115082	47890764	SUB10670632	2021-12-23	2021-12-23	Illumina HiSeq 2500 sequencing; 16S:human nail	nail microbiome ITS and 16S	PRJNA780434	PKUMycology-76	P25.extendedFrags.fastq	7727992	3b647504811dec727b2cc9912cfa003f	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/093/SRR16946893/SRR16946893.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR169/093/SRR16946893/SRR16946893.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/093/SRR16946893/SRR16946893.fastq.gz							16029739	767398c6434b5fa8c159536afc4856f8	ftp.sra.ebi.ac.uk/vol1/srr/SRR169/093/SRR16946893	fasp.sra.ebi.ac.uk:/vol1/srr/SRR169/093/SRR16946893	ftp.sra.ebi.ac.uk/vol1/srr/SRR169/093/SRR16946893				bacP25		bacP25		2021-12-23
PRJNA780434	SRP346114	SAMN23151481	SRS11072112	SRX13138923	SRR16946894	SRA1329116	256318	metagenome	ILLUMINA	Illumina HiSeq 2500	PKUMycology-135		SINGLE	AMPLICON	GENOMIC	PCR	75583	18507980	SUB10670632	2021-12-23	2021-12-23	Illumina HiSeq 2500 sequencing; ITS1:human nail	nail microbiome ITS and 16S	PRJNA780434	PKUMycology-135	ITS-HP13.extendedFrags.fastq	4953241	09bc033fc617f08a32a5e39489d0193c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/094/SRR16946894/SRR16946894.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR169/094/SRR16946894/SRR16946894.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/094/SRR16946894/SRR16946894.fastq.gz							6339712	c907453b6f540f7b1dbbeac1ffd5bc6f	ftp.sra.ebi.ac.uk/vol1/srr/SRR169/094/SRR16946894	fasp.sra.ebi.ac.uk:/vol1/srr/SRR169/094/SRR16946894	ftp.sra.ebi.ac.uk/vol1/srr/SRR169/094/SRR16946894				funHP13		funHP13		2021-12-23
PRJNA780434	SRP346114	SAMN23151421	SRS11072150	SRX13138961	SRR16946895	SRA1329116	256318	metagenome	ILLUMINA	Illumina HiSeq 2500	PKUMycology-75		SINGLE	AMPLICON	GENOMIC	PCR	102642	43492832	SUB10670632	2021-12-23	2021-12-23	Illumina HiSeq 2500 sequencing; 16S:human nail	nail microbiome ITS and 16S	PRJNA780434	PKUMycology-75	P24.extendedFrags.fastq	7955141	7a1b92777357c1750115550a942a1fb2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/095/SRR16946895/SRR16946895.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR169/095/SRR16946895/SRR16946895.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/095/SRR16946895/SRR16946895.fastq.gz							14759276	b9527cfc3cbdea283b8917928cbaaede	ftp.sra.ebi.ac.uk/vol1/srr/SRR169/095/SRR16946895	fasp.sra.ebi.ac.uk:/vol1/srr/SRR169/095/SRR16946895	ftp.sra.ebi.ac.uk/vol1/srr/SRR169/095/SRR16946895				bacP24		bacP24		2021-12-23
PRJNA780434	SRP346114	SAMN23151420	SRS11072149	SRX13138960	SRR16946896	SRA1329116	256318	metagenome	ILLUMINA	Illumina HiSeq 2500	PKUMycology-74		SINGLE	AMPLICON	GENOMIC	PCR	83260	35097484	SUB10670632	2021-12-23	2021-12-23	Illumina HiSeq 2500 sequencing; 16S:human nail	nail microbiome ITS and 16S	PRJNA780434	PKUMycology-74	P22.extendedFrags.fastq	5969121	5ea53a8f8d95a8945d7359ebd4a455fc	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/096/SRR16946896/SRR16946896.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR169/096/SRR16946896/SRR16946896.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/096/SRR16946896/SRR16946896.fastq.gz							11616654	4ec3cc36b7d5eaa789a866093bcf329a	ftp.sra.ebi.ac.uk/vol1/srr/SRR169/096/SRR16946896	fasp.sra.ebi.ac.uk:/vol1/srr/SRR169/096/SRR16946896	ftp.sra.ebi.ac.uk/vol1/srr/SRR169/096/SRR16946896				bacP22		bacP22		2021-12-23
PRJNA780434	SRP346114	SAMN23151419	SRS11072148	SRX13138959	SRR16946897	SRA1329116	256318	metagenome	ILLUMINA	Illumina HiSeq 2500	PKUMycology-73		SINGLE	AMPLICON	GENOMIC	PCR	85235	36148517	SUB10670632	2021-12-23	2021-12-23	Illumina HiSeq 2500 sequencing; 16S:human nail	nail microbiome ITS and 16S	PRJNA780434	PKUMycology-73	P20.extendedFrags.fastq	5428142	064d43728a3931a34546a6c1852cd87d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/097/SRR16946897/SRR16946897.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR169/097/SRR16946897/SRR16946897.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/097/SRR16946897/SRR16946897.fastq.gz							11895115	d74055b51cab2d6f9060742ad3b0cc07	ftp.sra.ebi.ac.uk/vol1/srr/SRR169/097/SRR16946897	fasp.sra.ebi.ac.uk:/vol1/srr/SRR169/097/SRR16946897	ftp.sra.ebi.ac.uk/vol1/srr/SRR169/097/SRR16946897				bacP20		bacP20		2021-12-23
PRJNA780434	SRP346114	SAMN23151418	SRS11072147	SRX13138958	SRR16946898	SRA1329116	256318	metagenome	ILLUMINA	Illumina HiSeq 2500	PKUMycology-72		SINGLE	AMPLICON	GENOMIC	PCR	66355	28054697	SUB10670632	2021-12-23	2021-12-23	Illumina HiSeq 2500 sequencing; 16S:human nail	nail microbiome ITS and 16S	PRJNA780434	PKUMycology-72	P19.extendedFrags.fastq	5502166	6cfc34fc77ec3fa408ad20778f0ff87d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/098/SRR16946898/SRR16946898.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR169/098/SRR16946898/SRR16946898.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/098/SRR16946898/SRR16946898.fastq.gz							10101603	2e250c6eb7948ff4a342dd54a189c911	ftp.sra.ebi.ac.uk/vol1/srr/SRR169/098/SRR16946898	fasp.sra.ebi.ac.uk:/vol1/srr/SRR169/098/SRR16946898	ftp.sra.ebi.ac.uk/vol1/srr/SRR169/098/SRR16946898				bacP19		bacP19		2021-12-23
PRJNA780434	SRP346114	SAMN23151417	SRS11072145	SRX13138957	SRR16946899	SRA1329116	256318	metagenome	ILLUMINA	Illumina HiSeq 2500	PKUMycology-71		SINGLE	AMPLICON	GENOMIC	PCR	73774	31522643	SUB10670632	2021-12-23	2021-12-23	Illumina HiSeq 2500 sequencing; 16S:human nail	nail microbiome ITS and 16S	PRJNA780434	PKUMycology-71	P18.extendedFrags.fastq	4614469	b9bc652ea6a3096d98d385ca065d63a6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/099/SRR16946899/SRR16946899.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR169/099/SRR16946899/SRR16946899.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/099/SRR16946899/SRR16946899.fastq.gz							10234601	c8a72dc917577713a75497207ffada22	ftp.sra.ebi.ac.uk/vol1/srr/SRR169/099/SRR16946899	fasp.sra.ebi.ac.uk:/vol1/srr/SRR169/099/SRR16946899	ftp.sra.ebi.ac.uk/vol1/srr/SRR169/099/SRR16946899				bacP18		bacP18		2021-12-23
PRJNA780434	SRP346114	SAMN23151354	SRS11072146	SRX13138956	SRR16946900	SRA1329116	256318	metagenome	ILLUMINA	Illumina HiSeq 2500	PKUMycology-8		SINGLE	AMPLICON	GENOMIC	PCR	68005	28397552	SUB10670632	2021-12-23	2021-12-23	Illumina HiSeq 2500 sequencing; 16S:human nail	nail microbiome ITS and 16S	PRJNA780434	PKUMycology-8	H10.extendedFrags.fastq	4721725	4de89e72d5a6875805a96822ea7a73e5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/000/SRR16946900/SRR16946900.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR169/000/SRR16946900/SRR16946900.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/000/SRR16946900/SRR16946900.fastq.gz							9498065	deea0becbfd2cf56d08181c51758dd52	ftp.sra.ebi.ac.uk/vol1/srr/SRR169/000/SRR16946900	fasp.sra.ebi.ac.uk:/vol1/srr/SRR169/000/SRR16946900	ftp.sra.ebi.ac.uk/vol1/srr/SRR169/000/SRR16946900				bacH10		bacH10		2021-12-23
PRJNA780434	SRP346114	SAMN23151416	SRS11072144	SRX13138955	SRR16946901	SRA1329116	256318	metagenome	ILLUMINA	Illumina HiSeq 2500	PKUMycology-70		SINGLE	AMPLICON	GENOMIC	PCR	84587	35827557	SUB10670632	2021-12-23	2021-12-23	Illumina HiSeq 2500 sequencing; 16S:human nail	nail microbiome ITS and 16S	PRJNA780434	PKUMycology-70	P17.extendedFrags.fastq	5374013	c3c95deccd5825c5d09818f8f8585aac	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/001/SRR16946901/SRR16946901.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR169/001/SRR16946901/SRR16946901.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/001/SRR16946901/SRR16946901.fastq.gz							11996350	52877927cec819a0d0d93b4730d48c10	ftp.sra.ebi.ac.uk/vol1/srr/SRR169/001/SRR16946901	fasp.sra.ebi.ac.uk:/vol1/srr/SRR169/001/SRR16946901	ftp.sra.ebi.ac.uk/vol1/srr/SRR169/001/SRR16946901				bacP17		bacP17		2021-12-23
PRJNA780434	SRP346114	SAMN23151415	SRS11072143	SRX13138954	SRR16946902	SRA1329116	256318	metagenome	ILLUMINA	Illumina HiSeq 2500	PKUMycology-69		SINGLE	AMPLICON	GENOMIC	PCR	85112	35921608	SUB10670632	2021-12-23	2021-12-23	Illumina HiSeq 2500 sequencing; 16S:human nail	nail microbiome ITS and 16S	PRJNA780434	PKUMycology-69	P16.extendedFrags.fastq	5603697	530ebd02bb0dadef1f7cac78178f2c56	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/002/SRR16946902/SRR16946902.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR169/002/SRR16946902/SRR16946902.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/002/SRR16946902/SRR16946902.fastq.gz							12233748	275dcf45ef64c1e59e64fb31c7231940	ftp.sra.ebi.ac.uk/vol1/srr/SRR169/002/SRR16946902	fasp.sra.ebi.ac.uk:/vol1/srr/SRR169/002/SRR16946902	ftp.sra.ebi.ac.uk/vol1/srr/SRR169/002/SRR16946902				bacP16		bacP16		2021-12-23
