study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sra_bytes	sra_md5	sra_ftp	sra_aspera	sra_galaxy	cram_index_ftp	cram_index_aspera	cram_index_galaxy	sample_alias	broker_name	sample_title	nominal_sdev	first_created
PRJEB37496	ERP120819	SAMEA6646909	ERS4406405	ERX4192983	ERR4233713	ERA2689918	5551	Trichophyton rubrum	ILLUMINA	Illumina HiSeq 1000	Fungi_ITS2	200	PAIRED	RNA-Seq	METAGENOMIC	PCR	113827	68478282	LIED	2020-09-15	2020-06-11	Illumina HiSeq 1000 paired end sequencing	Landscape of fungal diversity in healthy nails and onychomycosis	ena-STUDY-LIED-26-03-2020-10:49:36:198-18	ena-EXPERIMENT-LIED-11-06-2020-15:27:50:284-1	ena-RUN-LIED-11-06-2020-15:27:50:284-1	17404246;28373402	a7a64a6197b5a1324552e35d3862a9b0;a695151cdf53154843028499b565f5bd	ftp.sra.ebi.ac.uk/vol1/fastq/ERR423/003/ERR4233713/ERR4233713_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR423/003/ERR4233713/ERR4233713_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR423/003/ERR4233713/ERR4233713_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR423/003/ERR4233713/ERR4233713_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR423/003/ERR4233713/ERR4233713_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR423/003/ERR4233713/ERR4233713_2.fastq.gz	20071914;31178188	3feabf92bee8ad46dc09f1ca384cf43e;df426b47723e432f3db19ad0a8d2e6a8	ftp.sra.ebi.ac.uk/vol1/run/ERR423/ERR4233713/S1_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR423/ERR4233713/S1_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR423/ERR4233713/S1_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR423/ERR4233713/S1_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR423/ERR4233713/S1_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR423/ERR4233713/S1_R2_001.fastq.gz	FASTQ;FASTQ	49668067	0348cf9d7220d2c2c0262c3ac8c7924c	ftp.sra.ebi.ac.uk/vol1/err/ERR423/003/ERR4233713	fasp.sra.ebi.ac.uk:/vol1/err/ERR423/003/ERR4233713	ftp.sra.ebi.ac.uk/vol1/err/ERR423/003/ERR4233713				TNM_001		Toenail Mycobiome ITS2 sequencing	0	2020-06-11
PRJEB37496	ERP120819	SAMEA6646910	ERS4406406	ERX4192984	ERR4233714	ERA2689918	5551	Trichophyton rubrum	ILLUMINA	Illumina HiSeq 1000	Fungi_ITS2	200	PAIRED	RNA-Seq	METAGENOMIC	PCR	11158	6711552	LIED	2020-09-15	2020-06-11	Illumina HiSeq 1000 paired end sequencing	Landscape of fungal diversity in healthy nails and onychomycosis	ena-STUDY-LIED-26-03-2020-10:49:36:198-18	ena-EXPERIMENT-LIED-11-06-2020-15:27:50:284-2	ena-RUN-LIED-11-06-2020-15:27:50:284-2	2359759;3087279	353ec9ce5ae5befb0a088487aada4bde;b1763c23ac371c19c910800e57f43498	ftp.sra.ebi.ac.uk/vol1/fastq/ERR423/004/ERR4233714/ERR4233714_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR423/004/ERR4233714/ERR4233714_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR423/004/ERR4233714/ERR4233714_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR423/004/ERR4233714/ERR4233714_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR423/004/ERR4233714/ERR4233714_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR423/004/ERR4233714/ERR4233714_2.fastq.gz	2544681;3268212	abd9ae9e363d80249663e219ff397bab;d23117ebcbf2573c27162cb744d08d0c	ftp.sra.ebi.ac.uk/vol1/run/ERR423/ERR4233714/S2_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR423/ERR4233714/S2_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR423/ERR4233714/S2_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR423/ERR4233714/S2_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR423/ERR4233714/S2_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR423/ERR4233714/S2_R2_001.fastq.gz	FASTQ;FASTQ	5139437	be34c33cdcf063ffdf7fe3cebe0c7150	ftp.sra.ebi.ac.uk/vol1/err/ERR423/004/ERR4233714	fasp.sra.ebi.ac.uk:/vol1/err/ERR423/004/ERR4233714	ftp.sra.ebi.ac.uk/vol1/err/ERR423/004/ERR4233714				TNM_002		Toenail Mycobiome ITS2	0	2020-06-11
PRJEB37496	ERP120819	SAMEA6646911	ERS4406407	ERX4192985	ERR4233715	ERA2689918	5551	Trichophyton rubrum	ILLUMINA	Illumina HiSeq 1000	Fungi_ITS2	200	PAIRED	RNA-Seq	METAGENOMIC	PCR	32824	19741242	LIED	2020-09-15	2020-06-11	Illumina HiSeq 1000 paired end sequencing	Landscape of fungal diversity in healthy nails and onychomycosis	ena-STUDY-LIED-26-03-2020-10:49:36:198-18	ena-EXPERIMENT-LIED-11-06-2020-15:27:50:284-3	ena-RUN-LIED-11-06-2020-15:27:50:284-3	7178779;9048752	41a7c647f6ab41a76ca3200dd49ee073;290ff04e0f4bc5e0b2b6e4815c42cc24	ftp.sra.ebi.ac.uk/vol1/fastq/ERR423/005/ERR4233715/ERR4233715_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR423/005/ERR4233715/ERR4233715_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR423/005/ERR4233715/ERR4233715_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR423/005/ERR4233715/ERR4233715_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR423/005/ERR4233715/ERR4233715_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR423/005/ERR4233715/ERR4233715_2.fastq.gz	7685620;9532451	f3de374e6471c37bb0b3dbb04457999c;d1a2e8590455593ba14fc411186f920d	ftp.sra.ebi.ac.uk/vol1/run/ERR423/ERR4233715/S4_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR423/ERR4233715/S4_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR423/ERR4233715/S4_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR423/ERR4233715/S4_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR423/ERR4233715/S4_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR423/ERR4233715/S4_R2_001.fastq.gz	FASTQ;FASTQ	14953914	4d5666b89b2f0fb4302ea89ba61f27da	ftp.sra.ebi.ac.uk/vol1/err/ERR423/005/ERR4233715	fasp.sra.ebi.ac.uk:/vol1/err/ERR423/005/ERR4233715	ftp.sra.ebi.ac.uk/vol1/err/ERR423/005/ERR4233715				TNM_004		Toenail Mycobiome ITS2	0	2020-06-11
PRJEB37496	ERP120819	SAMEA6646912	ERS4406408	ERX4192986	ERR4233716	ERA2689918	5551	Trichophyton rubrum	ILLUMINA	Illumina HiSeq 1000	Fungi_ITS2	200	PAIRED	RNA-Seq	METAGENOMIC	PCR	78626	47322495	LIED	2020-09-15	2020-06-11	Illumina HiSeq 1000 paired end sequencing	Landscape of fungal diversity in healthy nails and onychomycosis	ena-STUDY-LIED-26-03-2020-10:49:36:198-18	ena-EXPERIMENT-LIED-11-06-2020-15:27:50:284-4	ena-RUN-LIED-11-06-2020-15:27:50:284-4	11727457;19352542	a1171db1156bbeb0e8271ceb2021dbcf;42a61a90281d62b5b51fbe74fb1c6071	ftp.sra.ebi.ac.uk/vol1/fastq/ERR423/006/ERR4233716/ERR4233716_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR423/006/ERR4233716/ERR4233716_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR423/006/ERR4233716/ERR4233716_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR423/006/ERR4233716/ERR4233716_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR423/006/ERR4233716/ERR4233716_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR423/006/ERR4233716/ERR4233716_2.fastq.gz	13204419;20832338	72d6237309b4fa21fa4c0e54a23388d5;963bc0350947e73d8c8744c4cdb5edc2	ftp.sra.ebi.ac.uk/vol1/run/ERR423/ERR4233716/S6_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR423/ERR4233716/S6_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR423/ERR4233716/S6_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR423/ERR4233716/S6_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR423/ERR4233716/S6_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR423/ERR4233716/S6_R2_001.fastq.gz	FASTQ;FASTQ	34050334	9e2c8b57f2fcec80aaf4c3c30e619eea	ftp.sra.ebi.ac.uk/vol1/err/ERR423/006/ERR4233716	fasp.sra.ebi.ac.uk:/vol1/err/ERR423/006/ERR4233716	ftp.sra.ebi.ac.uk/vol1/err/ERR423/006/ERR4233716				TNM_006		Toenail Mycobiome ITS2	0	2020-06-11
PRJEB37496	ERP120819	SAMEA6646913	ERS4406409	ERX4192987	ERR4233717	ERA2689918	5551	Trichophyton rubrum	ILLUMINA	Illumina HiSeq 1000	Fungi_ITS2	200	PAIRED	RNA-Seq	METAGENOMIC	PCR	53697	32313242	LIED	2020-09-15	2020-06-11	Illumina HiSeq 1000 paired end sequencing	Landscape of fungal diversity in healthy nails and onychomycosis	ena-STUDY-LIED-26-03-2020-10:49:36:198-18	ena-EXPERIMENT-LIED-11-06-2020-15:27:50:284-5	ena-RUN-LIED-11-06-2020-15:27:50:284-5	8315603;13215410	72c50c26e67f327136014244d800be51;5461cbf933c53399f87fa67a96b40cde	ftp.sra.ebi.ac.uk/vol1/fastq/ERR423/007/ERR4233717/ERR4233717_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR423/007/ERR4233717/ERR4233717_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR423/007/ERR4233717/ERR4233717_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR423/007/ERR4233717/ERR4233717_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR423/007/ERR4233717/ERR4233717_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR423/007/ERR4233717/ERR4233717_2.fastq.gz	9394958;14473672	509fd58ffdd4aca4daa670e100751978;6b3c854d5e01ba52cc12da252b2169a1	ftp.sra.ebi.ac.uk/vol1/run/ERR423/ERR4233717/S9_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR423/ERR4233717/S9_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR423/ERR4233717/S9_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR423/ERR4233717/S9_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR423/ERR4233717/S9_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR423/ERR4233717/S9_R2_001.fastq.gz	FASTQ;FASTQ	23407706	8c915e4bf42979e5b22c09e662805ab7	ftp.sra.ebi.ac.uk/vol1/err/ERR423/007/ERR4233717	fasp.sra.ebi.ac.uk:/vol1/err/ERR423/007/ERR4233717	ftp.sra.ebi.ac.uk/vol1/err/ERR423/007/ERR4233717				TNM_009		Toenail Mycobiome ITS2	0	2020-06-11
PRJEB37496	ERP120819	SAMEA6646914	ERS4406410	ERX4192988	ERR4233718	ERA2689918	5551	Trichophyton rubrum	ILLUMINA	Illumina HiSeq 1000	Fungi_ITS2	200	PAIRED	RNA-Seq	METAGENOMIC	PCR	49490	29785714	LIED	2020-09-15	2020-06-11	Illumina HiSeq 1000 paired end sequencing	Landscape of fungal diversity in healthy nails and onychomycosis	ena-STUDY-LIED-26-03-2020-10:49:36:198-18	ena-EXPERIMENT-LIED-11-06-2020-15:27:50:284-6	ena-RUN-LIED-11-06-2020-15:27:50:284-6	7715040;12337017	fafd60ff75ab2b8f9964fdceb92dc737;9adb62f6f94bb2d8b3e099060bb45f46	ftp.sra.ebi.ac.uk/vol1/fastq/ERR423/008/ERR4233718/ERR4233718_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR423/008/ERR4233718/ERR4233718_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR423/008/ERR4233718/ERR4233718_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR423/008/ERR4233718/ERR4233718_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR423/008/ERR4233718/ERR4233718_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR423/008/ERR4233718/ERR4233718_2.fastq.gz	8913238;13533496	2e2903a4ad46ff25845a18f466378860;4ee504d5ac0a30ba8727a73fb4042131	ftp.sra.ebi.ac.uk/vol1/run/ERR423/ERR4233718/S12_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR423/ERR4233718/S12_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR423/ERR4233718/S12_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR423/ERR4233718/S12_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR423/ERR4233718/S12_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR423/ERR4233718/S12_R2_001.fastq.gz	FASTQ;FASTQ	21740823	02033e667796d6a50fec2a95b31f8a3c	ftp.sra.ebi.ac.uk/vol1/err/ERR423/008/ERR4233718	fasp.sra.ebi.ac.uk:/vol1/err/ERR423/008/ERR4233718	ftp.sra.ebi.ac.uk/vol1/err/ERR423/008/ERR4233718				TNM_012		Toenail Mycobiome ITS2	0	2020-06-11
PRJEB37496	ERP120819	SAMEA6646915	ERS4406411	ERX4192989	ERR4233719	ERA2689918	5551	Trichophyton rubrum	ILLUMINA	Illumina HiSeq 1000	Fungi_ITS2	200	PAIRED	RNA-Seq	METAGENOMIC	PCR	2649	1592944	LIED	2020-09-15	2020-06-11	Illumina HiSeq 1000 paired end sequencing	Landscape of fungal diversity in healthy nails and onychomycosis	ena-STUDY-LIED-26-03-2020-10:49:36:198-18	ena-EXPERIMENT-LIED-11-06-2020-15:27:50:284-7	ena-RUN-LIED-11-06-2020-15:27:50:284-7	594429;740493	a179de3cc6de19f4deeef162c1adc309;ae036ae2c33dd86a8ebbb13657d1028e	ftp.sra.ebi.ac.uk/vol1/fastq/ERR423/009/ERR4233719/ERR4233719_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR423/009/ERR4233719/ERR4233719_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR423/009/ERR4233719/ERR4233719_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR423/009/ERR4233719/ERR4233719_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR423/009/ERR4233719/ERR4233719_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR423/009/ERR4233719/ERR4233719_2.fastq.gz	641866;781645	ad63dd0b97494d8539311d2c2bd6fa5e;31f425906aa438d3475c4b77ef4ac615	ftp.sra.ebi.ac.uk/vol1/run/ERR423/ERR4233719/S13_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR423/ERR4233719/S13_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR423/ERR4233719/S13_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR423/ERR4233719/S13_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR423/ERR4233719/S13_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR423/ERR4233719/S13_R2_001.fastq.gz	FASTQ;FASTQ	1252458	afdd83c05a0778e3d46da4bbb02c0e07	ftp.sra.ebi.ac.uk/vol1/err/ERR423/009/ERR4233719	fasp.sra.ebi.ac.uk:/vol1/err/ERR423/009/ERR4233719	ftp.sra.ebi.ac.uk/vol1/err/ERR423/009/ERR4233719				TNM_013		Toenail Mycobiome ITS2	0	2020-06-11
PRJEB37496	ERP120819	SAMEA6646916	ERS4406412	ERX4192990	ERR4233720	ERA2689918	5551	Trichophyton rubrum	ILLUMINA	Illumina HiSeq 1000	Fungi_ITS2	200	PAIRED	RNA-Seq	METAGENOMIC	PCR	87367	52564554	LIED	2020-09-15	2020-06-11	Illumina HiSeq 1000 paired end sequencing	Landscape of fungal diversity in healthy nails and onychomycosis	ena-STUDY-LIED-26-03-2020-10:49:36:198-18	ena-EXPERIMENT-LIED-11-06-2020-15:27:50:284-8	ena-RUN-LIED-11-06-2020-15:27:50:284-8	14397255;22772249	b4b1cb5232f97b2a0a667fb60a9739cf;f3375006f1a8e38482e59841518ca877	ftp.sra.ebi.ac.uk/vol1/fastq/ERR423/000/ERR4233720/ERR4233720_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR423/000/ERR4233720/ERR4233720_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR423/000/ERR4233720/ERR4233720_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR423/000/ERR4233720/ERR4233720_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR423/000/ERR4233720/ERR4233720_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR423/000/ERR4233720/ERR4233720_2.fastq.gz	17550803;25328399	c2868891946d508a6ee481a6b477f24d;231036477046bf6c5f0bdb3cf0afd05b	ftp.sra.ebi.ac.uk/vol1/run/ERR423/ERR4233720/S14_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR423/ERR4233720/S14_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR423/ERR4233720/S14_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR423/ERR4233720/S14_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR423/ERR4233720/S14_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR423/ERR4233720/S14_R2_001.fastq.gz	FASTQ;FASTQ	38547451	a40574fdec1bcc1f1b8ed37879581251	ftp.sra.ebi.ac.uk/vol1/err/ERR423/000/ERR4233720	fasp.sra.ebi.ac.uk:/vol1/err/ERR423/000/ERR4233720	ftp.sra.ebi.ac.uk/vol1/err/ERR423/000/ERR4233720				TNM_014		Toenail Mycobiome ITS2	0	2020-06-11
PRJEB37496	ERP120819	SAMEA6646917	ERS4406413	ERX4192991	ERR4233721	ERA2689918	5551	Trichophyton rubrum	ILLUMINA	Illumina HiSeq 1000	Fungi_ITS2	200	PAIRED	RNA-Seq	METAGENOMIC	PCR	139034	83680136	LIED	2020-09-15	2020-06-11	Illumina HiSeq 1000 paired end sequencing	Landscape of fungal diversity in healthy nails and onychomycosis	ena-STUDY-LIED-26-03-2020-10:49:36:198-18	ena-EXPERIMENT-LIED-11-06-2020-15:27:50:284-9	ena-RUN-LIED-11-06-2020-15:27:50:284-9	21171719;34919031	6e47130eca4ec993f7fcd802f2b26d4f;d4a7ddadaa227fad6ff49ae83ba0dcde	ftp.sra.ebi.ac.uk/vol1/fastq/ERR423/001/ERR4233721/ERR4233721_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR423/001/ERR4233721/ERR4233721_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR423/001/ERR4233721/ERR4233721_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR423/001/ERR4233721/ERR4233721_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR423/001/ERR4233721/ERR4233721_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR423/001/ERR4233721/ERR4233721_2.fastq.gz	23800904;37894196	625b3a08b4d5a123bf8d729d332f9e3a;0c01e248e4543a6bde365631dd03f07d	ftp.sra.ebi.ac.uk/vol1/run/ERR423/ERR4233721/S16_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR423/ERR4233721/S16_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR423/ERR4233721/S16_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR423/ERR4233721/S16_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR423/ERR4233721/S16_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR423/ERR4233721/S16_R2_001.fastq.gz	FASTQ;FASTQ	60708601	661593e555c9d90e58136b275af2780d	ftp.sra.ebi.ac.uk/vol1/err/ERR423/001/ERR4233721	fasp.sra.ebi.ac.uk:/vol1/err/ERR423/001/ERR4233721	ftp.sra.ebi.ac.uk/vol1/err/ERR423/001/ERR4233721				TNM_016		Toenail Mycobiome ITS2	0	2020-06-11
PRJEB37496	ERP120819	SAMEA6646919	ERS4406414	ERX4192992	ERR4233722	ERA2689918	5551	Trichophyton rubrum	ILLUMINA	Illumina HiSeq 1000	Fungi_ITS2	200	PAIRED	RNA-Seq	METAGENOMIC	PCR	369561	222007705	LIED	2020-09-15	2020-06-11	Illumina HiSeq 1000 paired end sequencing	Landscape of fungal diversity in healthy nails and onychomycosis	ena-STUDY-LIED-26-03-2020-10:49:36:198-18	ena-EXPERIMENT-LIED-11-06-2020-15:27:50:284-10	ena-RUN-LIED-11-06-2020-15:27:50:284-10	50068211;88097966	a11ceac70e30faccde98b9538c9a94ee;1191268d011e325d520388c65079847d	ftp.sra.ebi.ac.uk/vol1/fastq/ERR423/002/ERR4233722/ERR4233722_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR423/002/ERR4233722/ERR4233722_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR423/002/ERR4233722/ERR4233722_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR423/002/ERR4233722/ERR4233722_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR423/002/ERR4233722/ERR4233722_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR423/002/ERR4233722/ERR4233722_2.fastq.gz	53174867;93431642	14de2e5010267ddc507d556840cd8b12;3cb25645651d9514b4d8b056d0bce576	ftp.sra.ebi.ac.uk/vol1/run/ERR423/ERR4233722/S17_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR423/ERR4233722/S17_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR423/ERR4233722/S17_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR423/ERR4233722/S17_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR423/ERR4233722/S17_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR423/ERR4233722/S17_R2_001.fastq.gz	FASTQ;FASTQ	157858064	baef3dea1b7d584e10de06d0eeb768cd	ftp.sra.ebi.ac.uk/vol1/err/ERR423/002/ERR4233722	fasp.sra.ebi.ac.uk:/vol1/err/ERR423/002/ERR4233722	ftp.sra.ebi.ac.uk/vol1/err/ERR423/002/ERR4233722				TNM_017		Toenail Mycobiome ITS2	0	2020-06-11
