	run_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	study_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sra_bytes	sra_md5	sra_ftp	sra_aspera	sra_galaxy	sample_alias	broker_name	sample_title	nominal_sdev	first_created
0	SRR16946894	SRP346114	SAMN23151481	SRS11072112	SRX13138923	PRJNA780434	SRA1329116	256318	metagenome	ILLUMINA	Illumina HiSeq 2500	PKUMycology-135		SINGLE	AMPLICON	GENOMIC	PCR	75583	18507980	SUB10670632	2021-12-23	2021-12-23	Illumina HiSeq 2500 sequencing: ITS1:human nail	nail microbiome ITS and 16S	PRJNA780434	PKUMycology-135	ITS-HP13.extendedFrags.fastq	4953241	09bc033fc617f08a32a5e39489d0193c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/094/SRR16946894/SRR16946894.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR169/094/SRR16946894/SRR16946894.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/094/SRR16946894/SRR16946894.fastq.gz							6339712	c907453b6f540f7b1dbbeac1ffd5bc6f	ftp.sra.ebi.ac.uk/vol1/srr/SRR169/094/SRR16946894	fasp.sra.ebi.ac.uk:/vol1/srr/SRR169/094/SRR16946894	ftp.sra.ebi.ac.uk/vol1/srr/SRR169/094/SRR16946894	funHP13		funHP13		2021-12-23
1	SRR16946895	SRP346114	SAMN23151421	SRS11072150	SRX13138961	PRJNA780434	SRA1329116	256318	metagenome	ILLUMINA	Illumina HiSeq 2500	PKUMycology-75		SINGLE	AMPLICON	GENOMIC	PCR	102642	43492832	SUB10670632	2021-12-23	2021-12-23	Illumina HiSeq 2500 sequencing: 16S:human nail	nail microbiome ITS and 16S	PRJNA780434	PKUMycology-75	P24.extendedFrags.fastq	7955141	7a1b92777357c1750115550a942a1fb2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/095/SRR16946895/SRR16946895.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR169/095/SRR16946895/SRR16946895.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/095/SRR16946895/SRR16946895.fastq.gz							14759276	b9527cfc3cbdea283b8917928cbaaede	ftp.sra.ebi.ac.uk/vol1/srr/SRR169/095/SRR16946895	fasp.sra.ebi.ac.uk:/vol1/srr/SRR169/095/SRR16946895	ftp.sra.ebi.ac.uk/vol1/srr/SRR169/095/SRR16946895	bacP24		bacP24		2021-12-23
2	SRR16946900	SRP346114	SAMN23151354	SRS11072146	SRX13138956	PRJNA780434	SRA1329116	256318	metagenome	ILLUMINA	Illumina HiSeq 2500	PKUMycology-8		SINGLE	AMPLICON	GENOMIC	PCR	68005	28397552	SUB10670632	2021-12-23	2021-12-23	Illumina HiSeq 2500 sequencing: 16S:human nail	nail microbiome ITS and 16S	PRJNA780434	PKUMycology-8	H10.extendedFrags.fastq	4721725	4de89e72d5a6875805a96822ea7a73e5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/000/SRR16946900/SRR16946900.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR169/000/SRR16946900/SRR16946900.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/000/SRR16946900/SRR16946900.fastq.gz							9498065	deea0becbfd2cf56d08181c51758dd52	ftp.sra.ebi.ac.uk/vol1/srr/SRR169/000/SRR16946900	fasp.sra.ebi.ac.uk:/vol1/srr/SRR169/000/SRR16946900	ftp.sra.ebi.ac.uk/vol1/srr/SRR169/000/SRR16946900	bacH10		bacH10		2021-12-23
3	SRR16946901	SRP346114	SAMN23151416	SRS11072144	SRX13138955	PRJNA780434	SRA1329116	256318	metagenome	ILLUMINA	Illumina HiSeq 2500	PKUMycology-70		SINGLE	AMPLICON	GENOMIC	PCR	84587	35827557	SUB10670632	2021-12-23	2021-12-23	Illumina HiSeq 2500 sequencing: 16S:human nail	nail microbiome ITS and 16S	PRJNA780434	PKUMycology-70	P17.extendedFrags.fastq	5374013	c3c95deccd5825c5d09818f8f8585aac	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/001/SRR16946901/SRR16946901.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR169/001/SRR16946901/SRR16946901.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/001/SRR16946901/SRR16946901.fastq.gz							11996350	52877927cec819a0d0d93b4730d48c10	ftp.sra.ebi.ac.uk/vol1/srr/SRR169/001/SRR16946901	fasp.sra.ebi.ac.uk:/vol1/srr/SRR169/001/SRR16946901	ftp.sra.ebi.ac.uk/vol1/srr/SRR169/001/SRR16946901	bacP17		bacP17		2021-12-23
4	SRR16946911	SRP346114	SAMN23151353	SRS11072133	SRX13138945	PRJNA780434	SRA1329116	256318	metagenome	ILLUMINA	Illumina HiSeq 2500	PKUMycology-7		SINGLE	AMPLICON	GENOMIC	PCR	85639	35656886	SUB10670632	2021-12-23	2021-12-23	Illumina HiSeq 2500 sequencing: 16S:human nail	nail microbiome ITS and 16S	PRJNA780434	PKUMycology-7	H9.extendedFrags.fastq	5287263	38c1b882ba957ffdff61d8b6275123fa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/011/SRR16946911/SRR16946911.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR169/011/SRR16946911/SRR16946911.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/011/SRR16946911/SRR16946911.fastq.gz							11915800	e827292adf0b2010f5be3a4675dc1ce5	ftp.sra.ebi.ac.uk/vol1/srr/SRR169/011/SRR16946911	fasp.sra.ebi.ac.uk:/vol1/srr/SRR169/011/SRR16946911	ftp.sra.ebi.ac.uk/vol1/srr/SRR169/011/SRR16946911	bacH9		bacH9		2021-12-23
5	SRR16946914	SRP346114	SAMN23151404	SRS11072131	SRX13138942	PRJNA780434	SRA1329116	256318	metagenome	ILLUMINA	Illumina HiSeq 2500	PKUMycology-58		SINGLE	AMPLICON	GENOMIC	PCR	76343	32013258	SUB10670632	2021-12-23	2021-12-23	Illumina HiSeq 2500 sequencing: 16S:human nail	nail microbiome ITS and 16S	PRJNA780434	PKUMycology-58	P2.extendedFrags.fastq	5224653	1072441d2953362612907caac24e5b1b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/014/SRR16946914/SRR16946914.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR169/014/SRR16946914/SRR16946914.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/014/SRR16946914/SRR16946914.fastq.gz							11117686	e9f5d255687904ac76cf55b67edadad8	ftp.sra.ebi.ac.uk/vol1/srr/SRR169/014/SRR16946914	fasp.sra.ebi.ac.uk:/vol1/srr/SRR169/014/SRR16946914	ftp.sra.ebi.ac.uk/vol1/srr/SRR169/014/SRR16946914	bacP2		bacP2		2021-12-23
6	SRR16946916	SRP346114	SAMN23151402	SRS11072129	SRX13138940	PRJNA780434	SRA1329116	256318	metagenome	ILLUMINA	Illumina HiSeq 2500	PKUMycology-56		SINGLE	AMPLICON	GENOMIC	PCR	106386	44393123	SUB10670632	2021-12-23	2021-12-23	Illumina HiSeq 2500 sequencing: 16S:human nail	nail microbiome ITS and 16S	PRJNA780434	PKUMycology-56	HP24.extendedFrags.fastq	7063895	43565148a4041fb705c6e7f0031ca7a5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/016/SRR16946916/SRR16946916.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR169/016/SRR16946916/SRR16946916.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/016/SRR16946916/SRR16946916.fastq.gz							14995587	b6b6414b8a63463c7e1194ba623a54ad	ftp.sra.ebi.ac.uk/vol1/srr/SRR169/016/SRR16946916	fasp.sra.ebi.ac.uk:/vol1/srr/SRR169/016/SRR16946916	ftp.sra.ebi.ac.uk/vol1/srr/SRR169/016/SRR16946916	bacHP24		bacHP24		2021-12-23
7	SRR16946918	SRP346114	SAMN23151400	SRS11072127	SRX13138938	PRJNA780434	SRA1329116	256318	metagenome	ILLUMINA	Illumina HiSeq 2500	PKUMycology-54		SINGLE	AMPLICON	GENOMIC	PCR	97026	40585825	SUB10670632	2021-12-23	2021-12-23	Illumina HiSeq 2500 sequencing: 16S:human nail	nail microbiome ITS and 16S	PRJNA780434	PKUMycology-54	HP22.extendedFrags.fastq	6903384	c36951161459010f913cc5ce0197516e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/018/SRR16946918/SRR16946918.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR169/018/SRR16946918/SRR16946918.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/018/SRR16946918/SRR16946918.fastq.gz							13859119	890507bdf604810b868e35f02512f8e1	ftp.sra.ebi.ac.uk/vol1/srr/SRR169/018/SRR16946918	fasp.sra.ebi.ac.uk:/vol1/srr/SRR169/018/SRR16946918	ftp.sra.ebi.ac.uk/vol1/srr/SRR169/018/SRR16946918	bacHP22		bacHP22		2021-12-23
8	SRR16946924	SRP346114	SAMN23151395	SRS11072121	SRX13138932	PRJNA780434	SRA1329116	256318	metagenome	ILLUMINA	Illumina HiSeq 2500	PKUMycology-49		SINGLE	AMPLICON	GENOMIC	PCR	100148	42193725	SUB10670632	2021-12-23	2021-12-23	Illumina HiSeq 2500 sequencing: 16S:human nail	nail microbiome ITS and 16S	PRJNA780434	PKUMycology-49	HP17.extendedFrags.fastq	7821484	72a60a145747ebfa069ce0ec97dd3839	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/024/SRR16946924/SRR16946924.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR169/024/SRR16946924/SRR16946924.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/024/SRR16946924/SRR16946924.fastq.gz							14253698	1337cf1564b4eb38c71211cab465db8c	ftp.sra.ebi.ac.uk/vol1/srr/SRR169/024/SRR16946924	fasp.sra.ebi.ac.uk:/vol1/srr/SRR169/024/SRR16946924	ftp.sra.ebi.ac.uk/vol1/srr/SRR169/024/SRR16946924	bacHP17		bacHP17		2021-12-23
9	SRR16946927	SRP346114	SAMN23151392	SRS11072118	SRX13138929	PRJNA780434	SRA1329116	256318	metagenome	ILLUMINA	Illumina HiSeq 2500	PKUMycology-46		SINGLE	AMPLICON	GENOMIC	PCR	106599	44448026	SUB10670632	2021-12-23	2021-12-23	Illumina HiSeq 2500 sequencing: 16S:human nail	nail microbiome ITS and 16S	PRJNA780434	PKUMycology-46	HP14.extendedFrags.fastq	7299492	236b0373238e7b169a2449aa2e24e838	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/027/SRR16946927/SRR16946927.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR169/027/SRR16946927/SRR16946927.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/027/SRR16946927/SRR16946927.fastq.gz							15121401	7dea636eb1ed21fb95dff78f1fea8077	ftp.sra.ebi.ac.uk/vol1/srr/SRR169/027/SRR16946927	fasp.sra.ebi.ac.uk:/vol1/srr/SRR169/027/SRR16946927	ftp.sra.ebi.ac.uk/vol1/srr/SRR169/027/SRR16946927	bacHP14		bacHP14		2021-12-23
