	run_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	study_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sra_bytes	sra_md5	sra_ftp	sra_aspera	sra_galaxy	sample_alias	broker_name	sample_title	nominal_sdev	first_created
0	ERR2703306	ERP107880	SAMEA4657527	ERS2478157	ERX2717693	PRJEB25915	ERA1546840	9606	Homo sapiens	ILLUMINA	Illumina MiSeq	X7300.BL	550	PAIRED	AMPLICON	METAGENOMIC	PCR	257632	155094464	UCSF	2018-07-17	2018-11-16	Illumina MiSeq paired end sequencing	Profiling cutaneous microbiome community by 16S rRNA (V1-V3) in psoriasis patients	ena-STUDY-UCSF-07-04-2018-07:35:31:083-1706	ena-EXPERIMENT-UCSF-16-07-2018-21:54:41:457-4	ena-RUN-UCSF-16-07-2018-21:54:41:457-4	39259145;53041324	25ea61acda820dabfb1840ae0f398938;3364837a464e45c2e8421bc73f06e0cd	ftp.sra.ebi.ac.uk/vol1/fastq/ERR270/006/ERR2703306/ERR2703306_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR270/006/ERR2703306/ERR2703306_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR270/006/ERR2703306/ERR2703306_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR270/006/ERR2703306/ERR2703306_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR270/006/ERR2703306/ERR2703306_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR270/006/ERR2703306/ERR2703306_2.fastq.gz	38872383;52510424	0500410795f1d8e6e5abfbae8a775d85;06f9c1ee7159454eafaea6b7b876d5cc	ftp.sra.ebi.ac.uk/vol1/run/ERR270/ERR2703306/X7300.BL_R1_sorted.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR270/ERR2703306/X7300.BL_R2_sorted.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR270/ERR2703306/X7300.BL_R1_sorted.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR270/ERR2703306/X7300.BL_R2_sorted.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR270/ERR2703306/X7300.BL_R1_sorted.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR270/ERR2703306/X7300.BL_R2_sorted.fastq.gz	FASTQ;FASTQ	103462847	49174f09fb6039a70ef96600a5858b65	ftp.sra.ebi.ac.uk/vol1/err/ERR270/006/ERR2703306	fasp.sra.ebi.ac.uk:/vol1/err/ERR270/006/ERR2703306	ftp.sra.ebi.ac.uk/vol1/err/ERR270/006/ERR2703306	X7300.BL		Psoriasis associated skin microbiome		2018-07-16
1	ERR2703307	ERP107880	SAMEA4657541	ERS2478171	ERX2717694	PRJEB25915	ERA1546840	9606	Homo sapiens	ILLUMINA	Illumina MiSeq	X7300.BN	550	PAIRED	AMPLICON	METAGENOMIC	PCR	155891	93846382	UCSF	2018-07-17	2018-11-16	Illumina MiSeq paired end sequencing	Profiling cutaneous microbiome community by 16S rRNA (V1-V3) in psoriasis patients	ena-STUDY-UCSF-07-04-2018-07:35:31:083-1706	ena-EXPERIMENT-UCSF-16-07-2018-21:54:41:457-5	ena-RUN-UCSF-16-07-2018-21:54:41:457-5	24958551;33114954	b748f3bd099cae9f8607b3be917fdf35;b6efb63ecf7b82976796d3e654bf811b	ftp.sra.ebi.ac.uk/vol1/fastq/ERR270/007/ERR2703307/ERR2703307_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR270/007/ERR2703307/ERR2703307_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR270/007/ERR2703307/ERR2703307_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR270/007/ERR2703307/ERR2703307_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR270/007/ERR2703307/ERR2703307_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR270/007/ERR2703307/ERR2703307_2.fastq.gz	24640588;32759634	06d714ccd4d37ba5b84a4004c4350133;b7f66ccd3264ac18e4b8b4d3afb471cb	ftp.sra.ebi.ac.uk/vol1/run/ERR270/ERR2703307/X7300.BN_R1_sorted.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR270/ERR2703307/X7300.BN_R2_sorted.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR270/ERR2703307/X7300.BN_R1_sorted.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR270/ERR2703307/X7300.BN_R2_sorted.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR270/ERR2703307/X7300.BN_R1_sorted.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR270/ERR2703307/X7300.BN_R2_sorted.fastq.gz	FASTQ;FASTQ	64122697	72269a10832f53703df84d901b0a52f7	ftp.sra.ebi.ac.uk/vol1/err/ERR270/007/ERR2703307	fasp.sra.ebi.ac.uk:/vol1/err/ERR270/007/ERR2703307	ftp.sra.ebi.ac.uk/vol1/err/ERR270/007/ERR2703307	X7300.BN		Psoriasis associated skin microbiome		2018-07-16
2	ERR2703311	ERP107880	SAMEA4657696	ERS2478326	ERX2717698	PRJEB25915	ERA1546840	9606	Homo sapiens	ILLUMINA	Illumina MiSeq	X7300.SN	550	PAIRED	AMPLICON	METAGENOMIC	PCR	180866	108881332	UCSF	2018-07-17	2018-11-16	Illumina MiSeq paired end sequencing	Profiling cutaneous microbiome community by 16S rRNA (V1-V3) in psoriasis patients	ena-STUDY-UCSF-07-04-2018-07:35:31:083-1706	ena-EXPERIMENT-UCSF-16-07-2018-21:54:41:457-9	ena-RUN-UCSF-16-07-2018-21:54:41:457-9	28655802;37543109	51c893156d89428cb0ca529ca62d5156;98c9e1ef76225276f5f85d84eb02c15b	ftp.sra.ebi.ac.uk/vol1/fastq/ERR270/001/ERR2703311/ERR2703311_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR270/001/ERR2703311/ERR2703311_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR270/001/ERR2703311/ERR2703311_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR270/001/ERR2703311/ERR2703311_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR270/001/ERR2703311/ERR2703311_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR270/001/ERR2703311/ERR2703311_2.fastq.gz	28300741;37134275	762fb0b2c9f4166b6b5702a6030aa9f1;8ece70cb6d4ee285a621039d29b73cdb	ftp.sra.ebi.ac.uk/vol1/run/ERR270/ERR2703311/X7300.SN_R1_sorted.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR270/ERR2703311/X7300.SN_R2_sorted.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR270/ERR2703311/X7300.SN_R1_sorted.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR270/ERR2703311/X7300.SN_R2_sorted.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR270/ERR2703311/X7300.SN_R1_sorted.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR270/ERR2703311/X7300.SN_R2_sorted.fastq.gz	FASTQ;FASTQ	72299918	10e6649dd671576b94c7a73b61b822fa	ftp.sra.ebi.ac.uk/vol1/err/ERR270/001/ERR2703311	fasp.sra.ebi.ac.uk:/vol1/err/ERR270/001/ERR2703311	ftp.sra.ebi.ac.uk/vol1/err/ERR270/001/ERR2703311	X7300.SN		Psoriasis associated skin microbiome		2018-07-16
3	ERR2703317	ERP107880	SAMEA4657483	ERS2478113	ERX2717704	PRJEB25915	ERA1546840	9606	Homo sapiens	ILLUMINA	Illumina MiSeq	X7301.AxN	550	PAIRED	AMPLICON	METAGENOMIC	PCR	92506	55688612	UCSF	2018-07-17	2018-11-16	Illumina MiSeq paired end sequencing	Profiling cutaneous microbiome community by 16S rRNA (V1-V3) in psoriasis patients	ena-STUDY-UCSF-07-04-2018-07:35:31:083-1706	ena-EXPERIMENT-UCSF-16-07-2018-21:54:41:457-15	ena-RUN-UCSF-16-07-2018-21:54:41:457-15	15460510;19394309	0cc2026e4a7c537c72a90df0bf3b09f8;f8cf9e9d89bbbc33e9f0de516938a2db	ftp.sra.ebi.ac.uk/vol1/fastq/ERR270/007/ERR2703317/ERR2703317_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR270/007/ERR2703317/ERR2703317_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR270/007/ERR2703317/ERR2703317_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR270/007/ERR2703317/ERR2703317_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR270/007/ERR2703317/ERR2703317_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR270/007/ERR2703317/ERR2703317_2.fastq.gz	15235754;19149965	f3f932feda27443981e2746a5949fe27;c773804784ce81f23d97b98344eb2f18	ftp.sra.ebi.ac.uk/vol1/run/ERR270/ERR2703317/X7301.AxN_R1_sorted.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR270/ERR2703317/X7301.AxN_R2_sorted.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR270/ERR2703317/X7301.AxN_R1_sorted.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR270/ERR2703317/X7301.AxN_R2_sorted.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR270/ERR2703317/X7301.AxN_R1_sorted.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR270/ERR2703317/X7301.AxN_R2_sorted.fastq.gz	FASTQ;FASTQ	39161345	d1e790bd58dcade9a60dbf8cae442157	ftp.sra.ebi.ac.uk/vol1/err/ERR270/007/ERR2703317	fasp.sra.ebi.ac.uk:/vol1/err/ERR270/007/ERR2703317	ftp.sra.ebi.ac.uk/vol1/err/ERR270/007/ERR2703317	X7301.AxN		Psoriasis associated skin microbiome		2018-07-16
4	ERR2703304	ERP107880	SAMEA4657438	ERS2478068	ERX2717691	PRJEB25915	ERA1546840	9606	Homo sapiens	ILLUMINA	Illumina MiSeq	X7300.ArN	550	PAIRED	AMPLICON	METAGENOMIC	PCR	178004	107158408	UCSF	2018-07-17	2018-11-16	Illumina MiSeq paired end sequencing	Profiling cutaneous microbiome community by 16S rRNA (V1-V3) in psoriasis patients	ena-STUDY-UCSF-07-04-2018-07:35:31:083-1706	ena-EXPERIMENT-UCSF-16-07-2018-21:54:41:457-2	ena-RUN-UCSF-16-07-2018-21:54:41:457-2	29896625;37616262	1a5172f64f2411db8cc288b690dcacc5;65750b18ea27e758b4f81e2f8eb6c872	ftp.sra.ebi.ac.uk/vol1/fastq/ERR270/004/ERR2703304/ERR2703304_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR270/004/ERR2703304/ERR2703304_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR270/004/ERR2703304/ERR2703304_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR270/004/ERR2703304/ERR2703304_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR270/004/ERR2703304/ERR2703304_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR270/004/ERR2703304/ERR2703304_2.fastq.gz	29614093;37241032	a139d4f3afb3eccb41bfcf84af54498f;b2da3755d532b7bbb8840b8f74c2d7fd	ftp.sra.ebi.ac.uk/vol1/run/ERR270/ERR2703304/X7300.ArN_R1_sorted.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR270/ERR2703304/X7300.ArN_R2_sorted.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR270/ERR2703304/X7300.ArN_R1_sorted.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR270/ERR2703304/X7300.ArN_R2_sorted.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR270/ERR2703304/X7300.ArN_R1_sorted.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR270/ERR2703304/X7300.ArN_R2_sorted.fastq.gz	FASTQ;FASTQ	71160499	004d54857d4287610203d5a94e20e8ae	ftp.sra.ebi.ac.uk/vol1/err/ERR270/004/ERR2703304	fasp.sra.ebi.ac.uk:/vol1/err/ERR270/004/ERR2703304	ftp.sra.ebi.ac.uk/vol1/err/ERR270/004/ERR2703304	X7300.ArN		Psoriasis associated skin microbiome		2018-07-16
5	ERR2703318	ERP107880	SAMEA4657525	ERS2478155	ERX2717705	PRJEB25915	ERA1546840	9606	Homo sapiens	ILLUMINA	Illumina MiSeq	X7301.BL	550	PAIRED	AMPLICON	METAGENOMIC	PCR	95308	57375416	UCSF	2018-07-17	2018-11-16	Illumina MiSeq paired end sequencing	Profiling cutaneous microbiome community by 16S rRNA (V1-V3) in psoriasis patients	ena-STUDY-UCSF-07-04-2018-07:35:31:083-1706	ena-EXPERIMENT-UCSF-16-07-2018-21:54:41:457-16	ena-RUN-UCSF-16-07-2018-21:54:41:457-16	17451367;20682224	9d97290130a5a97cba5441f977d9911e;eea12476d2c4d613b93913fe92b210b0	ftp.sra.ebi.ac.uk/vol1/fastq/ERR270/008/ERR2703318/ERR2703318_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR270/008/ERR2703318/ERR2703318_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR270/008/ERR2703318/ERR2703318_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR270/008/ERR2703318/ERR2703318_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR270/008/ERR2703318/ERR2703318_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR270/008/ERR2703318/ERR2703318_2.fastq.gz	17278711;20475690	ef25041dc06cc3f922111f52ad566b5b;8edfe7be6df096d2f92c771312c24b9f	ftp.sra.ebi.ac.uk/vol1/run/ERR270/ERR2703318/X7301.BL_R1_sorted.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR270/ERR2703318/X7301.BL_R2_sorted.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR270/ERR2703318/X7301.BL_R1_sorted.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR270/ERR2703318/X7301.BL_R2_sorted.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR270/ERR2703318/X7301.BL_R1_sorted.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR270/ERR2703318/X7301.BL_R2_sorted.fastq.gz	FASTQ;FASTQ	40423007	fd37c98c296ba383ad41fbe6775a92ac	ftp.sra.ebi.ac.uk/vol1/err/ERR270/008/ERR2703318	fasp.sra.ebi.ac.uk:/vol1/err/ERR270/008/ERR2703318	ftp.sra.ebi.ac.uk/vol1/err/ERR270/008/ERR2703318	X7301.BL		Psoriasis associated skin microbiome		2018-07-16
6	ERR2703315	ERP107880	SAMEA4657424	ERS2478054	ERX2717702	PRJEB25915	ERA1546840	9606	Homo sapiens	ILLUMINA	Illumina MiSeq	X7301.ArN	550	PAIRED	AMPLICON	METAGENOMIC	PCR	112648	67814096	UCSF	2018-07-17	2018-11-16	Illumina MiSeq paired end sequencing	Profiling cutaneous microbiome community by 16S rRNA (V1-V3) in psoriasis patients	ena-STUDY-UCSF-07-04-2018-07:35:31:083-1706	ena-EXPERIMENT-UCSF-16-07-2018-21:54:41:457-13	ena-RUN-UCSF-16-07-2018-21:54:41:457-13	20727008;23952980	9db744f1d713f99212539c14ef903694;dca72be8b1a20334d7195c895bc90d15	ftp.sra.ebi.ac.uk/vol1/fastq/ERR270/005/ERR2703315/ERR2703315_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR270/005/ERR2703315/ERR2703315_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR270/005/ERR2703315/ERR2703315_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR270/005/ERR2703315/ERR2703315_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR270/005/ERR2703315/ERR2703315_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR270/005/ERR2703315/ERR2703315_2.fastq.gz	20531386;23714200	e24ebb4da2e37877d7e71089fc540f73;165676025ca778ce14494d2f8da7c159	ftp.sra.ebi.ac.uk/vol1/run/ERR270/ERR2703315/X7301.ArN_R1_sorted.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR270/ERR2703315/X7301.ArN_R2_sorted.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR270/ERR2703315/X7301.ArN_R1_sorted.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR270/ERR2703315/X7301.ArN_R2_sorted.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR270/ERR2703315/X7301.ArN_R1_sorted.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR270/ERR2703315/X7301.ArN_R2_sorted.fastq.gz	FASTQ;FASTQ	47218592	6af5b14df518c4e368445764422f1eb8	ftp.sra.ebi.ac.uk/vol1/err/ERR270/005/ERR2703315	fasp.sra.ebi.ac.uk:/vol1/err/ERR270/005/ERR2703315	ftp.sra.ebi.ac.uk/vol1/err/ERR270/005/ERR2703315	X7301.ArN		Psoriasis associated skin microbiome		2018-07-16
7	ERR2703324	ERP107880	SAMEA4657748	ERS2478378	ERX2717711	PRJEB25915	ERA1546840	9606	Homo sapiens	ILLUMINA	Illumina MiSeq	X7301.TL	550	PAIRED	AMPLICON	METAGENOMIC	PCR	100196	60317992	UCSF	2018-07-17	2018-11-16	Illumina MiSeq paired end sequencing	Profiling cutaneous microbiome community by 16S rRNA (V1-V3) in psoriasis patients	ena-STUDY-UCSF-07-04-2018-07:35:31:083-1706	ena-EXPERIMENT-UCSF-16-07-2018-21:54:41:457-22	ena-RUN-UCSF-16-07-2018-21:54:41:457-22	18456186;22105169	9dd0a82e45d0ab79854183a4c4a0f726;968826b5668187f74c57fca671110ccb	ftp.sra.ebi.ac.uk/vol1/fastq/ERR270/004/ERR2703324/ERR2703324_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR270/004/ERR2703324/ERR2703324_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR270/004/ERR2703324/ERR2703324_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR270/004/ERR2703324/ERR2703324_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR270/004/ERR2703324/ERR2703324_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR270/004/ERR2703324/ERR2703324_2.fastq.gz	18309414;21907279	2fcde9b2e42d265af99ed4ac8a620cfd;1d5c83558422d8b3dd5709c6efe66714	ftp.sra.ebi.ac.uk/vol1/run/ERR270/ERR2703324/X7301.TL_R1_sorted.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR270/ERR2703324/X7301.TL_R2_sorted.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR270/ERR2703324/X7301.TL_R1_sorted.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR270/ERR2703324/X7301.TL_R2_sorted.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR270/ERR2703324/X7301.TL_R1_sorted.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR270/ERR2703324/X7301.TL_R2_sorted.fastq.gz	FASTQ;FASTQ	42618317	0bf8716a7a536e000142304c8146f21e	ftp.sra.ebi.ac.uk/vol1/err/ERR270/004/ERR2703324	fasp.sra.ebi.ac.uk:/vol1/err/ERR270/004/ERR2703324	ftp.sra.ebi.ac.uk/vol1/err/ERR270/004/ERR2703324	X7301.TL		Psoriasis associated skin microbiome		2018-07-16
8	ERR2703319	ERP107880	SAMEA4657537	ERS2478167	ERX2717706	PRJEB25915	ERA1546840	9606	Homo sapiens	ILLUMINA	Illumina MiSeq	X7301.BN	550	PAIRED	AMPLICON	METAGENOMIC	PCR	101094	60858588	UCSF	2018-07-17	2018-11-16	Illumina MiSeq paired end sequencing	Profiling cutaneous microbiome community by 16S rRNA (V1-V3) in psoriasis patients	ena-STUDY-UCSF-07-04-2018-07:35:31:083-1706	ena-EXPERIMENT-UCSF-16-07-2018-21:54:41:457-17	ena-RUN-UCSF-16-07-2018-21:54:41:457-17	18188893;21635921	56051eddb60e011493542066402d65ee;1e67a2897f1d59f1c439b480e12f8c8b	ftp.sra.ebi.ac.uk/vol1/fastq/ERR270/009/ERR2703319/ERR2703319_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR270/009/ERR2703319/ERR2703319_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR270/009/ERR2703319/ERR2703319_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR270/009/ERR2703319/ERR2703319_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR270/009/ERR2703319/ERR2703319_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR270/009/ERR2703319/ERR2703319_2.fastq.gz	18005364;21411323	06ba6fed2be0ab7bda9f4fc3177c5bec;665b8802cdab5a7ce20bc4c772527c23	ftp.sra.ebi.ac.uk/vol1/run/ERR270/ERR2703319/X7301.BN_R1_sorted.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR270/ERR2703319/X7301.BN_R2_sorted.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR270/ERR2703319/X7301.BN_R1_sorted.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR270/ERR2703319/X7301.BN_R2_sorted.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR270/ERR2703319/X7301.BN_R1_sorted.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR270/ERR2703319/X7301.BN_R2_sorted.fastq.gz	FASTQ;FASTQ	42593371	34104521c91fb964f34a5777ef91400d	ftp.sra.ebi.ac.uk/vol1/err/ERR270/009/ERR2703319	fasp.sra.ebi.ac.uk:/vol1/err/ERR270/009/ERR2703319	ftp.sra.ebi.ac.uk/vol1/err/ERR270/009/ERR2703319	X7301.BN		Psoriasis associated skin microbiome		2018-07-16
9	ERR2703331	ERP107880	SAMEA4657628	ERS2478258	ERX2717718	PRJEB25915	ERA1546840	9606	Homo sapiens	ILLUMINA	Illumina MiSeq	X7302.LN	550	PAIRED	AMPLICON	METAGENOMIC	PCR	126284	76022968	UCSF	2018-07-17	2018-11-16	Illumina MiSeq paired end sequencing	Profiling cutaneous microbiome community by 16S rRNA (V1-V3) in psoriasis patients	ena-STUDY-UCSF-07-04-2018-07:35:31:083-1706	ena-EXPERIMENT-UCSF-16-07-2018-21:54:41:457-29	ena-RUN-UCSF-16-07-2018-21:54:41:457-29	24585457;28412348	866366dec52ced96edd156ab7efedf69;cc2ea22660d7a2f5c998f56ea2693e52	ftp.sra.ebi.ac.uk/vol1/fastq/ERR270/001/ERR2703331/ERR2703331_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR270/001/ERR2703331/ERR2703331_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR270/001/ERR2703331/ERR2703331_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR270/001/ERR2703331/ERR2703331_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR270/001/ERR2703331/ERR2703331_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR270/001/ERR2703331/ERR2703331_2.fastq.gz	24397403;28164640	41a7ae89a05431ca249d527caa7f259b;3d2b3c585db00751a70889ba2b078048	ftp.sra.ebi.ac.uk/vol1/run/ERR270/ERR2703331/X7302.LN_R1_sorted.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR270/ERR2703331/X7302.LN_R2_sorted.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR270/ERR2703331/X7302.LN_R1_sorted.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR270/ERR2703331/X7302.LN_R2_sorted.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR270/ERR2703331/X7302.LN_R1_sorted.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR270/ERR2703331/X7302.LN_R2_sorted.fastq.gz	FASTQ;FASTQ	54362736	4ddc0124bb0c077b9ebffc5299432427	ftp.sra.ebi.ac.uk/vol1/err/ERR270/001/ERR2703331	fasp.sra.ebi.ac.uk:/vol1/err/ERR270/001/ERR2703331	ftp.sra.ebi.ac.uk/vol1/err/ERR270/001/ERR2703331	X7302.LN		Psoriasis associated skin microbiome		2018-07-16
